Train Dataset,Anomaly Dataset,Inference time,tn,tp,fn,fp,Precision,Recall,F1-Score,Threshold
audio_classification.csv,audio_classification.csv,0.04077339172363281,1,4,6,0,1.0,0.4,0.5714285714285715,0.47235063062907845
audio_classification.csv,face_detection.csv,0.039999961853027344,1,10,0,0,1.0,1.0,1.0,0.4765030505565726
audio_classification.csv,face_landmarking.csv,0.04051518440246582,1,10,0,0,1.0,1.0,1.0,0.4578259735001372
audio_classification.csv,gesture_recognition.csv,0.0390009880065918,1,10,0,0,1.0,1.0,1.0,0.41971161254952755
audio_classification.csv,hand_landmarking.csv,0.04000496864318848,1,10,0,0,1.0,1.0,1.0,0.4572418993679076
audio_classification.csv,idle1.csv,0.045001983642578125,1,10,0,0,1.0,1.0,1.0,0.5498950785267005
audio_classification.csv,idle2.csv,0.039008140563964844,1,10,0,0,1.0,1.0,1.0,0.417511964250935
audio_classification.csv,object_detection.csv,0.0415196418762207,1,10,0,0,1.0,1.0,1.0,0.3964442640993813
audio_classification.csv,pose_landmarking.csv,0.04160284996032715,1,10,0,0,1.0,1.0,1.0,0.3961738970828417
face_detection.csv,audio_classification.csv,0.03900504112243652,1,10,0,0,1.0,1.0,1.0,0.43396916495238613
face_detection.csv,face_detection.csv,0.045009613037109375,1,9,1,0,1.0,0.9,0.9473684210526316,0.40741182911971224
face_detection.csv,face_landmarking.csv,0.03907132148742676,1,10,0,0,1.0,1.0,1.0,0.5007778247447965
face_detection.csv,gesture_recognition.csv,0.040006399154663086,1,0,10,0,0.0,0.0,0.0,0.650226136052912
face_detection.csv,hand_landmarking.csv,0.04000449180603027,1,10,0,0,1.0,1.0,1.0,0.4909494971425132
face_detection.csv,idle1.csv,0.040003299713134766,1,10,0,0,1.0,1.0,1.0,0.5024574098883702
face_detection.csv,idle2.csv,0.040513038635253906,1,10,0,0,1.0,1.0,1.0,0.48192603014667434
face_detection.csv,object_detection.csv,0.03999900817871094,1,10,0,0,1.0,1.0,1.0,0.4369728853026353
face_detection.csv,pose_landmarking.csv,0.04050874710083008,1,10,0,0,1.0,1.0,1.0,0.40126071622185316
face_landmarking.csv,audio_classification.csv,0.0460057258605957,1,10,0,0,1.0,1.0,1.0,0.4972172221966243
face_landmarking.csv,face_detection.csv,0.03950929641723633,1,10,0,0,1.0,1.0,1.0,0.4355793403160741
face_landmarking.csv,face_landmarking.csv,0.04251265525817871,1,6,4,0,1.0,0.6,0.7499999999999999,0.44088167619041024
face_landmarking.csv,gesture_recognition.csv,0.03951573371887207,1,10,0,0,1.0,1.0,1.0,0.45738175224693495
face_landmarking.csv,hand_landmarking.csv,0.04400038719177246,1,10,0,0,1.0,1.0,1.0,0.4706129133029285
face_landmarking.csv,idle1.csv,0.04160642623901367,1,10,0,0,1.0,1.0,1.0,0.4798737922210785
face_landmarking.csv,idle2.csv,0.03899741172790527,1,10,0,0,1.0,1.0,1.0,0.4075793239316549
face_landmarking.csv,object_detection.csv,0.04206275939941406,1,10,0,0,1.0,1.0,1.0,0.43014272918941815
face_landmarking.csv,pose_landmarking.csv,0.04200005531311035,1,10,0,0,1.0,1.0,1.0,0.4211887398886566
gesture_recognition.csv,audio_classification.csv,0.04001927375793457,1,10,0,0,1.0,1.0,1.0,0.4167055953782326
gesture_recognition.csv,face_detection.csv,0.03952479362487793,1,10,0,0,1.0,1.0,1.0,0.4408102560866365
gesture_recognition.csv,face_landmarking.csv,0.03952503204345703,1,10,0,0,1.0,1.0,1.0,0.4433738090094376
gesture_recognition.csv,gesture_recognition.csv,0.040512800216674805,1,3,7,0,1.0,0.3,0.4615384615384615,0.5065222698086844
gesture_recognition.csv,hand_landmarking.csv,0.039600372314453125,1,10,0,0,1.0,1.0,1.0,0.4709775041545858
gesture_recognition.csv,idle1.csv,0.04000067710876465,1,10,0,0,1.0,1.0,1.0,0.436499490581541
gesture_recognition.csv,idle2.csv,0.040058135986328125,1,10,0,0,1.0,1.0,1.0,0.3928197971896184
gesture_recognition.csv,object_detection.csv,0.0410001277923584,1,10,0,0,1.0,1.0,1.0,0.4732898352399171
gesture_recognition.csv,pose_landmarking.csv,0.03952193260192871,1,10,0,0,1.0,1.0,1.0,0.41858028957146154
hand_landmarking.csv,audio_classification.csv,0.03899812698364258,1,10,0,0,1.0,1.0,1.0,0.386529037388062
hand_landmarking.csv,face_detection.csv,0.039518117904663086,1,10,0,0,1.0,1.0,1.0,0.48600876204792076
hand_landmarking.csv,face_landmarking.csv,0.03899979591369629,1,10,0,0,1.0,1.0,1.0,0.4188288132052811
hand_landmarking.csv,gesture_recognition.csv,0.04052257537841797,1,8,2,0,1.0,0.8,0.888888888888889,0.5492458878999256
hand_landmarking.csv,hand_landmarking.csv,0.040006160736083984,1,9,1,0,1.0,0.9,0.9473684210526316,0.38505095061579175
hand_landmarking.csv,idle1.csv,0.04000568389892578,1,10,0,0,1.0,1.0,1.0,0.4569207819685501
hand_landmarking.csv,idle2.csv,0.03999900817871094,1,10,0,0,1.0,1.0,1.0,0.5712557871691706
hand_landmarking.csv,object_detection.csv,0.04046297073364258,1,10,0,0,1.0,1.0,1.0,0.38344502119063106
hand_landmarking.csv,pose_landmarking.csv,0.04120206832885742,1,10,0,0,1.0,1.0,1.0,0.4216505022353809
idle1.csv,audio_classification.csv,0.03960680961608887,1,10,0,0,1.0,1.0,1.0,0.41996413419528095
idle1.csv,face_detection.csv,0.039803266525268555,1,10,0,0,1.0,1.0,1.0,0.47179942973583044
idle1.csv,face_landmarking.csv,0.039780616760253906,1,10,0,0,1.0,1.0,1.0,0.5149754450001365
idle1.csv,gesture_recognition.csv,0.0395815372467041,1,10,0,0,1.0,1.0,1.0,0.41958506190514777
idle1.csv,hand_landmarking.csv,0.044104814529418945,1,10,0,0,1.0,1.0,1.0,0.4045725832612218
idle1.csv,idle1.csv,0.04051947593688965,1,6,4,0,1.0,0.6,0.7499999999999999,0.458768255859125
