Train Dataset,Anomaly Dataset,Inference time,tn,tp,fn,fp,Precision,Recall,F1-Score,Threshold
audio_classification.csv,audio_classification.csv,0.26752185821533203,1,7,3,0,1.0,0.7,0.8235294117647058,0.000900314877154122
audio_classification.csv,face_detection.csv,0.0796818733215332,1,10,0,0,1.0,1.0,1.0,0.000984603516964079
audio_classification.csv,face_landmarking.csv,0.07407569885253906,1,10,0,0,1.0,1.0,1.0,0.0019586903420955033
audio_classification.csv,gesture_recognition.csv,0.0718233585357666,1,10,0,0,1.0,1.0,1.0,0.0006495358391089694
audio_classification.csv,hand_landmarking.csv,0.07622623443603516,1,10,0,0,1.0,1.0,1.0,0.0003866844590800452
audio_classification.csv,idle1.csv,0.07106304168701172,1,10,0,0,1.0,1.0,1.0,0.0007219114788497588
audio_classification.csv,idle2.csv,0.06879138946533203,1,10,0,0,1.0,1.0,1.0,0.0005568253203581227
audio_classification.csv,object_detection.csv,0.070648193359375,1,10,0,0,1.0,1.0,1.0,0.001460648435443835
audio_classification.csv,pose_landmarking.csv,0.06965446472167969,1,10,0,0,1.0,1.0,1.0,0.0016121142376571732
face_detection.csv,audio_classification.csv,0.24506068229675293,1,10,0,0,1.0,1.0,1.0,0.011188479076837309
face_detection.csv,face_detection.csv,0.06859064102172852,1,10,0,0,1.0,1.0,1.0,0.0001902794898730437
face_detection.csv,face_landmarking.csv,0.06819009780883789,1,10,0,0,1.0,1.0,1.0,0.0007385956175561301
face_detection.csv,gesture_recognition.csv,0.06859707832336426,1,10,0,0,1.0,1.0,1.0,0.008328518506983481
face_detection.csv,hand_landmarking.csv,0.06621670722961426,1,10,0,0,1.0,1.0,1.0,0.0009667935167815109
face_detection.csv,idle1.csv,0.06843709945678711,1,10,0,0,1.0,1.0,1.0,0.0005311036616286733
face_detection.csv,idle2.csv,0.06808066368103027,1,10,0,0,1.0,1.0,1.0,0.0006510530609330149
face_detection.csv,object_detection.csv,0.07071137428283691,1,10,0,0,1.0,1.0,1.0,0.0012701915680970429
face_detection.csv,pose_landmarking.csv,0.07007908821105957,1,10,0,0,1.0,1.0,1.0,0.00044489080845096576
face_landmarking.csv,audio_classification.csv,0.23601841926574707,1,10,0,0,1.0,1.0,1.0,0.00022045117447189703
face_landmarking.csv,face_detection.csv,0.07307147979736328,1,10,0,0,1.0,1.0,1.0,6.294416632189629e-05
face_landmarking.csv,face_landmarking.csv,0.07422566413879395,1,8,2,0,1.0,0.8,0.888888888888889,5.925433025118435e-05
