Train Dataset,Anomaly Dataset,Inference time,tn,tp,fn,fp,Precision,Recall,F1-Score,Threshold
audio_classification.csv,audio_classification.csv,0.03950929641723633,1,12,18,0,1.0,0.4,0.5714285714285715,0.47235063062907845
audio_classification.csv,face_detection.csv,0.039005279541015625,1,30,0,0,1.0,1.0,1.0,0.4765030505565726
audio_classification.csv,face_landmarking.csv,0.037000179290771484,1,30,0,0,1.0,1.0,1.0,0.4578259735001372
audio_classification.csv,gesture_recognition.csv,0.03800225257873535,1,30,0,0,1.0,1.0,1.0,0.41971161254952755
audio_classification.csv,hand_landmarking.csv,0.03808236122131348,1,30,0,0,1.0,1.0,1.0,0.4572418993679076
audio_classification.csv,idle1.csv,0.04051637649536133,1,30,0,0,1.0,1.0,1.0,0.5498950785267005
audio_classification.csv,idle2.csv,0.03902864456176758,1,30,0,0,1.0,1.0,1.0,0.417511964250935
audio_classification.csv,object_detection.csv,0.03800559043884277,1,30,0,0,1.0,1.0,1.0,0.3964442640993813
audio_classification.csv,pose_landmarking.csv,0.03720593452453613,1,30,0,0,1.0,1.0,1.0,0.3961738970828417
face_detection.csv,audio_classification.csv,0.037567138671875,1,30,0,0,1.0,1.0,1.0,0.43396916495238613
face_detection.csv,face_detection.csv,0.038042306900024414,1,28,2,0,1.0,0.9333333333333333,0.9655172413793104,0.40741182911971224
face_detection.csv,face_landmarking.csv,0.03851318359375,1,30,0,0,1.0,1.0,1.0,0.5007778247447965
face_detection.csv,gesture_recognition.csv,0.04000401496887207,1,0,30,0,0.0,0.0,0.0,0.650226136052912
face_detection.csv,hand_landmarking.csv,0.03900003433227539,1,30,0,0,1.0,1.0,1.0,0.4909494971425132
face_detection.csv,idle1.csv,0.0381014347076416,1,30,0,0,1.0,1.0,1.0,0.5024574098883702
face_detection.csv,idle2.csv,0.039511919021606445,1,30,0,0,1.0,1.0,1.0,0.48192603014667434
