train_dataset,test_dataset,window_index,mse,is_anomaly,inference_time_sec
audio_classification,audio_classification,10,88175697.2783951,0,0.038500070571899414
audio_classification,face_detection,10,95607074.18571186,1,0.037528276443481445
audio_classification,face_landmarking,10,23836355.755767163,0,0.038500070571899414
audio_classification,gesture_recognition,10,105967269.0527782,1,0.03750491142272949
audio_classification,hand_landmarking,10,132776838.02126876,1,0.03599977493286133
audio_classification,idle1,10,3294260.214190697,0,0.03699946403503418
audio_classification,idle2,10,3298546.0161403827,0,0.034507036209106445
audio_classification,object_detection,10,93831984.38219222,1,0.03649711608886719
audio_classification,pose_landmarking,10,142226224.69237655,1,0.037018775939941406
face_detection,audio_classification,10,88176054.92403373,0,0.03650498390197754
face_detection,face_detection,10,95607256.05038323,0,0.03900003433227539
face_detection,face_landmarking,10,23836622.889494784,0,0.03551626205444336
face_detection,gesture_recognition,10,105967381.82149912,0,0.03549838066101074
face_detection,hand_landmarking,10,132776960.65243295,0,0.05551862716674805
face_detection,idle1,10,3293721.7162116165,0,0.03699517250061035
face_detection,idle2,10,3298005.5106341476,0,0.03452253341674805
face_detection,object_detection,10,93831952.36379398,0,0.03650379180908203
face_detection,pose_landmarking,10,142226336.54931313,1,0.03499555587768555
face_landmarking,audio_classification,10,88176163.66540693,1,0.037012338638305664
face_landmarking,face_detection,10,95607426.57909721,1,0.03650164604187012
face_landmarking,face_landmarking,10,23835906.941589177,0,0.03651118278503418
face_landmarking,gesture_recognition,10,105967794.65132955,1,0.03550004959106445
face_landmarking,hand_landmarking,10,132777396.50268762,1,0.03450942039489746
face_landmarking,idle1,10,3293659.721159194,0,0.034000396728515625
face_landmarking,idle2,10,3297944.128973967,0,0.04101967811584473
face_landmarking,object_detection,10,93832198.05563366,1,0.03650808334350586
face_landmarking,pose_landmarking,10,142226798.65306118,1,0.03450441360473633
gesture_recognition,audio_classification,10,88175717.84858577,0,0.035509586334228516
gesture_recognition,face_detection,10,95607099.97690462,0,0.03450822830200195
gesture_recognition,face_landmarking,10,23836021.190593585,0,0.0355076789855957
gesture_recognition,gesture_recognition,10,105967265.26081693,0,0.03600025177001953
gesture_recognition,hand_landmarking,10,132776845.16779113,0,0.035007476806640625
gesture_recognition,idle1,10,3293789.2410555263,0,0.03550148010253906
gesture_recognition,idle2,10,3298074.2098181387,0,0.03751730918884277
gesture_recognition,object_detection,10,93831858.54460628,0,0.18052959442138672
gesture_recognition,pose_landmarking,10,142226227.3452786,1,0.0384979248046875
hand_landmarking,audio_classification,10,88176163.3405678,0,0.04151272773742676
hand_landmarking,face_detection,10,95607520.84024009,0,0.05252242088317871
hand_landmarking,face_landmarking,10,23836707.247848902,0,0.03999757766723633
hand_landmarking,gesture_recognition,10,105967630.52855793,0,0.036504268646240234
hand_landmarking,hand_landmarking,10,132777124.00346464,0,0.03551077842712402
hand_landmarking,idle1,10,3293843.361801055,0,0.03700661659240723
hand_landmarking,idle2,10,3298127.9721991983,0,0.03551125526428223
hand_landmarking,object_detection,10,93832203.65820745,0,0.035501718521118164
hand_landmarking,pose_landmarking,10,142226499.1311825,0,0.03450727462768555
idle1,audio_classification,10,88186356.86370616,1,0.03751778602600098
idle1,face_detection,10,95616917.17435454,1,0.03900933265686035
idle1,face_landmarking,10,23840467.082726914,1,0.03988909721374512
idle1,gesture_recognition,10,105977867.4247799,1,0.037550926208496094
idle1,hand_landmarking,10,132789875.31473781,1,0.04059886932373047
idle1,idle1,10,3293628.6752363318,0,0.0364985466003418
idle1,idle2,10,3297912.974072521,0,0.03701376914978027
idle1,object_detection,10,93841353.77818835,1,0.03751182556152344
idle1,pose_landmarking,10,142239668.04483205,1,0.03449821472167969
idle2,audio_classification,10,88176629.09463078,1,0.03901338577270508
idle2,face_detection,10,95607978.13309063,1,0.03499865531921387
idle2,face_landmarking,10,23836031.221850574,1,0.03501725196838379
idle2,gesture_recognition,10,105968196.21115741,1,0.03552103042602539
idle2,hand_landmarking,10,132777934.86662151,1,0.039000749588012695
idle2,idle1,10,3293644.5691174124,0,0.03501582145690918
idle2,idle2,10,3297928.855231966,0,0.034998416900634766
idle2,object_detection,10,93832736.62269066,1,0.035520315170288086
idle2,pose_landmarking,10,142227345.1734285,1,0.037999868392944336
object_detection,audio_classification,10,88175836.7985724,0,0.04450511932373047
object_detection,face_detection,10,95607213.47643918,1,0.04050445556640625
object_detection,face_landmarking,10,23836261.30666442,0,0.03551149368286133
object_detection,gesture_recognition,10,105967414.24768516,1,0.03600502014160156
object_detection,hand_landmarking,10,132777048.59616806,1,0.039510488510131836
object_detection,idle1,10,3294068.3862565416,0,0.0395054817199707
object_detection,idle2,10,3298353.384146328,0,0.03652501106262207
object_detection,object_detection,10,93831970.45864196,0,0.035996437072753906
object_detection,pose_landmarking,10,142226395.6106941,1,0.034502506256103516
pose_landmarking,audio_classification,10,88175810.03864598,0,0.0405278205871582
pose_landmarking,face_detection,10,95607161.6939598,0,0.03549814224243164
pose_landmarking,face_landmarking,10,23836228.72305296,0,0.03550291061401367
pose_landmarking,gesture_recognition,10,105967330.87708905,0,0.03500056266784668
pose_landmarking,hand_landmarking,10,132776929.3798361,0,0.03499937057495117
pose_landmarking,idle1,10,3293702.563637359,0,0.03601193428039551
pose_landmarking,idle2,10,3297987.2295598295,0,0.03749895095825195
pose_landmarking,object_detection,10,93831893.22582936,0,0.04151606559753418
pose_landmarking,pose_landmarking,10,142226309.84629458,0,0.03600287437438965
