Train Dataset,OOD Dataset,F1-Score,Precision,Recall,tp,tn,fp,fn,inference_time
audio_classification,audio_classification,0.9990287220757597,0.9980593290823399,1.0,3600,128,7,0,31.08428454399109
audio_classification,face_detection,1.0,1.0,1.0,3600,135,0,0,31.372639894485474
audio_classification,face_landmarking,1.0,1.0,1.0,3600,135,0,0,31.201279163360596
audio_classification,gesture_recognition,1.0,1.0,1.0,3600,135,0,0,31.54666042327881
audio_classification,hand_landmarking,1.0,1.0,1.0,3600,135,0,0,31.564775466918945
audio_classification,idle1,1.0,1.0,1.0,3600,135,0,0,32.120150089263916
audio_classification,idle2,1.0,1.0,1.0,3600,135,0,0,31.80604124069214
audio_classification,object_detection,1.0,1.0,1.0,3600,135,0,0,32.33797287940979
audio_classification,pose_landmarking,1.0,1.0,1.0,3600,135,0,0,32.411182165145874
face_detection,audio_classification,1.0,1.0,1.0,3600,135,0,0,32.86505079269409
face_detection,face_detection,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,33.35074830055237
face_detection,face_landmarking,1.0,1.0,1.0,3600,135,0,0,33.641170263290405
face_detection,gesture_recognition,0.9990287220757597,0.9980593290823399,1.0,3600,128,7,0,33.989529609680176
face_detection,hand_landmarking,1.0,1.0,1.0,3600,135,0,0,34.73595404624939
face_detection,idle1,1.0,1.0,1.0,3600,135,0,0,35.24331259727478
face_detection,idle2,1.0,1.0,1.0,3600,135,0,0,35.87049126625061
face_detection,object_detection,1.0,1.0,1.0,3600,135,0,0,36.23754668235779
face_detection,pose_landmarking,1.0,1.0,1.0,3600,135,0,0,37.42354154586792
face_landmarking,audio_classification,1.0,1.0,1.0,3600,135,0,0,37.45058226585388
face_landmarking,face_detection,1.0,1.0,1.0,3600,135,0,0,38.15886068344116
face_landmarking,face_landmarking,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,39.20202875137329
face_landmarking,gesture_recognition,1.0,1.0,1.0,3600,135,0,0,39.78531241416931
face_landmarking,hand_landmarking,1.0,1.0,1.0,3600,135,0,0,38.05637168884277
face_landmarking,idle1,1.0,1.0,1.0,3600,135,0,0,39.10808563232422
face_landmarking,idle2,1.0,1.0,1.0,3600,135,0,0,40.202885150909424
face_landmarking,object_detection,1.0,1.0,1.0,3600,135,0,0,40.148662090301514
face_landmarking,pose_landmarking,1.0,1.0,1.0,3600,135,0,0,41.202757596969604
gesture_recognition,audio_classification,1.0,1.0,1.0,3600,135,0,0,42.97840905189514
gesture_recognition,face_detection,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,44.21387338638306
gesture_recognition,face_landmarking,1.0,1.0,1.0,3600,135,0,0,44.93114185333252
gesture_recognition,gesture_recognition,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,45.709254026412964
gesture_recognition,hand_landmarking,1.0,1.0,1.0,3600,135,0,0,47.44323658943176
gesture_recognition,idle1,1.0,1.0,1.0,3600,135,0,0,48.348143577575684
gesture_recognition,idle2,1.0,1.0,1.0,3600,135,0,0,47.95603942871094
gesture_recognition,object_detection,1.0,1.0,1.0,3600,135,0,0,50.478007555007935
gesture_recognition,pose_landmarking,1.0,1.0,1.0,3600,135,0,0,50.61031699180603
hand_landmarking,audio_classification,1.0,1.0,1.0,3600,135,0,0,52.27631974220276
hand_landmarking,face_detection,1.0,1.0,1.0,3600,135,0,0,55.940566062927246
hand_landmarking,face_landmarking,1.0,1.0,1.0,3600,135,0,0,55.350382804870605
hand_landmarking,gesture_recognition,1.0,1.0,1.0,3600,135,0,0,56.13549995422363
hand_landmarking,hand_landmarking,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,57.67137885093689
hand_landmarking,idle1,1.0,1.0,1.0,3600,135,0,0,59.73072052001953
hand_landmarking,idle2,1.0,1.0,1.0,3600,135,0,0,61.76122331619263
hand_landmarking,object_detection,1.0,1.0,1.0,3600,135,0,0,61.59848093986511
hand_landmarking,pose_landmarking,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,67.24610114097595
idle1,audio_classification,1.0,1.0,1.0,3600,135,0,0,69.4409532546997
idle1,face_detection,1.0,1.0,1.0,3600,135,0,0,65.76567816734314
idle1,face_landmarking,1.0,1.0,1.0,3600,135,0,0,71.12160968780518
idle1,gesture_recognition,1.0,1.0,1.0,3600,135,0,0,74.01332259178162
idle1,hand_landmarking,1.0,1.0,1.0,3600,135,0,0,72.33902144432068
idle1,idle1,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,71.6148521900177
idle1,idle2,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,77.97981214523315
idle1,object_detection,1.0,1.0,1.0,3600,135,0,0,77.56509160995483
idle1,pose_landmarking,1.0,1.0,1.0,3600,135,0,0,75.38319063186646
idle2,audio_classification,1.0,1.0,1.0,3600,135,0,0,76.74379277229309
idle2,face_detection,1.0,1.0,1.0,3600,135,0,0,78.26417326927185
idle2,face_landmarking,1.0,1.0,1.0,3600,135,0,0,81.85977554321289
idle2,gesture_recognition,1.0,1.0,1.0,3600,135,0,0,86.45376443862915
idle2,hand_landmarking,1.0,1.0,1.0,3600,135,0,0,81.98997497558594
idle2,idle1,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,87.60595417022705
idle2,idle2,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,94.33378648757935
idle2,object_detection,1.0,1.0,1.0,3600,135,0,0,93.25226068496704
idle2,pose_landmarking,1.0,1.0,1.0,3600,135,0,0,90.14061117172241
object_detection,audio_classification,0.9990287220757597,0.9980593290823399,1.0,3600,128,7,0,96.47651696205139
object_detection,face_detection,1.0,1.0,1.0,3600,135,0,0,101.74508309364319
object_detection,face_landmarking,1.0,1.0,1.0,3600,135,0,0,95.36740970611572
object_detection,gesture_recognition,1.0,1.0,1.0,3600,135,0,0,101.06541514396667
object_detection,hand_landmarking,1.0,1.0,1.0,3600,135,0,0,117.16008234024048
object_detection,idle1,1.0,1.0,1.0,3600,135,0,0,115.94058203697205
object_detection,idle2,1.0,1.0,1.0,3600,135,0,0,117.10984015464783
object_detection,object_detection,0.9815950920245399,0.963855421686747,1.0,3600,0,135,0,116.45859599113464
object_detection,pose_landmarking,1.0,1.0,1.0,3600,135,0,0,157.76914525032043
