,0,1
579,1730290380,5.0
580,1730290381,4.0
581,1730290382,9.0
582,1730290383,5.0
583,1730290384,15.0
584,1730290385,9.0
585,1730290386,12.0
586,1730290387,18.0
587,1730290388,4.0
588,1730290389,8.0
589,1730290390,5.0
590,1730290391,12.0
591,1730290392,8.0
592,1730290393,4.0
593,1730290394,7.0
594,1730290395,8.0
595,1730290396,13.0
596,1730290397,8.0
597,1730290398,7.0
598,1730290399,7.0
599,1730290400,4.0
600,1730290401,7.0
601,1730290402,9.0
602,1730290403,12.0
603,1730290404,7.0
604,1730290405,5.0
605,1730290406,8.0
606,1730290407,7.0
607,1730290408,3.0
608,1730290409,2.0
609,1730290410,2.0
610,1730290411,2.0
611,1730290412,4.0
612,1730290413,5.0
613,1730290414,5.0
614,1730290415,3.0
615,1730290416,2.0
616,1730290417,4.0
617,1730290418,2.0
618,1730290419,8.0
619,1730290420,24.0
620,1730290421,6.0
621,1730290422,5.0
622,1730290423,5.0
623,1730290424,3.0
624,1730290425,4.0
625,1730290426,4.0
626,1730290427,5.0
627,1730290428,5.0
628,1730290429,8.0
629,1730290430,3.0
630,1730290431,6.0
631,1730290432,19.0
632,1730290433,18.0
633,1730290434,19.0
634,1730290435,18.0
635,1730290436,17.0
636,1730290437,17.0
637,1730290438,16.0
638,1730290439,16.0
639,1730290440,19.0
640,1730290441,17.0
641,1730290442,18.0
642,1730290443,15.0
643,1730290444,17.0
644,1730290445,14.0
645,1730290446,17.0
646,1730290447,16.0
647,1730290448,15.0
648,1730290449,14.0
649,1730290450,22.0
650,1730290451,13.0
651,1730290452,13.0
652,1730290453,13.0
653,1730290454,10.0
654,1730290455,22.0
655,1730290456,17.0
656,1730290457,9.0
657,1730290458,8.0
658,1730290459,19.0
659,1730290460,16.0
660,1730290461,18.0
661,1730290462,14.0
662,1730290463,18.0
663,1730290464,17.0
664,1730290465,15.0
665,1730290466,14.0
666,1730290467,16.0
667,1730290468,16.0
668,1730290469,20.0
669,1730290470,20.0
670,1730290471,19.0
671,1730290472,10.0
672,1730290473,17.0
673,1730290474,8.0
674,1730290475,18.0
675,1730290476,17.0
676,1730290477,6.0
677,1730290478,11.0
678,1730290479,6.0
679,1730290480,11.0
680,1730290481,18.0
681,1730290482,9.0
682,1730290483,5.0
683,1730290484,7.0
684,1730290485,21.0
685,1730290486,6.0
686,1730290487,12.0
687,1730290488,13.0
688,1730290489,7.0
689,1730290490,18.0
690,1730290491,4.0
691,1730290492,4.0
692,1730290493,6.0
693,1730290494,20.0
694,1730290495,12.0
695,1730290496,10.0
696,1730290497,5.0
697,1730290498,4.0
698,1730290499,3.0
699,1730290500,5.0
700,1730290501,3.0
701,1730290502,4.0
702,1730290503,7.0
703,1730290504,9.0
704,1730290505,4.0
705,1730290506,8.0
706,1730290507,3.0
707,1730290508,7.0
708,1730290509,7.0
709,1730290510,4.0
710,1730290511,7.0
711,1730290512,16.0
712,1730290513,1.0
713,1730290514,2.0
714,1730290515,2.0
715,1730290516,1.0
716,1730290517,20.0
717,1730290518,4.0
718,1730290519,8.0
719,1730290520,4.0
720,1730290521,3.0
721,1730290522,1.0
722,1730290523,15.0
723,1730290524,11.0
724,1730290525,2.0
725,1730290526,5.0
726,1730290527,2.0
727,1730290528,23.0
728,1730290529,5.0
729,1730290530,1.0
730,1730290531,2.0
731,1730290532,5.0
732,1730290533,8.0
733,1730290534,2.0
734,1730290535,1.0
735,1730290536,2.0
736,1730290537,6.0
737,1730290538,2.0
738,1730290539,6.0
739,1730290540,22.0
740,1730290541,5.0
741,1730290542,2.0
742,1730290543,8.0
743,1730290544,4.0
744,1730290545,3.0
745,1730290546,2.0
746,1730290547,2.0
747,1730290548,1.0
748,1730290549,5.0
749,1730290550,2.0
750,1730290551,1.0
