,0,1
0,1733226634,10
1,1733226635,16
2,1733226636,9
3,1733226637,14
4,1733226638,13
5,1733226639,11
6,1733226640,11
7,1733226641,10
8,1733226642,12
9,1733226643,9
10,1733226644,17
11,1733226645,10
12,1733226646,10
13,1733226647,10
14,1733226648,15
15,1733226649,14
16,1733226650,13
17,1733226651,9
18,1733226652,7
19,1733226653,11
20,1733226654,9
21,1733226655,11
22,1733226656,11
23,1733226657,7
24,1733226658,10
25,1733226659,11
26,1733226660,9
27,1733226661,12
28,1733226662,11
29,1733226663,12
30,1733226664,8
31,1733226665,7
32,1733226666,11
33,1733226667,14
34,1733226668,12
35,1733226669,7
36,1733226670,11
37,1733226671,12
38,1733226672,8
39,1733226673,12
40,1733226674,9
41,1733226675,12
42,1733226676,9
43,1733226677,7
44,1733226678,14
45,1733226679,11
46,1733226680,10
47,1733226681,8
48,1733226682,12
49,1733226683,9
50,1733226684,9
51,1733226685,8
52,1733226686,10
53,1733226687,11
54,1733226688,13
55,1733226689,8
56,1733226690,9
57,1733226691,8
58,1733226692,7
59,1733226693,14
60,1733226694,8
61,1733226695,12
62,1733226696,14
63,1733226697,10
64,1733226698,11
65,1733226699,11
66,1733226700,9
67,1733226701,9
68,1733226702,9
69,1733226703,9
70,1733226704,13
71,1733226705,8
72,1733226706,8
73,1733226707,13
74,1733226708,10
75,1733226709,8
76,1733226710,13
77,1733226711,11
78,1733226712,9
79,1733226713,5
80,1733226714,14
81,1733226715,10
82,1733226716,14
83,1733226717,13
84,1733226718,14
85,1733226719,16
86,1733226720,12
87,1733226721,12
88,1733226722,13
89,1733226723,13
90,1733226724,11
91,1733226725,12
92,1733226726,10
93,1733226727,13
94,1733226728,15
95,1733226729,8
96,1733226730,16
97,1733226731,10
98,1733226732,8
99,1733226733,16
100,1733226734,11
101,1733226735,11
102,1733226736,9
103,1733226737,10
104,1733226738,9
105,1733226739,12
106,1733226740,11
107,1733226741,9
108,1733226742,13
109,1733226743,12
110,1733226744,9
111,1733226745,16
112,1733226746,12
113,1733226747,10
114,1733226748,10
115,1733226749,10
116,1733226750,10
117,1733226751,13
118,1733226752,16
119,1733226753,17
120,1733226754,10
121,1733226755,8
122,1733226756,13
123,1733226757,9
124,1733226758,11
125,1733226759,10
126,1733226760,15
127,1733226761,13
128,1733226762,12
129,1733226763,12
130,1733226764,7
131,1733226765,16
132,1733226766,10
133,1733226767,11
134,1733226768,10
135,1733226769,14
136,1733226770,12
137,1733226771,12
138,1733226772,7
139,1733226773,11
140,1733226774,7
141,1733226775,13
142,1733226776,10
143,1733226777,14
144,1733226778,14
145,1733226779,11
146,1733226780,8
147,1733226781,13
148,1733226782,13
149,1733226783,11
150,1733226784,11
151,1733226785,6
152,1733226786,6
153,1733226787,15
154,1733226788,10
155,1733226789,18
156,1733226790,9
157,1733226791,10
158,1733226792,13
159,1733226793,13
160,1733226794,12
161,1733226795,14
162,1733226796,8
163,1733226797,12
164,1733226798,13
165,1733226799,4
166,1733226800,10
167,1733226801,13
168,1733226802,10
169,1733226803,11
170,1733226804,9
171,1733226805,9
172,1733226806,7
173,1733226807,16
174,1733226808,8
175,1733226809,10
176,1733226810,8
177,1733226811,15
178,1733226812,8
179,1733226813,11
180,1733226814,12
181,1733226815,13
182,1733226816,8
183,1733226817,11
184,1733226818,6
185,1733226819,15
186,1733226820,14
187,1733226821,8
188,1733226822,11
189,1733226823,10
190,1733226824,13
191,1733226825,10
192,1733226826,13
193,1733226827,15
194,1733226828,10
195,1733226829,9
196,1733226830,16
197,1733226831,11
198,1733226832,9
199,1733226833,16
200,1733226834,6
201,1733226835,14
202,1733226836,14
203,1733226837,13
204,1733226838,11
205,1733226839,9
206,1733226840,8
207,1733226841,9
208,1733226842,7
209,1733226843,13
210,1733226844,8
211,1733226845,20
212,1733226846,11
213,1733226847,6
214,1733226848,8
215,1733226849,11
216,1733226850,13
217,1733226851,7
218,1733226852,15
219,1733226853,13
220,1733226854,19
221,1733226855,11
222,1733226856,7
223,1733226857,13
224,1733226858,10
225,1733226859,10
226,1733226860,11
227,1733226861,10
228,1733226862,9
229,1733226863,12
230,1733226864,11
231,1733226865,11
232,1733226866,13
233,1733226867,12
234,1733226868,15
235,1733226869,13
236,1733226870,14
237,1733226871,11
238,1733226872,9
239,1733226873,16
240,1733226874,18
241,1733226875,12
242,1733226876,11
243,1733226877,15
244,1733226878,12
245,1733226879,10
246,1733226880,8
247,1733226881,14
248,1733226882,9
249,1733226883,9
250,1733226884,11
251,1733226885,13
252,1733226886,11
253,1733226887,11
254,1733226888,16
255,1733226889,12
256,1733226890,10
257,1733226891,9
258,1733226892,12
259,1733226893,19
260,1733226894,13
261,1733226895,12
262,1733226896,13
263,1733226897,9
264,1733226898,10
265,1733226899,14
266,1733226900,9
267,1733226901,9
268,1733226902,10
269,1733226903,12
270,1733226904,10
271,1733226905,10
272,1733226906,11
273,1733226907,9
274,1733226908,11
275,1733226909,10
276,1733226910,8
277,1733226911,12
278,1733226912,10
279,1733226913,11
280,1733226914,8
281,1733226915,11
282,1733226916,9
283,1733226917,12
284,1733226918,7
285,1733226919,10
286,1733226920,14
287,1733226921,11
288,1733226922,11
289,1733226923,5
290,1733226924,14
291,1733226925,13
292,1733226926,12
293,1733226927,10
294,1733226928,9
295,1733226929,7
296,1733226930,8
297,1733226931,15
298,1733226932,8
299,1733226933,12
300,1733226934,9
301,1733226935,8
302,1733226936,9
303,1733226937,10
304,1733226938,14
305,1733226939,18
306,1733226940,6
307,1733226941,13
308,1733226942,11
309,1733226943,6
310,1733226944,11
311,1733226945,8
312,1733226946,13
313,1733226947,14
314,1733226948,13
315,1733226949,9
316,1733226950,11
317,1733226951,9
318,1733226952,13
319,1733226953,11
320,1733226954,12
321,1733226955,8
322,1733226956,6
323,1733226957,14
324,1733226958,11
325,1733226959,12
326,1733226960,11
327,1733226961,11
328,1733226962,11
329,1733226963,7
330,1733226964,9
331,1733226965,13
332,1733226966,7
333,1733226967,12
334,1733226968,12
335,1733226969,11
336,1733226970,11
337,1733226971,12
338,1733226972,12
339,1733226973,16
340,1733226974,9
341,1733226975,11
342,1733226976,12
343,1733226977,9
344,1733226978,9
345,1733226979,13
346,1733226980,11
347,1733226981,8
348,1733226982,9
349,1733226983,14
350,1733226984,7
351,1733226985,15
352,1733226986,14
353,1733226987,13
354,1733226988,10
355,1733226989,7
356,1733226990,13
357,1733226991,17
358,1733226992,13
359,1733226993,12
360,1733226994,12
361,1733226995,12
362,1733226996,20
363,1733226997,14
364,1733226998,9
365,1733226999,12
366,1733227000,14
367,1733227001,11
368,1733227002,12
369,1733227003,10
370,1733227004,12
371,1733227005,11
372,1733227006,8
373,1733227007,11
374,1733227008,9
375,1733227009,11
376,1733227010,12
377,1733227011,10
378,1733227012,13
379,1733227013,12
380,1733227014,12
381,1733227015,8
382,1733227016,12
383,1733227017,10
384,1733227018,11
385,1733227019,10
386,1733227020,12
387,1733227021,12
388,1733227022,11
389,1733227023,8
390,1733227024,18
391,1733227025,10
392,1733227026,16
393,1733227027,11
394,1733227028,13
395,1733227029,8
396,1733227030,10
397,1733227031,12
398,1733227032,11
399,1733227033,12
400,1733227034,12
401,1733227035,20
402,1733227036,10
403,1733227037,11
404,1733227038,12
405,1733227039,12
406,1733227040,13
407,1733227041,9
408,1733227042,11
409,1733227043,7
410,1733227044,9
411,1733227045,11
412,1733227046,13
413,1733227047,12
414,1733227048,11
415,1733227049,11
416,1733227050,12
417,1733227051,8
418,1733227052,13
419,1733227053,12
420,1733227054,14
421,1733227055,8
422,1733227056,8
423,1733227057,16
424,1733227058,11
425,1733227059,13
426,1733227060,7
427,1733227061,13
428,1733227062,13
429,1733227063,8
430,1733227064,6
431,1733227065,9
432,1733227066,9
433,1733227067,11
434,1733227068,15
435,1733227069,14
436,1733227070,8
437,1733227071,9
438,1733227072,8
439,1733227073,14
440,1733227074,6
441,1733227075,6
442,1733227076,13
443,1733227077,11
444,1733227078,7
445,1733227079,10
446,1733227080,9
447,1733227081,14
448,1733227082,10
449,1733227083,8
450,1733227084,9
451,1733227085,8
452,1733227086,8
453,1733227087,13
454,1733227088,10
455,1733227089,5
456,1733227090,4
457,1733227091,10
458,1733227092,6
459,1733227093,13
460,1733227094,11
461,1733227095,19
462,1733227096,12
463,1733227097,11
464,1733227098,12
465,1733227099,5
466,1733227100,6
467,1733227101,8
468,1733227102,12
469,1733227103,12
470,1733227104,4
471,1733227105,6
472,1733227106,12
473,1733227107,11
474,1733227108,6
475,1733227109,10
476,1733227110,15
477,1733227111,11
478,1733227112,9
479,1733227113,5
480,1733227114,7
481,1733227115,10
482,1733227116,14
483,1733227117,8
484,1733227118,13
485,1733227119,11
486,1733227120,14
487,1733227121,11
488,1733227122,16
489,1733227123,9
490,1733227124,7
491,1733227125,16
492,1733227126,12
493,1733227127,8
494,1733227128,10
495,1733227129,11
496,1733227130,11
497,1733227131,13
498,1733227132,9
499,1733227133,12
500,1733227134,12
501,1733227135,16
502,1733227136,13
503,1733227137,15
504,1733227138,17
505,1733227139,12
506,1733227140,10
507,1733227141,10
508,1733227142,14
509,1733227143,12
510,1733227144,15
511,1733227145,9
512,1733227146,9
513,1733227147,11
514,1733227148,11
515,1733227149,14
516,1733227150,11
517,1733227151,10
518,1733227152,11
519,1733227153,8
520,1733227154,9
521,1733227155,11
522,1733227156,8
523,1733227157,13
524,1733227158,11
525,1733227159,14
526,1733227160,9
527,1733227161,9
528,1733227162,8
529,1733227163,10
530,1733227164,13
531,1733227165,10
532,1733227166,10
533,1733227167,12
534,1733227168,9
535,1733227169,10
536,1733227170,5
537,1733227171,7
538,1733227172,9
539,1733227173,13
540,1733227174,13
541,1733227175,11
542,1733227176,10
543,1733227177,10
544,1733227178,11
545,1733227179,9
546,1733227180,13
547,1733227181,11
548,1733227182,13
549,1733227183,8
550,1733227184,10
551,1733227185,11
552,1733227186,6
553,1733227187,11
554,1733227188,7
555,1733227189,11
556,1733227190,12
557,1733227191,13
558,1733227192,9
559,1733227193,10
560,1733227194,13
561,1733227195,9
562,1733227196,13
563,1733227197,9
564,1733227198,10
565,1733227199,14
566,1733227200,17
567,1733227201,9
568,1733227202,13
569,1733227203,13
570,1733227204,9
571,1733227205,10
572,1733227206,11
573,1733227207,8
574,1733227208,8
575,1733227209,14
576,1733227210,9
577,1733227211,14
578,1733227212,8
579,1733227213,8
580,1733227214,11
581,1733227215,11
582,1733227216,5
583,1733227217,11
584,1733227218,14
585,1733227219,11
586,1733227220,15
587,1733227221,12
588,1733227222,11
589,1733227223,12
590,1733227224,7
591,1733227225,10
592,1733227226,9
593,1733227227,13
594,1733227228,12
595,1733227229,12
596,1733227230,9
597,1733227231,15
598,1733227232,10
599,1733227233,13
600,1733227234,14
601,1733227235,10
602,1733227236,9
603,1733227237,9
604,1733227238,7
605,1733227239,12
606,1733227240,7
607,1733227241,10
608,1733227242,9
609,1733227243,11
610,1733227244,11
611,1733227245,9
612,1733227246,14
613,1733227247,12
614,1733227248,8
615,1733227249,8
616,1733227250,10
617,1733227251,12
618,1733227252,13
619,1733227253,10
620,1733227254,7
621,1733227255,8
622,1733227256,8
623,1733227257,11
624,1733227258,12
625,1733227259,19
626,1733227260,11
627,1733227261,19
628,1733227262,12
629,1733227263,11
630,1733227264,10
631,1733227265,11
632,1733227266,16
633,1733227267,11
634,1733227268,10
635,1733227269,17
636,1733227270,12
637,1733227271,15
638,1733227272,14
639,1733227273,12
640,1733227274,10
641,1733227275,6
642,1733227276,9
643,1733227277,20
644,1733227278,12
645,1733227279,11
646,1733227280,14
647,1733227281,12
648,1733227282,10
649,1733227283,11
650,1733227284,17
651,1733227285,16
652,1733227286,8
