,0,1
0,1730729880,4
1,1730729881,2
2,1730729882,4
3,1730729883,4
4,1730729884,4
5,1730729885,3
6,1730729886,3
7,1730729887,2
8,1730729888,4
9,1730729889,4
10,1730729890,4
11,1730729891,6
12,1730729892,2
13,1730729893,3
14,1730729894,3
15,1730729895,4
16,1730729896,4
17,1730729897,6
18,1730729898,3
19,1730729899,3
20,1730729900,2
21,1730729901,3
22,1730729902,3
23,1730729903,3
24,1730729904,2
25,1730729905,2
26,1730729906,4
27,1730729907,2
28,1730729908,4
29,1730729909,3
30,1730729910,4
31,1730729911,4
32,1730729912,5
33,1730729913,3
34,1730729914,2
35,1730729915,3
36,1730729916,3
37,1730729917,3
38,1730729918,2
39,1730729919,4
40,1730729920,3
41,1730729921,4
42,1730729922,3
43,1730729923,7
44,1730729924,3
45,1730729925,4
46,1730729926,2
47,1730729927,3
48,1730729928,3
49,1730729929,3
50,1730729930,4
51,1730729931,3
52,1730729932,2
53,1730729933,3
54,1730729934,3
55,1730729935,2
56,1730729936,4
57,1730729937,4
58,1730729938,3
59,1730729939,3
60,1730729940,2
61,1730729941,2
62,1730729942,4
63,1730729943,3
64,1730729944,3
65,1730729945,4
66,1730729946,3
67,1730729947,4
68,1730729948,3
69,1730729949,3
70,1730729950,3
71,1730729951,4
72,1730729952,3
73,1730729953,4
74,1730729954,3
75,1730729955,3
76,1730729956,3
77,1730729957,4
78,1730729958,3
79,1730729959,3
80,1730729960,3
81,1730729961,3
82,1730729962,4
83,1730729963,4
84,1730729964,4
85,1730729965,4
86,1730729966,4
87,1730729967,2
88,1730729968,5
89,1730729969,4
90,1730729970,4
91,1730729971,3
92,1730729972,4
93,1730729973,4
94,1730729974,4
95,1730729975,3
96,1730729976,3
97,1730729977,3
98,1730729978,3
99,1730729979,4
100,1730729980,2
101,1730729981,4
102,1730729982,3
103,1730729983,3
104,1730729984,3
105,1730729985,4
106,1730729986,3
107,1730729987,4
108,1730729988,3
109,1730729989,4
110,1730729990,4
111,1730729991,4
112,1730729992,3
113,1730729993,3
114,1730729994,4
115,1730729995,3
116,1730729996,4
117,1730729997,4
118,1730729998,2
119,1730729999,4
120,1730730000,4
121,1730730001,1
122,1730730002,4
123,1730730003,3
124,1730730004,3
125,1730730005,4
126,1730730006,4
127,1730730007,5
128,1730730008,3
