,0,1
0,1733311268,177.6406
1,1733311269,179.1836
2,1733311270,176.7188
3,1733311271,173.9922
4,1733311272,177.4883
5,1733311273,174.7539
6,1733311274,177.9961
7,1733311275,175.25
8,1733311276,174.1289
9,1733311277,174.0469
10,1733311278,187.2891
11,1733311279,182.1094
12,1733311280,179.3633
13,1733311281,177.9688
14,1733311282,176.1367
15,1733311283,178.75
16,1733311284,176.7539
17,1733311285,179.9375
18,1733311286,181.5742
19,1733311287,179.5234
20,1733311288,177.7188
21,1733311289,176.375
22,1733311290,175.0703
23,1733311291,177.5703
24,1733311292,177.8945
25,1733311293,176.6172
26,1733311294,179.0898
27,1733311295,177.9961
28,1733311296,180.8672
29,1733311297,183.0
30,1733311298,180.7305
31,1733311299,177.7344
32,1733311300,181.5312
33,1733311301,180.2227
34,1733311302,177.4219
35,1733311303,175.5703
36,1733311304,177.9727
37,1733311305,183.0664
38,1733311306,183.1992
39,1733311307,181.8711
40,1733311308,179.4102
41,1733311309,178.0469
42,1733311310,179.1797
43,1733311311,178.5703
44,1733311312,183.0039
45,1733311313,178.2734
46,1733311314,177.1523
47,1733311315,176.0352
48,1733311316,183.8125
49,1733311317,182.5312
50,1733311318,179.7266
51,1733311319,176.5312
52,1733311320,178.875
53,1733311321,177.5742
54,1733311322,179.3906
55,1733311323,178.5742
56,1733311324,179.9023
57,1733311325,178.0586
58,1733311326,182.5273
59,1733311327,180.2461
60,1733311328,179.3711
61,1733311329,176.6094
62,1733311330,175.6836
63,1733311331,179.7148
64,1733311332,180.1289
65,1733311333,177.5078
66,1733311334,176.8789
67,1733311335,176.6602
68,1733311336,175.3789
69,1733311337,173.5664
70,1733311338,179.332
71,1733311339,177.8008
72,1733311340,175.9961
73,1733311341,178.3203
74,1733311342,175.6055
75,1733311343,178.6328
76,1733311344,181.5117
77,1733311345,184.957
78,1733311346,182.6758
79,1733311347,180.0195
80,1733311348,178.6836
81,1733311349,176.3711
82,1733311350,179.9023
83,1733311351,182.7266
84,1733311352,179.9375
85,1733311353,181.2305
86,1733311354,181.5039
87,1733311355,180.1367
88,1733311356,177.8008
89,1733311357,178.9141
90,1733311358,178.0391
91,1733311359,185.1992
92,1733311360,181.9805
93,1733311361,179.6836
94,1733311362,177.8516
95,1733311363,177.207
96,1733311364,176.582
