,0,1
0,1732091413,14784
1,1732091414,14784
2,1732091415,14816
3,1732091416,14848
4,1732091417,14848
5,1732091418,14816
6,1732091419,14816
7,1732091420,14816
8,1732091421,14816
9,1732091422,14784
10,1732091423,14816
11,1732091424,14784
12,1732091425,14784
13,1732091426,14752
14,1732091427,14752
15,1732091428,14752
16,1732091429,14720
17,1732091430,14720
18,1732091431,14720
19,1732091432,14720
20,1732091433,14752
21,1732091434,14784
22,1732091435,14752
23,1732091436,14752
24,1732091437,14784
25,1732091438,14784
26,1732091439,14816
27,1732091440,14848
28,1732091441,14848
29,1732091442,14848
30,1732091443,14848
31,1732091444,14848
32,1732091445,14848
33,1732091446,14880
34,1732091447,14912
35,1732091448,14880
36,1732091449,14816
37,1732091450,14816
38,1732091451,14816
39,1732091452,14816
40,1732091453,14816
41,1732091454,14816
42,1732091455,14848
43,1732091456,14880
44,1732091457,14880
45,1732091458,14880
46,1732091459,14784
47,1732091460,14816
48,1732091461,14816
49,1732091462,14848
50,1732091463,14784
51,1732091464,14784
52,1732091465,14720
53,1732091466,14720
54,1732091467,14752
55,1732091468,14784
56,1732091469,14784
57,1732091470,14784
58,1732091471,14816
59,1732091472,14816
60,1732091473,14784
61,1732091474,14784
62,1732091475,14784
63,1732091476,14816
64,1732091477,14816
65,1732091478,14752
66,1732091479,14784
67,1732091480,14816
68,1732091481,14816
69,1732091482,14816
70,1732091483,14784
71,1732091484,14784
72,1732091485,14752
73,1732091486,14752
74,1732091487,14752
75,1732091488,14784
76,1732091489,14784
77,1732091490,14784
78,1732091491,14784
79,1732091492,14848
80,1732091493,14848
81,1732091494,14784
82,1732091495,14784
83,1732091496,14784
84,1732091497,14784
85,1732091498,14816
86,1732091499,14784
87,1732091500,14848
88,1732091501,14880
89,1732091502,14880
90,1732091503,14880
91,1732091504,14880
92,1732091505,14880
93,1732091506,14880
94,1732091507,14816
95,1732091508,14816
96,1732091509,14848
97,1732091510,14816
98,1732091511,14784
99,1732091512,14752
100,1732091513,14784
101,1732091514,14784
102,1732091515,14752
103,1732091516,14784
104,1732091517,14816
105,1732091518,14816
106,1732091519,14816
107,1732091520,14784
108,1732091521,14816
109,1732091522,14784
110,1732091523,14816
111,1732091524,14784
112,1732091525,14848
113,1732091526,14848
114,1732091527,14880
115,1732091528,14880
116,1732091529,14848
117,1732091530,14880
118,1732091531,14880
119,1732091532,14848
120,1732091533,14848
121,1732091534,14848
122,1732091535,14880
123,1732091536,14848
124,1732091537,14848
125,1732091538,14848
126,1732091539,14880
127,1732091540,14912
128,1732091541,14880
129,1732091542,14880
130,1732091543,14880
131,1732091544,14880
132,1732091545,14848
133,1732091546,14848
134,1732091547,14848
135,1732091548,14848
136,1732091549,14848
137,1732091550,14816
138,1732091551,14848
139,1732091552,14848
140,1732091553,14816
141,1732091554,14816
142,1732091555,14816
143,1732091556,14816
