,0,1
0,1732091412,6
1,1732091413,5
2,1732091414,4
3,1732091415,5
4,1732091416,7
5,1732091417,3
6,1732091418,3
7,1732091419,5
8,1732091420,3
9,1732091421,5
10,1732091422,6
11,1732091423,5
12,1732091424,4
13,1732091425,4
14,1732091426,5
15,1732091427,4
16,1732091428,5
17,1732091429,4
18,1732091430,4
19,1732091431,4
20,1732091432,3
21,1732091433,5
22,1732091434,5
23,1732091435,4
24,1732091436,4
25,1732091437,9
26,1732091438,4
27,1732091439,4
28,1732091440,4
29,1732091441,4
30,1732091442,4
31,1732091443,5
32,1732091444,4
33,1732091445,5
34,1732091446,4
35,1732091447,3
36,1732091448,4
37,1732091449,4
38,1732091450,3
39,1732091451,16
40,1732091452,5
41,1732091453,4
42,1732091454,4
43,1732091455,5
44,1732091456,4
45,1732091457,9
46,1732091458,4
47,1732091459,5
48,1732091460,5
49,1732091461,4
50,1732091462,4
51,1732091463,3
52,1732091464,4
53,1732091465,17
54,1732091466,18
55,1732091467,9
56,1732091468,9
57,1732091469,6
58,1732091470,7
59,1732091471,6
60,1732091472,5
61,1732091473,6
62,1732091474,5
63,1732091475,4
64,1732091476,6
65,1732091477,4
66,1732091478,3
67,1732091479,16
68,1732091480,24
69,1732091481,5
70,1732091482,6
71,1732091483,6
72,1732091484,12
73,1732091485,8
74,1732091486,5
75,1732091487,5
76,1732091488,7
77,1732091489,5
78,1732091490,4
79,1732091491,4
80,1732091492,5
81,1732091493,19
82,1732091494,22
83,1732091495,13
84,1732091496,4
85,1732091497,4
86,1732091498,7
87,1732091499,6
88,1732091500,6
89,1732091501,5
90,1732091502,5
91,1732091503,4
92,1732091504,7
93,1732091505,7
94,1732091506,5
95,1732091507,5
96,1732091508,3
97,1732091509,8
98,1732091510,7
99,1732091511,6
100,1732091512,5
101,1732091513,6
102,1732091514,8
103,1732091515,4
104,1732091516,6
105,1732091517,6
106,1732091518,7
107,1732091519,5
108,1732091520,4
109,1732091521,6
110,1732091522,5
111,1732091523,5
112,1732091524,10
113,1732091525,4
114,1732091526,11
115,1732091527,5
116,1732091528,8
117,1732091529,5
118,1732091530,5
119,1732091531,4
120,1732091532,8
121,1732091533,3
122,1732091534,3
123,1732091535,4
124,1732091536,5
125,1732091537,10
126,1732091538,15
127,1732091539,9
128,1732091540,6
129,1732091541,5
130,1732091542,6
131,1732091543,8
132,1732091544,4
133,1732091545,6
134,1732091546,4
135,1732091547,5
136,1732091548,7
137,1732091549,6
138,1732091550,4
139,1732091551,14
140,1732091552,9
141,1732091553,6
142,1732091554,6
143,1732091555,4
144,1732091556,6
145,1732091557,6
146,1732091558,8
147,1732091559,5
148,1732091560,4
149,1732091561,4
150,1732091562,5
151,1732091563,4
152,1732091564,4
153,1732091565,3
154,1732091566,17
155,1732091567,5
156,1732091568,5
157,1732091569,5
158,1732091570,4
159,1732091571,5
160,1732091572,4
161,1732091573,4
162,1732091574,3
163,1732091575,4
164,1732091576,7
165,1732091577,5
166,1732091578,3
167,1732091579,3
168,1732091580,16
169,1732091581,4
170,1732091582,4
171,1732091583,4
172,1732091584,5
173,1732091585,5
174,1732091586,5
175,1732091587,4
176,1732091588,4
177,1732091589,5
178,1732091590,5
179,1732091591,4
180,1732091592,6
181,1732091593,3
