,0,1
0,1732093235,28691.12
1,1732093236,28680.79
2,1732093237,28681.71
3,1732093238,28669.41
4,1732093239,28669.41
5,1732093240,28669.42
6,1732093241,28669.42
7,1732093242,28669.5
8,1732093243,28680.59
9,1732093244,28674.95
10,1732093245,28673.35
11,1732093246,28672.59
12,1732093247,29354.38
13,1732093248,29357.56
14,1732093249,29352.41
15,1732093250,29351.99
16,1732093251,29348.99
17,1732093252,29354.35
18,1732093253,29371.39
19,1732093254,29354.71
20,1732093255,29356.12
21,1732093256,29358.74
22,1732093257,29358.31
23,1732093258,29353.56
24,1732093259,29351.4
25,1732093260,29349.51
26,1732093261,29364.74
27,1732093262,29368.25
28,1732093263,29367.85
29,1732093264,30090.25
30,1732093265,29362.62
31,1732093266,29359.95
32,1732093267,29360.14
33,1732093268,29359.79
34,1732093269,29355.08
35,1732093270,29359.22
36,1732093271,29699.36
37,1732093272,29359.83
38,1732093273,29359.86
39,1732093274,29612.97
40,1732093275,29359.99
41,1732093276,29362.12
42,1732093277,29366.35
43,1732093278,29367.81
44,1732093279,29367.98
45,1732093280,29617.15
46,1732093281,29364.17
47,1732093282,29362.96
48,1732093283,30122.7
49,1732093284,29356.42
50,1732093285,29356.37
51,1732093286,29357.84
52,1732093287,29356.11
53,1732093288,29356.17
54,1732093289,29604.49
55,1732093290,29369.51
56,1732093291,29390.49
57,1732093292,29355.2
58,1732093293,29355.46
59,1732093294,29355.57
60,1732093295,29357.3
61,1732093296,29355.57
62,1732093297,29348.21
63,1732093298,29608.04
64,1732093299,29354.91
65,1732093300,29354.91
66,1732093301,29356.63
67,1732093302,29354.81
68,1732093303,29354.82
69,1732093304,29355.45
70,1732093305,29353.75
71,1732093306,29354.5
72,1732093307,30085.7
73,1732093308,29359.42
74,1732093309,28685.87
75,1732093310,28687.68
76,1732093311,28716.35
77,1732093312,28685.68
78,1732093313,28895.03
79,1732093314,28685.89
80,1732093315,28685.91
81,1732093316,28716.98
82,1732093317,28685.97
83,1732093318,28686.02
84,1732093319,28686.04
85,1732093320,28683.41
86,1732093321,28684.38
87,1732093322,28686.11
88,1732093323,28690.76
89,1732093324,28782.09
90,1732093325,28687.7
91,1732093326,28677.91
92,1732093327,28687.7
93,1732093328,28687.7
94,1732093329,28687.7
95,1732093330,28669.88
96,1732093331,28935.91
97,1732093332,28682.94
98,1732093333,28682.94
99,1732093334,28690.31
100,1732093335,28692.99
101,1732093336,28695.86
102,1732093337,28698.46
103,1732093338,28718.62
104,1732093339,28703.61
105,1732093340,28713.58
106,1732093341,28699.75
107,1732093342,28699.9
108,1732093343,28953.11
109,1732093344,29376.79
110,1732093345,29372.28
111,1732093346,29403.79
112,1732093347,29369.23
113,1732093348,29368.86
114,1732093349,29367.59
115,1732093350,29372.22
116,1732093351,29370.36
117,1732093352,29368.95
118,1732093353,29363.12
119,1732093354,30122.31
120,1732093355,29362.75
121,1732093356,29362.76
122,1732093357,29375.07
123,1732093358,29363.9
124,1732093359,29364.15
125,1732093360,29367.35
126,1732093361,29369.48
127,1732093362,29372.09
128,1732093363,29360.83
129,1732093364,29361.02
130,1732093365,29365.42
131,1732093366,29365.54
132,1732093367,29365.54
133,1732093368,29371.58
134,1732093369,29370.16
135,1732093370,29372.1
136,1732093371,29372.68
137,1732093372,29364.96
138,1732093373,29361.97
139,1732093374,29363.28
140,1732093375,29362.66
141,1732093376,29363.55
142,1732093377,29364.03
143,1732093378,29364.03
144,1732093379,29364.14
145,1732093380,29368.03
146,1732093381,29363.97
147,1732093382,29365.42
148,1732093383,29520.81
149,1732093384,29368.52
150,1732093385,29357.42
151,1732093386,29397.99
152,1732093387,29362.85
153,1732093388,29362.91
154,1732093389,29362.91
155,1732093390,29364.64
156,1732093391,29362.96
157,1732093392,29358.66
158,1732093393,29360.57
159,1732093394,29358.73
160,1732093395,29358.77
161,1732093396,29369.96
162,1732093397,29358.85
163,1732093398,29375.43
164,1732093399,29377.04
165,1732093400,28693.85
166,1732093401,28727.3
167,1732093402,28693.8
168,1732093403,28693.98
169,1732093404,28693.99
170,1732093405,28694.75
171,1732093406,28706.31
172,1732093407,28701.79
173,1732093408,28710.54
174,1732093409,28731.36
175,1732093410,28710.08
176,1732093411,28698.31
177,1732093412,28696.07
178,1732093413,28697.77
179,1732093414,28700.61
180,1732093415,28698.84
181,1732093416,28698.84
182,1732093417,28698.91
183,1732093418,28698.91
184,1732093419,28697.15
185,1732093420,28697.15
186,1732093421,28697.16
187,1732093422,29491.34
188,1732093423,28697.26
189,1732093424,28940.05
190,1732093425,28692.79
191,1732093426,28692.79
192,1732093427,28695.61
193,1732093428,28694.21
194,1732093429,28694.21
195,1732093430,28947.2
196,1732093431,28694.23
197,1732093432,28694.0
198,1732093433,28695.72
199,1732093434,28694.04
200,1732093435,28691.85
201,1732093436,28692.98
202,1732093437,28692.98
203,1732093438,28693.04
204,1732093439,28693.99
205,1732093440,28712.41
206,1732093441,28698.5
207,1732093442,28789.78
208,1732093443,28702.03
209,1732093444,28704.27
210,1732093445,28697.52
211,1732093446,28697.65
212,1732093447,28696.43
213,1732093448,28696.43
214,1732093449,28695.21
215,1732093450,28695.21
216,1732093451,28690.09
217,1732093452,28689.97
218,1732093453,28691.84
219,1732093454,28691.38
220,1732093455,28693.17
221,1732093456,28693.52
222,1732093457,28702.98
223,1732093458,28701.57
224,1732093459,28701.75
225,1732093460,29425.04
226,1732093461,28729.57
227,1732093462,28701.76
228,1732093463,28697.53
229,1732093464,28697.54
230,1732093465,28697.54
231,1732093466,28705.17
232,1732093467,28777.18
233,1732093468,28705.71
234,1732093469,28705.69
235,1732093470,28709.13
236,1732093471,28709.13
237,1732093472,28705.51
238,1732093473,28707.26
239,1732093474,28695.75
240,1732093475,28697.71
241,1732093476,28704.32
242,1732093477,28704.32
243,1732093478,28713.17
244,1732093479,28714.1
245,1732093480,28714.1
246,1732093481,28700.92
247,1732093482,28700.83
248,1732093483,28700.85
249,1732093484,28700.71
250,1732093485,28700.72
251,1732093486,28700.79
252,1732093487,28699.64
253,1732093488,28699.67
254,1732093489,28695.92
255,1732093490,28695.92
256,1732093491,28695.92
257,1732093492,28695.28
258,1732093493,28695.64
259,1732093494,28695.68
260,1732093495,28695.73
261,1732093496,28697.43
262,1732093497,28695.73
263,1732093498,28693.25
264,1732093499,28811.63
265,1732093500,28682.74
266,1732093501,28692.41
267,1732093502,28692.36
268,1732093503,28697.6
269,1732093504,28697.92
270,1732093505,28694.86
271,1732093506,28695.0
272,1732093507,28695.0
273,1732093508,29403.66
274,1732093509,28688.72
275,1732093510,28693.55
276,1732093511,28693.55
277,1732093512,28684.21
278,1732093513,28684.45
279,1732093514,28684.45
280,1732093515,28712.27
281,1732093516,28681.68
282,1732093517,28681.68
283,1732093518,28681.68
284,1732093519,28688.09
285,1732093520,28688.09
286,1732093521,28691.22
287,1732093522,28691.17
288,1732093523,28695.91
289,1732093524,28723.82
290,1732093525,28696.01
291,1732093526,28691.86
292,1732093527,28682.07
293,1732093528,28682.13
294,1732093529,28682.13
295,1732093530,28682.13
296,1732093531,28679.36
297,1732093532,28679.18
298,1732093533,28679.2
299,1732093534,28679.2
300,1732093535,28679.2
301,1732093536,28679.21
302,1732093537,28679.21
303,1732093538,28679.21
304,1732093539,28691.79
305,1732093540,28688.4
306,1732093541,28689.16
307,1732093542,28694.16
308,1732093543,28698.99
309,1732093544,28699.13
310,1732093545,28696.08
311,1732093546,28696.08
312,1732093547,28696.08
313,1732093548,28698.11
314,1732093549,28698.19
315,1732093550,28696.0
316,1732093551,28949.88
317,1732093552,28696.85
318,1732093553,28700.0
319,1732093554,28950.81
320,1732093555,28697.84
321,1732093556,28697.84
322,1732093557,28699.49
323,1732093558,28792.01
324,1732093559,28785.69
325,1732093560,28699.18
326,1732093561,28700.06
327,1732093562,28704.92
328,1732093563,28705.02
329,1732093564,28705.24
330,1732093565,28701.1
331,1732093566,28701.05
332,1732093567,28701.13
