,0,1
0,1732093235,1616
1,1732093236,1615
2,1732093237,1614
3,1732093238,1613
4,1732093239,1613
5,1732093240,1613
6,1732093241,1613
7,1732093242,1613
8,1732093243,1614
9,1732093244,1614
10,1732093245,1614
11,1732093246,1614
12,1732093247,1626
13,1732093248,1628
14,1732093249,1624
15,1732093250,1625
16,1732093251,1625
17,1732093252,1624
18,1732093253,1626
19,1732093254,1624
20,1732093255,1625
21,1732093256,1625
22,1732093257,1625
23,1732093258,1625
24,1732093259,1626
25,1732093260,1624
26,1732093261,1624
27,1732093262,1624
28,1732093263,1624
29,1732093264,1626
30,1732093265,1625
31,1732093266,1625
32,1732093267,1625
33,1732093268,1626
34,1732093269,1625
35,1732093270,1626
36,1732093271,1632
37,1732093272,1625
38,1732093273,1625
39,1732093274,1625
40,1732093275,1624
41,1732093276,1624
42,1732093277,1625
43,1732093278,1624
44,1732093279,1623
45,1732093280,1624
46,1732093281,1623
47,1732093282,1623
48,1732093283,1626
49,1732093284,1623
50,1732093285,1623
51,1732093286,1625
52,1732093287,1625
53,1732093288,1624
54,1732093289,1624
55,1732093290,1625
56,1732093291,1625
57,1732093292,1624
58,1732093293,1624
59,1732093294,1624
60,1732093295,1627
61,1732093296,1624
62,1732093297,1627
63,1732093298,1625
64,1732093299,1624
65,1732093300,1624
66,1732093301,1625
67,1732093302,1624
68,1732093303,1624
69,1732093304,1625
70,1732093305,1624
71,1732093306,1625
72,1732093307,1628
73,1732093308,1625
74,1732093309,1615
75,1732093310,1616
76,1732093311,1616
77,1732093312,1615
78,1732093313,1615
79,1732093314,1615
80,1732093315,1615
81,1732093316,1617
82,1732093317,1615
83,1732093318,1615
84,1732093319,1616
85,1732093320,1615
86,1732093321,1615
87,1732093322,1616
88,1732093323,1615
89,1732093324,1621
90,1732093325,1615
91,1732093326,1615
92,1732093327,1615
93,1732093328,1616
94,1732093329,1615
95,1732093330,1615
96,1732093331,1616
97,1732093332,1616
98,1732093333,1615
99,1732093334,1616
100,1732093335,1615
101,1732093336,1615
102,1732093337,1616
103,1732093338,1616
104,1732093339,1615
105,1732093340,1616
106,1732093341,1615
107,1732093342,1615
108,1732093343,1616
109,1732093344,1627
110,1732093345,1625
111,1732093346,1627
112,1732093347,1625
113,1732093348,1625
114,1732093349,1626
115,1732093350,1630
116,1732093351,1627
117,1732093352,1628
118,1732093353,1627
119,1732093354,1630
120,1732093355,1627
121,1732093356,1628
122,1732093357,1624
123,1732093358,1623
124,1732093359,1623
125,1732093360,1623
126,1732093361,1623
127,1732093362,1623
128,1732093363,1623
129,1732093364,1623
130,1732093365,1623
131,1732093366,1622
132,1732093367,1622
133,1732093368,1624
134,1732093369,1623
135,1732093370,1623
136,1732093371,1624
137,1732093372,1622
