,0,1
0,1732093235,14944
1,1732093236,14912
2,1732093237,14912
3,1732093238,14912
4,1732093239,14944
5,1732093240,14944
6,1732093241,14912
7,1732093242,14912
8,1732093243,14880
9,1732093244,14816
10,1732093245,14848
11,1732093246,14848
12,1732093247,14944
13,1732093248,14944
14,1732093249,14880
15,1732093250,14880
16,1732093251,14912
17,1732093252,14944
18,1732093253,14944
19,1732093254,14912
20,1732093255,14944
21,1732093256,14976
22,1732093257,14976
23,1732093258,14912
24,1732093259,14944
25,1732093260,14976
26,1732093261,15008
27,1732093262,15040
28,1732093263,15072
29,1732093264,15040
30,1732093265,14976
31,1732093266,14944
32,1732093267,14944
33,1732093268,14976
34,1732093269,14976
35,1732093270,15008
36,1732093271,15008
37,1732093272,14976
38,1732093273,14976
39,1732093274,14944
40,1732093275,14976
41,1732093276,14976
42,1732093277,14976
43,1732093278,15008
44,1732093279,15008
45,1732093280,15040
46,1732093281,15040
47,1732093282,15040
48,1732093283,15008
49,1732093284,14976
50,1732093285,14944
51,1732093286,14976
52,1732093287,15008
53,1732093288,15008
54,1732093289,15008
55,1732093290,15008
56,1732093291,15040
57,1732093292,14976
58,1732093293,14976
59,1732093294,14976
60,1732093295,14976
61,1732093296,14976
62,1732093297,14944
63,1732093298,15008
64,1732093299,14976
65,1732093300,14976
66,1732093301,14976
67,1732093302,14976
68,1732093303,14976
69,1732093304,14976
70,1732093305,14944
71,1732093306,14944
72,1732093307,14944
73,1732093308,14944
74,1732093309,14944
75,1732093310,14944
76,1732093311,14976
77,1732093312,14944
78,1732093313,14912
79,1732093314,14912
80,1732093315,14912
81,1732093316,14976
82,1732093317,14976
83,1732093318,14976
84,1732093319,14976
85,1732093320,14912
86,1732093321,14944
87,1732093322,14976
88,1732093323,14976
89,1732093324,15008
90,1732093325,14944
91,1732093326,14944
92,1732093327,14912
93,1732093328,14912
94,1732093329,14912
95,1732093330,14880
96,1732093331,14848
97,1732093332,14880
98,1732093333,14976
99,1732093334,14976
100,1732093335,14976
101,1732093336,14944
102,1732093337,14944
103,1732093338,14912
104,1732093339,14976
105,1732093340,14880
106,1732093341,14976
107,1732093342,14976
108,1732093343,14944
109,1732093344,14976
110,1732093345,14976
111,1732093346,15008
112,1732093347,14976
113,1732093348,14976
114,1732093349,14944
115,1732093350,14944
116,1732093351,14944
117,1732093352,14944
118,1732093353,14944
119,1732093354,14944
120,1732093355,15008
121,1732093356,15008
122,1732093357,15008
123,1732093358,15040
124,1732093359,15040
125,1732093360,14976
126,1732093361,14976
127,1732093362,14976
128,1732093363,14976
129,1732093364,15008
130,1732093365,15008
131,1732093366,14976
132,1732093367,14976
133,1732093368,15008
134,1732093369,15008
135,1732093370,14976
136,1732093371,15008
