,0,1
0,1732093235,5
1,1732093236,4
2,1732093237,4
3,1732093238,4
4,1732093239,5
5,1732093240,5
6,1732093241,6
7,1732093242,5
8,1732093243,5
9,1732093244,5
10,1732093245,11
11,1732093246,8
12,1732093247,6
13,1732093248,25
14,1732093249,5
15,1732093250,5
16,1732093251,4
17,1732093252,4
18,1732093253,9
19,1732093254,6
20,1732093255,4
21,1732093256,4
22,1732093257,3
23,1732093258,5
24,1732093259,6
25,1732093260,16
26,1732093261,6
27,1732093262,4
28,1732093263,6
29,1732093264,6
30,1732093265,5
31,1732093266,27
32,1732093267,7
33,1732093268,5
34,1732093269,4
35,1732093270,6
36,1732093271,7
37,1732093272,4
38,1732093273,6
39,1732093274,23
40,1732093275,5
41,1732093276,4
42,1732093277,8
43,1732093278,5
44,1732093279,8
45,1732093280,7
46,1732093281,4
47,1732093282,5
48,1732093283,10
49,1732093284,6
50,1732093285,5
51,1732093286,5
52,1732093287,3
53,1732093288,18
54,1732093289,18
55,1732093290,5
56,1732093291,7
57,1732093292,5
58,1732093293,5
59,1732093294,8
60,1732093295,5
61,1732093296,4
62,1732093297,5
63,1732093298,6
64,1732093299,5
65,1732093300,3
66,1732093301,5
67,1732093302,15
68,1732093303,17
69,1732093304,6
70,1732093305,6
71,1732093306,11
72,1732093307,9
73,1732093308,4
74,1732093309,8
75,1732093310,9
76,1732093311,7
77,1732093312,5
78,1732093313,5
79,1732093314,4
80,1732093315,5
81,1732093316,6
82,1732093317,3
83,1732093318,7
84,1732093319,8
85,1732093320,10
86,1732093321,6
87,1732093322,5
88,1732093323,7
89,1732093324,10
90,1732093325,8
91,1732093326,10
92,1732093327,8
93,1732093328,8
94,1732093329,7
95,1732093330,9
96,1732093331,6
97,1732093332,23
98,1732093333,9
99,1732093334,9
100,1732093335,8
101,1732093336,6
102,1732093337,6
103,1732093338,6
104,1732093339,5
105,1732093340,5
106,1732093341,4
107,1732093342,4
108,1732093343,6
109,1732093344,5
110,1732093345,5
111,1732093346,13
112,1732093347,13
113,1732093348,5
114,1732093349,7
115,1732093350,6
116,1732093351,4
117,1732093352,5
118,1732093353,4
119,1732093354,8
120,1732093355,4
121,1732093356,7
122,1732093357,5
123,1732093358,5
124,1732093359,8
125,1732093360,9
126,1732093361,10
127,1732093362,4
128,1732093363,5
129,1732093364,5
130,1732093365,4
131,1732093366,6
132,1732093367,13
133,1732093368,5
134,1732093369,7
135,1732093370,4
136,1732093371,5
137,1732093372,4
138,1732093373,4
139,1732093374,14
140,1732093375,10
141,1732093376,4
142,1732093377,4
143,1732093378,4
144,1732093379,4
145,1732093380,5
146,1732093381,4
147,1732093382,4
148,1732093383,7
149,1732093384,6
150,1732093385,3
151,1732093386,7
152,1732093387,8
153,1732093388,4
154,1732093389,17
155,1732093390,5
156,1732093391,4
157,1732093392,4
158,1732093393,8
159,1732093394,5
160,1732093395,4
161,1732093396,7
162,1732093397,4
163,1732093398,4
164,1732093399,6
165,1732093400,4
166,1732093401,10
167,1732093402,3
168,1732093403,16
169,1732093404,4
170,1732093405,8
171,1732093406,6
172,1732093407,6
173,1732093408,7
174,1732093409,8
175,1732093410,8
176,1732093411,5
177,1732093412,4
178,1732093413,5
179,1732093414,5
180,1732093415,5
181,1732093416,3
182,1732093417,16
183,1732093418,16
184,1732093419,5
185,1732093420,4
186,1732093421,6
187,1732093422,7
188,1732093423,4
189,1732093424,8
190,1732093425,7
191,1732093426,4
192,1732093427,11
193,1732093428,5
194,1732093429,7
195,1732093430,8
196,1732093431,4
197,1732093432,4
198,1732093433,5
199,1732093434,4
200,1732093435,4
201,1732093436,4
202,1732093437,4
203,1732093438,4
204,1732093439,5
205,1732093440,6
206,1732093441,4
207,1732093442,5
208,1732093443,3
209,1732093444,6
210,1732093445,8
211,1732093446,5
212,1732093447,4
213,1732093448,10
214,1732093449,6
215,1732093450,4
216,1732093451,5
217,1732093452,4
218,1732093453,4
219,1732093454,4
220,1732093455,5
221,1732093456,4
222,1732093457,3
223,1732093458,5
224,1732093459,5
225,1732093460,24
226,1732093461,7
227,1732093462,8
228,1732093463,11
229,1732093464,4
230,1732093465,5
231,1732093466,7
232,1732093467,9
233,1732093468,7
234,1732093469,16
235,1732093470,4
236,1732093471,7
237,1732093472,3
238,1732093473,5
239,1732093474,6
240,1732093475,13
241,1732093476,11
242,1732093477,4
243,1732093478,5
244,1732093479,5
245,1732093480,4
246,1732093481,4
247,1732093482,4
248,1732093483,5
249,1732093484,4
250,1732093485,4
251,1732093486,3
252,1732093487,3
253,1732093488,3
254,1732093489,11
255,1732093490,16
256,1732093491,4
257,1732093492,4
258,1732093493,5
259,1732093494,4
260,1732093495,4
261,1732093496,5
262,1732093497,4
263,1732093498,4
264,1732093499,6
265,1732093500,4
266,1732093501,6
267,1732093502,4
268,1732093503,7
269,1732093504,18
270,1732093505,4
271,1732093506,4
272,1732093507,5
273,1732093508,5
274,1732093509,4
275,1732093510,5
276,1732093511,6
277,1732093512,6
278,1732093513,7
279,1732093514,4
280,1732093515,3
281,1732093516,3
282,1732093517,3
283,1732093518,16
284,1732093519,5
285,1732093520,5
286,1732093521,4
287,1732093522,4
288,1732093523,4
289,1732093524,6
290,1732093525,5
291,1732093526,6
292,1732093527,5
293,1732093528,4
294,1732093529,4
295,1732093530,4
296,1732093531,3
297,1732093532,3
298,1732093533,3
299,1732093534,5
300,1732093535,5
301,1732093536,4
302,1732093537,4
303,1732093538,4
304,1732093539,5
305,1732093540,6
306,1732093541,5
307,1732093542,6
