,0,1
0,1732093234,598.8633
1,1732093235,599.5156
2,1732093236,581.0273
3,1732093237,605.9805
4,1732093238,618.1523
5,1732093239,622.1445
6,1732093240,629.125
7,1732093241,628.5039
8,1732093242,616.6953
9,1732093243,583.4141
10,1732093244,593.1445
11,1732093245,600.2578
12,1732093246,612.582
13,1732093247,575.7578
14,1732093248,558.3789
15,1732093249,564.7344
16,1732093250,575.457
17,1732093251,591.7422
18,1732093252,582.5586
19,1732093253,568.1953
20,1732093254,559.7031
21,1732093255,575.8633
22,1732093256,585.2539
23,1732093257,587.0898
24,1732093258,584.1289
25,1732093259,614.5977
26,1732093260,597.9297
27,1732093261,582.582
28,1732093262,602.6562
29,1732093263,580.2422
30,1732093264,567.8711
31,1732093265,553.0703
32,1732093266,549.1797
33,1732093267,574.918
34,1732093268,577.0742
35,1732093269,554.0898
36,1732093270,556.4844
37,1732093271,547.918
38,1732093272,580.7344
39,1732093273,571.6992
40,1732093274,569.9023
41,1732093275,591.2734
42,1732093276,594.1172
43,1732093277,565.4688
44,1732093278,560.2539
45,1732093279,529.6953
46,1732093280,563.3516
47,1732093281,562.707
48,1732093282,549.6406
49,1732093283,495.8203
50,1732093284,527.957
51,1732093285,514.4648
52,1732093286,520.1875
53,1732093287,569.9766
54,1732093288,563.625
55,1732093289,558.3477
56,1732093290,546.9688
57,1732093291,520.7305
58,1732093292,543.1641
59,1732093293,555.7422
60,1732093294,555.8945
61,1732093295,561.9727
62,1732093296,569.1953
63,1732093297,577.4805
64,1732093298,546.9375
65,1732093299,567.5977
66,1732093300,592.5781
67,1732093301,573.6836
68,1732093302,571.3164
69,1732093303,596.3359
70,1732093304,570.5469
71,1732093305,583.8594
72,1732093306,545.2734
73,1732093307,550.0977
74,1732093308,557.7812
75,1732093309,606.1797
76,1732093310,557.1328
77,1732093311,524.9961
78,1732093312,565.5547
79,1732093313,604.957
80,1732093314,586.0469
81,1732093315,579.6367
82,1732093316,565.0469
83,1732093317,555.8242
84,1732093318,566.75
85,1732093319,548.3242
86,1732093320,551.1797
87,1732093321,563.8867
88,1732093322,556.2148
89,1732093323,532.5977
90,1732093324,552.7734
91,1732093325,581.8164
92,1732093326,596.5625
93,1732093327,578.6172
94,1732093328,602.1719
95,1732093329,607.1133
96,1732093330,618.7109
97,1732093331,586.1133
98,1732093332,560.6172
99,1732093333,530.5781
100,1732093334,534.2891
101,1732093335,566.2109
102,1732093336,570.1328
103,1732093337,545.418
104,1732093338,522.793
105,1732093339,527.2188
106,1732093340,520.543
107,1732093341,568.625
108,1732093342,536.0625
