,0,1
0,1733221608,511.832
1,1733221609,512.9531
2,1733221610,514.7852
3,1733221611,515.6055
4,1733221612,512.8359
5,1733221613,515.625
6,1733221614,516.4961
7,1733221615,513.1797
8,1733221616,514.2734
9,1733221617,515.5469
10,1733221618,516.6133
11,1733221619,517.543
12,1733221620,511.5898
13,1733221621,513.4805
14,1733221622,514.4961
15,1733221623,515.1797
16,1733221624,515.1797
17,1733221625,511.3125
18,1733221626,513.4414
19,1733221627,514.6055
20,1733221628,516.9492
21,1733221629,518.0625
22,1733221630,514.9531
23,1733221631,512.707
24,1733221632,513.9062
25,1733221633,514.8047
26,1733221634,515.3789
27,1733221635,514.8594
28,1733221636,517.1172
29,1733221637,514.9102
30,1733221638,514.3086
31,1733221639,516.2734
32,1733221640,511.6094
33,1733221641,513.668
34,1733221642,509.625
35,1733221643,512.0781
36,1733221644,509.8047
37,1733221645,512.1562
38,1733221646,514.4258
39,1733221647,516.5039
40,1733221648,517.3594
41,1733221649,514.3242
42,1733221650,510.8008
43,1733221651,513.6172
44,1733221652,514.7109
45,1733221653,515.1484
46,1733221654,516.0352
47,1733221655,516.2539
48,1733221656,513.168
49,1733221657,515.6562
50,1733221658,516.5859
51,1733221659,514.1016
52,1733221660,515.4805
53,1733221661,498.9023
54,1733221662,501.4062
55,1733221663,502.9961
56,1733221664,504.8281
57,1733221665,501.3477
58,1733221666,502.4102
59,1733221667,503.4531
60,1733221668,504.6055
61,1733221669,501.3359
62,1733221670,503.6602
63,1733221671,505.3008
64,1733221672,507.625
65,1733221673,503.7031
66,1733221674,494.9141
67,1733221675,496.9922
68,1733221676,499.082
69,1733221677,501.4297
70,1733221678,502.5234
71,1733221679,504.1094
72,1733221680,504.7344
73,1733221681,506.0742
74,1733221682,505.832
75,1733221683,502.5078
76,1733221684,503.4102
77,1733221685,504.5586
78,1733221686,504.9961
79,1733221687,501.6562
80,1733221688,498.2617
81,1733221689,499.6562
82,1733221690,497.6094
83,1733221691,500.1562
84,1733221692,500.5938
85,1733221693,501.4961
86,1733221694,502.3984
87,1733221695,504.0117
88,1733221696,505.8086
89,1733221697,506.4844
90,1733221698,500.3984
91,1733221699,498.1758
92,1733221700,501.4688
93,1733221701,503.3008
94,1733221702,504.668
95,1733221703,504.8594
96,1733221704,505.7344
97,1733221705,507.5508
98,1733221706,503.5664
99,1733221707,505.3984
100,1733221708,505.125
101,1733221709,506.1914
102,1733221710,502.9609
103,1733221711,504.0586
104,1733221712,501.1406
105,1733221713,502.918
106,1733221714,498.9414
107,1733221715,501.25
108,1733221716,502.0898
109,1733221717,503.7031
110,1733221718,499.6641
111,1733221719,501.5234
112,1733221720,502.6172
113,1733221721,503.9844
114,1733221722,500.7969
115,1733221723,502.5859
116,1733221724,504.1992
117,1733221725,502.8906
118,1733221726,503.5469
119,1733221727,504.4492
120,1733221728,494.2539
121,1733221729,497.0195
122,1733221730,497.9219
123,1733221731,500.2539
124,1733221732,501.8984
125,1733221733,498.1523
126,1733221734,499.3008
127,1733221735,501.4062
128,1733221736,502.793
129,1733221737,503.8867
130,1733221738,505.0625
131,1733221739,505.5
132,1733221740,501.5391
133,1733221741,503.6719
134,1733221742,506.0391
135,1733221743,508.1406
136,1733221744,503.9414
137,1733221745,506.1953
138,1733221746,506.168
139,1733221747,506.6055
140,1733221748,502.8359
141,1733221749,504.9141
142,1733221750,505.5977
143,1733221751,505.1094
144,1733221752,505.2656
145,1733221753,505.9492
146,1733221754,506.8242
147,1733221755,504.1445
148,1733221756,502.8477
149,1733221757,504.4453
150,1733221758,505.793
151,1733221759,502.7578
152,1733221760,503.6875
153,1733221761,499.9609
154,1733221762,502.2617
155,1733221763,502.6445
156,1733221764,503.4922
157,1733221765,505.5273
158,1733221766,506.1836
159,1733221767,504.3906
