,0,1
0,1734074818,2
1,1734074819,2
2,1734074820,3
3,1734074821,2
4,1734074822,2
5,1734074823,2
6,1734074824,2
7,1734074825,2
8,1734074826,3
9,1734074827,2
10,1734074828,2
11,1734074829,3
12,1734074830,2
13,1734074831,2
14,1734074832,2
15,1734074833,3
16,1734074834,2
17,1734074835,2
18,1734074836,2
19,1734074837,2
20,1734074838,2
21,1734074839,2
22,1734074840,3
23,1734074841,2
24,1734074842,2
25,1734074843,2
26,1734074844,2
27,1734074845,2
28,1734074846,3
29,1734074847,2
30,1734074848,2
31,1734074849,2
32,1734074850,2
33,1734074851,2
34,1734074852,2
35,1734074853,2
36,1734074854,3
37,1734074855,2
38,1734074856,2
39,1734074857,2
40,1734074858,3
41,1734074859,2
42,1734074860,2
43,1734074861,2
44,1734074862,2
45,1734074863,2
46,1734074864,2
47,1734074865,2
48,1734074866,2
49,1734074867,2
50,1734074868,3
51,1734074869,2
52,1734074870,2
53,1734074871,2
54,1734074872,2
55,1734074873,2
56,1734074874,3
57,1734074875,2
58,1734074876,2
59,1734074877,2
60,1734074878,2
61,1734074879,3
62,1734074880,2
63,1734074881,4
64,1734074882,3
65,1734074883,2
66,1734074884,2
67,1734074885,2
68,1734074886,2
69,1734074887,2
70,1734074888,2
71,1734074889,2
72,1734074890,2
73,1734074891,2
74,1734074892,2
75,1734074893,2
76,1734074894,2
77,1734074895,2
78,1734074896,2
79,1734074897,4
80,1734074898,2
81,1734074899,2
82,1734074900,2
83,1734074901,2
84,1734074902,2
85,1734074903,2
86,1734074904,2
87,1734074905,2
88,1734074906,2
89,1734074907,2
90,1734074908,2
91,1734074909,2
92,1734074910,2
93,1734074911,3
94,1734074912,2
95,1734074913,2
96,1734074914,2
97,1734074915,2
98,1734074916,2
99,1734074917,2
100,1734074918,2
101,1734074919,2
102,1734074920,2
103,1734074921,2
104,1734074922,2
105,1734074923,2
106,1734074924,3
107,1734074925,2
108,1734074926,2
109,1734074927,2
110,1734074928,2
111,1734074929,2
112,1734074930,2
113,1734074931,2
114,1734074932,2
115,1734074933,2
116,1734074934,2
117,1734074935,2
118,1734074936,2
119,1734074937,2
120,1734074938,2
121,1734074939,3
122,1734074940,2
123,1734074941,2
124,1734074942,2
125,1734074943,2
126,1734074944,2
127,1734074945,2
128,1734074946,2
129,1734074947,2
130,1734074948,2
131,1734074949,2
132,1734074950,2
133,1734074951,2
134,1734074952,2
135,1734074953,3
136,1734074954,2
137,1734074955,2
138,1734074956,2
139,1734074957,2
140,1734074958,2
141,1734074959,2
142,1734074960,2
143,1734074961,2
144,1734074962,2
145,1734074963,2
146,1734074964,2
147,1734074965,2
148,1734074966,2
149,1734074967,3
150,1734074968,2
151,1734074969,2
152,1734074970,2
153,1734074971,3
154,1734074972,2
155,1734074973,2
156,1734074974,2
157,1734074975,2
158,1734074976,2
159,1734074977,2
160,1734074978,2
161,1734074979,2
162,1734074980,4
163,1734074981,2
164,1734074982,3
165,1734074983,2
166,1734074984,2
167,1734074985,2
168,1734074986,2
169,1734074987,2
170,1734074988,2
171,1734074989,2
172,1734074990,2
173,1734074991,2
174,1734074992,2
175,1734074993,2
176,1734074994,3
177,1734074995,2
178,1734074996,3
179,1734074997,2
180,1734074998,2
181,1734074999,2
182,1734075000,2
183,1734075001,2
184,1734075002,3
185,1734075003,2
186,1734075004,2
187,1734075005,2
188,1734075006,2
189,1734075007,2
190,1734075008,2
191,1734075009,2
192,1734075010,3
193,1734075011,2
194,1734075012,2
195,1734075013,2
196,1734075014,3
197,1734075015,2
198,1734075016,2
199,1734075017,2
200,1734075018,2
201,1734075019,2
202,1734075020,2
203,1734075021,2
204,1734075022,2
205,1734075023,2
206,1734075024,3
207,1734075025,2
208,1734075026,2
209,1734075027,2
210,1734075028,3
211,1734075029,2
212,1734075030,2
213,1734075031,2
214,1734075032,2
215,1734075033,2
216,1734075034,2
217,1734075035,2
218,1734075036,2
219,1734075037,2
220,1734075038,3
221,1734075039,2
222,1734075040,2
223,1734075041,2
224,1734075042,2
225,1734075043,2
226,1734075044,2
227,1734075045,2
228,1734075046,2
229,1734075047,2
230,1734075048,2
231,1734075049,3
232,1734075050,2
233,1734075051,3
234,1734075052,2
235,1734075053,2
236,1734075054,2
237,1734075055,2
238,1734075056,2
239,1734075057,2
240,1734075058,2
241,1734075059,2
242,1734075060,2
243,1734075061,2
244,1734075062,2
245,1734075063,2
246,1734075064,2
247,1734075065,3
248,1734075066,2
249,1734075067,2
250,1734075068,2
251,1734075069,2
252,1734075070,2
253,1734075071,2
254,1734075072,2
255,1734075073,2
256,1734075074,2
257,1734075075,2
258,1734075076,2
259,1734075077,2
260,1734075078,2
261,1734075079,2
262,1734075080,3
263,1734075081,2
264,1734075082,2
265,1734075083,2
266,1734075084,2
267,1734075085,2
268,1734075086,2
269,1734075087,2
270,1734075088,2
271,1734075089,2
272,1734075090,2
273,1734075091,2
274,1734075092,3
275,1734075093,2
276,1734075094,3
277,1734075095,2
278,1734075096,2
279,1734075097,2
280,1734075098,2
281,1734075099,2
282,1734075100,2
283,1734075101,2
284,1734075102,2
285,1734075103,2
286,1734075104,2
287,1734075105,2
288,1734075106,2
289,1734075107,2
290,1734075108,3
291,1734075109,2
292,1734075110,2
293,1734075111,3
294,1734075112,2
295,1734075113,2
296,1734075114,2
297,1734075115,2
298,1734075116,2
299,1734075117,2
300,1734075118,3
301,1734075119,2
302,1734075120,2
303,1734075121,3
304,1734075122,2
305,1734075123,2
306,1734075124,2
307,1734075125,2
308,1734075126,3
309,1734075127,2
310,1734075128,2
311,1734075129,2
312,1734075130,2
313,1734075131,2
314,1734075132,2
315,1734075133,2
316,1734075134,2
317,1734075135,5
318,1734075136,2
319,1734075137,2
320,1734075138,2
321,1734075139,2
322,1734075140,2
323,1734075141,2
324,1734075142,2
325,1734075143,2
326,1734075144,2
327,1734075145,2
328,1734075146,3
329,1734075147,3
330,1734075148,2
331,1734075149,2
332,1734075150,4
333,1734075151,2
334,1734075152,2
335,1734075153,2
336,1734075154,2
337,1734075155,2
338,1734075156,2
339,1734075157,3
340,1734075158,2
341,1734075159,2
342,1734075160,2
343,1734075161,2
344,1734075162,2
345,1734075163,2
346,1734075164,3
347,1734075165,2
348,1734075166,2
349,1734075167,2
350,1734075168,2
351,1734075169,2
352,1734075170,2
353,1734075171,3
354,1734075172,2
355,1734075173,3
356,1734075174,2
357,1734075175,2
358,1734075176,3
359,1734075177,2
360,1734075178,3
361,1734075179,2
362,1734075180,2
363,1734075181,2
364,1734075182,2
365,1734075183,2
366,1734075184,2
367,1734075185,2
368,1734075186,2
369,1734075187,2
370,1734075188,2
371,1734075189,2
372,1734075190,2
373,1734075191,2
374,1734075192,3
375,1734075193,2
376,1734075194,5
377,1734075195,2
378,1734075196,2
379,1734075197,2
380,1734075198,2
381,1734075199,2
382,1734075200,2
383,1734075201,2
384,1734075202,2
385,1734075203,2
386,1734075204,2
387,1734075205,3
388,1734075206,2
389,1734075207,2
390,1734075208,2
391,1734075209,2
392,1734075210,2
393,1734075211,2
394,1734075212,2
395,1734075213,2
396,1734075214,2
397,1734075215,2
398,1734075216,2
399,1734075217,2
400,1734075218,2
401,1734075219,2
402,1734075220,3
403,1734075221,3
404,1734075222,2
405,1734075223,2
406,1734075224,2
407,1734075225,2
408,1734075226,2
409,1734075227,2
410,1734075228,3
411,1734075229,2
412,1734075230,2
413,1734075231,3
414,1734075232,2
415,1734075233,2
416,1734075234,3
417,1734075235,2
418,1734075236,2
419,1734075237,2
420,1734075238,2
421,1734075239,2
422,1734075240,2
423,1734075241,2
424,1734075242,2
425,1734075243,2
426,1734075244,2
427,1734075245,2
428,1734075246,2
429,1734075247,2
430,1734075248,3
431,1734075249,2
432,1734075250,2
433,1734075251,2
434,1734075252,2
435,1734075253,2
436,1734075254,2
437,1734075255,2
438,1734075256,2
439,1734075257,2
440,1734075258,2
441,1734075259,2
442,1734075260,2
443,1734075261,2
444,1734075262,3
445,1734075263,2
446,1734075264,2
447,1734075265,2
448,1734075266,2
449,1734075267,2
450,1734075268,2
451,1734075269,2
452,1734075270,2
453,1734075271,2
454,1734075272,2
455,1734075273,2
456,1734075274,2
457,1734075275,3
458,1734075276,2
459,1734075277,2
460,1734075278,2
461,1734075279,2
462,1734075280,2
463,1734075281,2
464,1734075282,2
465,1734075283,2
466,1734075284,2
467,1734075285,2
468,1734075286,2
469,1734075287,3
470,1734075288,2
471,1734075289,2
472,1734075290,3
473,1734075291,2
474,1734075292,2
475,1734075293,2
476,1734075294,2
477,1734075295,2
478,1734075296,2
479,1734075297,2
480,1734075298,2
481,1734075299,2
482,1734075300,2
483,1734075301,2
484,1734075302,2
485,1734075303,2
486,1734075304,4
487,1734075305,3
488,1734075306,2
489,1734075307,2
490,1734075308,2
491,1734075309,2
