nginx_mem.committed_Committed_AS,nginx_system.active_processes_active,nginx_system.cpu_user,nginx_system.file_nr_used_used,nginx_system.processes_running,nginx_system.ram_buffers,nginx_system.ram_cached,nginx_system.ram_free,nginx_system.ram_used,Target
45978.14,2316,26.72191,19856,42,1777.574,21016.32,870.1016,14849.875,98
45978.78,2317,22.64249,19896,43,1777.574,21031.08,844.2969,14860.922,98
45980.06,2317,22.38883,19896,42,1777.578,21047.36,838.9414,14849.992,98
45976.34,2317,24.4204,19816,39,1777.578,21062.73,811.293,14862.273,98
45975.37,2317,22.43523,19896,44,1777.578,21079.02,797.8672,14859.41,98
45974.32,2317,22.28513,19936,32,1777.578,21096.12,811.6055,14828.566,98
45979.59,2317,23.47466,19936,43,1777.586,21113.59,794.6562,14828.035,98
45976.96,2317,22.98969,19856,35,1777.586,21129.57,766.9531,14839.762,98
45977.14,2317,22.33766,19816,41,1777.586,21145.69,730.5625,14860.035,98
45980.18,2317,23.69644,19816,42,1777.586,21162.75,699.5938,14873.945,98
45979.48,2317,22.00413,19896,49,1777.586,21178.64,735.5977,14822.051,98
45979.33,2317,22.69907,19856,31,1777.59,21195.39,701.2734,14839.617,98
45979.89,2312,23.33505,19896,43,1777.605,21211.25,706.1992,14818.82,98
45977.13,2311,23.54456,19896,46,1777.637,21226.71,697.4883,14812.039,98
45976.78,2311,22.07859,19816,45,1777.637,21243.42,677.9766,14814.836,98
45973.69,2311,23.19588,19776,36,1777.637,21259.59,662.0586,14814.59,98
45789.58,2301,17.20041,19456,1,1777.676,21274.7,602.3047,14859.191,98
45789.08,2301,1.4177215,19496,2,1777.676,21274.69,624.9648,14836.539,98
45786.22,2297,1.968703,19416,1,1777.676,21274.75,621.5742,14839.871,98
45897.59,2303,1.3131313,19416,1,1777.676,21274.75,625.5508,14835.895,98
45887.08,2301,1.4720812,19456,1,1777.684,21274.76,630.0469,14831.379,98
45889.73,2301,2.026342,19416,1,1777.684,21274.76,628.1484,14833.281,98
46352.39,2363,4.361055,19976,29,1777.809,21274.84,593.0234,14868.199,98
46351.26,2367,24.29379,20056,30,1777.809,21290.26,630.793,14815.012,98
46255.63,2362,23.52337,20096,39,1777.828,21307.27,590.918,14837.855,98
46255.16,2362,22.09602,20096,38,1777.828,21324.49,509.3438,14902.211,98
46050.89,2317,22.46154,20056,37,1777.828,21340.83,522.8477,14872.363,98
46159.8,2324,24.6646,20016,43,1777.844,21356.41,495.1602,14884.453,98
46256.16,2325,23.86364,19976,37,1777.844,21373.71,390.6133,14971.699,98
46234.93,2325,23.96907,19936,44,1777.844,21388.45,421.0664,14926.516,98
46246.77,2325,25.29685,19896,32,1777.844,21404.18,407.0781,14924.77,98
46211.8,2325,23.56885,19856,40,1777.887,21420.95,393.5078,14921.527,98
46095.27,2319,22.81603,19856,34,1777.922,21438.54,363.6562,14933.754,98
46171.73,2319,24.49612,19856,35,1777.922,21454.42,336.2812,14945.25,98
46158.02,2319,21.79289,19896,46,1777.922,21471.65,330.7656,14933.531,98
46079.55,2319,21.65375,19936,36,1777.922,21489.45,366.5547,14879.949,98
46204.52,2320,33.02374,20056,36,1777.945,21504.33,310.0508,14921.547,98
46207.78,2320,23.05296,20016,29,1770.195,21320.84,522.9766,14899.855,98
46272.6,2327,21.83789,19976,37,1770.219,21337.64,494.2578,14911.754,98
46094.2,2320,23.72093,20016,39,1770.219,21353.08,439.0586,14951.516,98
46094.46,2320,21.98764,19976,37,1768.594,21217.27,746.1992,14781.812,98
46122.29,2313,22.33713,20056,37,1768.594,21233.17,534.7969,14977.312,98
46028.0,2312,25.56818,19896,41,1768.621,21248.74,540.543,14955.969,98
46022.35,2312,22.74368,19856,39,1767.895,20946.49,1034.2461,14765.238,98
46074.41,2312,23.07692,19936,41,1767.906,20961.58,928.5586,14855.828,98
46113.09,2311,25.21784,19896,29,1767.906,20978.35,874.125,14893.488,98
46036.82,2311,22.10145,19936,38,1767.906,20995.98,969.9805,14780.004,98
46001.77,2311,21.5757,19816,39,1767.91,21013.6,981.9414,14750.418,98
45998.86,2311,23.68692,19776,39,1767.953,21030.02,956.9375,14758.965,98
45997.86,2311,21.51374,19896,31,1767.953,21046.8,947.1758,14751.941,98
46087.9,2311,23.56885,19856,36,1767.969,21063.91,818.9375,14863.051,98
46112.43,2311,28.04562,19896,40,1767.988,21078.41,784.0586,14883.414,98
46086.19,2312,24.82088,19856,39,1768.012,21094.64,807.9023,14843.312,98
46104.24,2312,23.78741,19936,30,1768.012,21110.19,777.4102,14858.258,98
46099.54,2312,25.0,19936,40,1768.012,21127.64,770.3672,14847.855,98
46153.51,2312,27.98969,19976,35,1768.074,21140.74,687.8516,14917.207,98
46140.59,2312,27.51159,20056,46,1768.109,21155.25,652.0703,14938.445,98
46357.95,2328,35.33026,20096,47,1768.109,21167.99,547.1445,15030.625,98
46174.16,2316,25.68053,20056,40,1768.109,21183.4,562.582,14999.781,98
46038.3,2313,24.4982,19976,38,1768.117,21199.68,698.8086,14847.27,98
