timestamp,value
1761664941000,42
1761664942000,43
1761664943000,42
1761664944000,39
1761664945000,44
1761664946000,32
1761664947000,43
1761664948000,35
1761664949000,41
1761664950000,42
1761664951000,49
1761664952000,31
1761664953000,43
1761664954000,46
1761664955000,45
1761664956000,36
1761664957000,1
1761664958000,2
1761664959000,1
1761664960000,1
1761664961000,1
1761664962000,1
1761664963000,29
1761664964000,30
1761664965000,39
1761664966000,38
1761664967000,37
1761664968000,43
1761664969000,37
1761664970000,44
1761664971000,32
1761664972000,40
1761664973000,34
1761664974000,35
1761664975000,46
1761664976000,36
1761664977000,36
1761664978000,29
1761664979000,37
1761664980000,39
1761664981000,37
1761664982000,37
1761664983000,41
1761664984000,39
1761664985000,41
1761664986000,29
1761664987000,38
1761664988000,39
1761664989000,39
1761664990000,31
1761664991000,36
1761664992000,40
1761664993000,39
1761664994000,30
1761664995000,40
1761664996000,35
1761664997000,46
1761664998000,47
1761664999000,40
1761665000000,38
