,0,1
0,1732086755,
1,1732086756,
2,1732086757,
3,1732086758,
4,1732086759,
5,1732086760,
6,1732086761,
7,1732086762,
8,1732086763,
9,1732086764,
10,1732086765,
11,1732086766,
12,1732086767,
13,1732086768,
14,1732086769,
15,1732086770,
16,1732086771,
17,1732086772,
18,1732086773,
19,1732086774,
20,1732086775,
21,1732086776,
22,1732086777,
23,1732086778,
24,1732086779,
25,1732086780,
26,1732086781,
27,1732086782,
28,1732086783,
29,1732086784,
30,1732086785,
31,1732086786,
32,1732086787,
33,1732086788,
34,1732086789,
35,1732086790,
36,1732086791,
37,1732086792,
38,1732086793,
39,1732086794,
40,1732086795,
41,1732086796,
42,1732086797,
43,1732086798,
44,1732086799,
45,1732086800,51.64844
46,1732086801,51.64844
47,1732086802,51.64844
48,1732086803,51.71094
49,1732086804,51.75781
50,1732086805,51.76562
51,1732086806,51.76562
52,1732086807,51.76562
53,1732086808,51.76562
54,1732086809,51.77344
55,1732086810,51.77344
56,1732086811,51.77344
57,1732086812,52.10156
58,1732086813,55.40625
59,1732086814,55.69922
60,1732086815,55.70703
61,1732086816,56.46484
62,1732086817,57.10156
63,1732086818,57.24219
64,1732086819,58.77734
65,1732086820,59.125
66,1732086821,59.17578
67,1732086822,59.19922
68,1732086823,59.375
69,1732086824,59.38281
70,1732086825,59.38281
71,1732086826,60.375
72,1732086827,60.53125
73,1732086828,60.53906
74,1732086829,60.57031
75,1732086830,60.57812
76,1732086831,60.875
77,1732086832,60.88281
78,1732086833,60.91406
79,1732086834,60.97656
80,1732086835,60.97656
81,1732086836,60.97656
82,1732086837,60.97656
83,1732086838,61.13672
84,1732086839,61.57422
85,1732086840,61.61328
86,1732086841,62.23828
87,1732086842,63.13281
88,1732086843,49.39062
89,1732086844,45.125
90,1732086845,44.25
91,1732086846,40.20312
92,1732086847,40.3125
93,1732086848,40.57031
94,1732086849,40.57812
95,1732086850,40.78125
96,1732086851,40.78906
97,1732086852,40.85156
98,1732086853,40.85156
99,1732086854,40.85156
100,1732086855,40.86719
101,1732086856,40.875
102,1732086857,40.875
103,1732086858,40.875
104,1732086859,40.99609
105,1732086860,40.99609
106,1732086861,41.00391
107,1732086862,41.00391
108,1732086863,41.14062
109,1732086864,41.14062
110,1732086865,41.14062
111,1732086866,41.14844
112,1732086867,41.14844
113,1732086868,41.14844
114,1732086869,41.14844
115,1732086870,41.14844
116,1732086871,41.16797
117,1732086872,41.16797
118,1732086873,41.65234
119,1732086874,41.80078
120,1732086875,42.35938
121,1732086876,42.62109
122,1732086877,42.89062
123,1732086878,43.02734
124,1732086879,43.03906
125,1732086880,43.05469
126,1732086881,43.07031
127,1732086882,43.08594
128,1732086883,43.09375
129,1732086884,43.09375
130,1732086885,43.09375
131,1732086886,43.23828
132,1732086887,43.24219
133,1732086888,43.24219
134,1732086889,43.24219
135,1732086890,43.25
136,1732086891,44.44922
137,1732086892,43.23047
138,1732086893,42.0
139,1732086894,40.64453
140,1732086895,40.84766
141,1732086896,41.67578
142,1732086897,41.83594
143,1732086898,42.60547
144,1732086899,42.73438
145,1732086900,42.73438
146,1732086901,42.25781
147,1732086902,42.26562
148,1732086903,42.29688
149,1732086904,42.29688
150,1732086905,42.20703
151,1732086906,42.375
152,1732086907,42.41797
153,1732086908,42.04688
154,1732086909,42.04688
155,1732086910,42.125
156,1732086911,42.13281
157,1732086912,42.14062
158,1732086913,42.15625
159,1732086914,42.17969
160,1732086915,42.34375
161,1732086916,42.35547
162,1732086917,42.35938
163,1732086918,42.36719
164,1732086919,42.38672
165,1732086920,42.38672
166,1732086921,42.42188
167,1732086922,42.42969
168,1732086923,42.48828
169,1732086924,42.5
170,1732086925,42.57812
171,1732086926,42.57812
172,1732086927,42.67188
173,1732086928,45.16797
174,1732086929,45.17969
175,1732086930,45.19531
176,1732086931,45.23828
177,1732086932,45.25781
178,1732086933,45.26172
179,1732086934,45.26172
180,1732086935,45.27344
181,1732086936,45.33594
182,1732086937,45.33594
183,1732086938,45.36719
184,1732086939,45.36719
185,1732086940,45.40234
186,1732086941,45.40234
187,1732086942,45.40625
188,1732086943,45.52734
189,1732086944,45.76172
190,1732086945,45.77734
191,1732086946,45.78516
192,1732086947,46.52344
193,1732086948,46.52344
194,1732086949,46.52344
195,1732086950,46.52344
196,1732086951,46.54688
197,1732086952,46.5625
198,1732086953,46.58984
199,1732086954,46.58984
200,1732086955,46.69141
201,1732086956,46.69141
202,1732086957,46.71484
203,1732086958,46.71875
204,1732086959,46.72656
205,1732086960,46.80859
206,1732086961,47.26562
207,1732086962,47.26562
208,1732086963,47.26562
209,1732086964,47.26562
210,1732086965,47.28125
211,1732086966,47.28906
212,1732086967,47.28906
213,1732086968,47.28906
214,1732086969,47.28906
215,1732086970,47.28906
216,1732086971,47.29688
217,1732086972,47.30078
218,1732086973,47.30078
219,1732086974,47.30078
220,1732086975,47.30078
221,1732086976,47.37891
222,1732086977,47.37891
223,1732086978,47.38672
224,1732086979,47.38672
225,1732086980,47.38672
226,1732086981,47.40234
227,1732086982,47.40234
228,1732086983,47.40234
229,1732086984,47.40234
230,1732086985,47.40625
231,1732086986,47.42188
232,1732086987,47.42969
233,1732086988,47.42969
234,1732086989,47.42969
235,1732086990,47.42969
236,1732086991,47.42969
237,1732086992,47.4375
238,1732086993,47.4375
239,1732086994,47.4375
240,1732086995,47.4375
241,1732086996,47.44531
242,1732086997,47.44531
243,1732086998,47.44531
244,1732086999,47.44531
245,1732087000,47.46094
246,1732087001,47.46875
247,1732087002,47.46875
248,1732087003,47.46875
249,1732087004,47.46875
250,1732087005,47.46875
251,1732087006,47.47656
252,1732087007,47.47656
253,1732087008,47.47656
254,1732087009,47.47656
255,1732087010,47.47656
256,1732087011,47.48438
257,1732087012,47.48438
258,1732087013,47.48438
259,1732087014,47.48438
260,1732087015,47.49219
261,1732087016,47.54688
262,1732087017,47.54688
263,1732087018,47.55078
264,1732087019,47.55859
265,1732087020,47.55859
266,1732087021,47.55859
267,1732087022,47.56641
268,1732087023,47.56641
269,1732087024,47.56641
270,1732087025,47.57422
271,1732087026,47.57812
272,1732087027,47.57812
273,1732087028,47.58984
274,1732087029,47.59766
275,1732087030,47.59766
276,1732087031,47.61328
277,1732087032,47.62109
278,1732087033,47.62109
279,1732087034,47.62109
280,1732087035,47.62109
281,1732087036,47.62109
282,1732087037,47.62109
283,1732087038,47.62891
284,1732087039,47.62891
285,1732087040,47.62891
286,1732087041,47.62891
287,1732087042,47.64453
288,1732087043,47.64453
289,1732087044,47.64453
290,1732087045,47.88281
291,1732087046,48.14453
292,1732087047,48.14453
293,1732087048,48.17578
294,1732087049,48.17578
295,1732087050,48.17578
296,1732087051,48.17578
297,1732087052,48.17578
298,1732087053,48.18359
299,1732087054,48.18359
300,1732087055,48.18359
301,1732087056,48.41406
302,1732087057,48.41406
303,1732087058,48.42188
304,1732087059,48.42188
305,1732087060,48.4375
306,1732087061,48.4375
307,1732087062,48.4375
308,1732087063,48.44531
309,1732087064,48.44531
310,1732087065,48.44531
311,1732087066,48.44531
312,1732087067,48.44531
313,1732087068,48.45312
314,1732087069,48.45312
315,1732087070,48.45312
316,1732087071,48.45312
317,1732087072,48.45312
318,1732087073,48.46094
319,1732087074,48.46094
320,1732087075,48.46094
321,1732087076,48.46875
322,1732087077,48.46875
323,1732087078,48.47266
324,1732087079,48.47266
325,1732087080,48.47266
326,1732087081,48.47266
327,1732087082,48.48047
328,1732087083,48.49609
329,1732087084,48.71484
330,1732087085,48.71484
331,1732087086,48.80078
332,1732087087,48.80078
333,1732087088,48.80859
334,1732087089,48.80859
335,1732087090,48.82031
336,1732087091,48.83594
337,1732087092,48.83594
338,1732087093,48.84375
339,1732087094,48.84375
340,1732087095,48.84375
341,1732087096,48.84375
342,1732087097,48.85156
343,1732087098,48.85156
344,1732087099,48.85156
345,1732087100,48.85938
346,1732087101,48.85938
347,1732087102,48.86719
348,1732087103,48.86719
349,1732087104,48.86719
350,1732087105,48.86719
351,1732087106,48.86719
352,1732087107,48.875
353,1732087108,48.90625
354,1732087109,48.91406
355,1732087110,48.91406
356,1732087111,48.91406
357,1732087112,48.91406
358,1732087113,48.91406
359,1732087114,48.9375
360,1732087115,48.94531
361,1732087116,48.94531
362,1732087117,48.94531
363,1732087118,48.94531
364,1732087119,48.94531
365,1732087120,48.96094
366,1732087121,48.96094
367,1732087122,48.96094
368,1732087123,48.96094
369,1732087124,48.96094
370,1732087125,48.96875
371,1732087126,48.96875
372,1732087127,48.99219
373,1732087128,48.99219
374,1732087129,49.0
375,1732087130,49.0
376,1732087131,49.00781
377,1732087132,49.00781
378,1732087133,49.00781
379,1732087134,49.00781
380,1732087135,49.00781
381,1732087136,49.01562
382,1732087137,49.01562
383,1732087138,49.01562
384,1732087139,49.01953
385,1732087140,49.01953
386,1732087141,49.02734
387,1732087142,49.02734
388,1732087143,49.02734
389,1732087144,49.02734
390,1732087145,49.02734
391,1732087146,49.03516
392,1732087147,49.04297
393,1732087148,49.04297
394,1732087149,49.04297
395,1732087150,49.05859
396,1732087151,49.07812
397,1732087152,49.07812
398,1732087153,49.07812
399,1732087154,49.07812
400,1732087155,49.07812
401,1732087156,49.08594
402,1732087157,49.08594
403,1732087158,49.08594
404,1732087159,49.09375
405,1732087160,49.09375
406,1732087161,49.09375
407,1732087162,49.09375
408,1732087163,49.09375
409,1732087164,49.10156
410,1732087165,49.10156
411,1732087166,49.10156
412,1732087167,49.10938
413,1732087168,49.10938
414,1732087169,49.125
415,1732087170,49.125
416,1732087171,49.125
417,1732087172,49.125
418,1732087173,49.125
419,1732087174,49.125
420,1732087175,49.13281
421,1732087176,49.13281
422,1732087177,49.14844
423,1732087178,49.15625
424,1732087179,49.15625
425,1732087180,49.15625
426,1732087181,49.15625
427,1732087182,49.15625
428,1732087183,
429,1732087184,
430,1732087185,
431,1732087186,
432,1732087187,
433,1732087188,
434,1732087189,
435,1732087190,
436,1732087191,
437,1732087192,
438,1732087193,
439,1732087194,
440,1732087195,
441,1732087196,
442,1732087197,
443,1732087198,
444,1732087199,
445,1732087200,
446,1732087201,
447,1732087202,
448,1732087203,
449,1732087204,
450,1732087205,
451,1732087206,
452,1732087207,
453,1732087208,
454,1732087209,
455,1732087210,
456,1732087211,
457,1732087212,
458,1732087213,
459,1732087214,
460,1732087215,
461,1732087216,
462,1732087217,
463,1732087218,
464,1732087219,
465,1732087220,
466,1732087221,
467,1732087222,
468,1732087223,
469,1732087224,
470,1732087225,
471,1732087226,
472,1732087227,
473,1732087228,
474,1732087229,
475,1732087230,
476,1732087231,
477,1732087232,
478,1732087233,
479,1732087234,
480,1732087235,
481,1732087236,
482,1732087237,
483,1732087238,
484,1732087239,
485,1732087240,
486,1732087241,
487,1732087242,
488,1732087243,
489,1732087244,
490,1732087245,
491,1732087246,
492,1732087247,
493,1732087248,
494,1732087249,
495,1732087250,
496,1732087251,
497,1732087252,
498,1732087253,
499,1732087254,
500,1732087255,
501,1732087256,
502,1732087257,
503,1732087258,
504,1732087259,
505,1732087260,
506,1732087261,
507,1732087262,
508,1732087263,
509,1732087264,
510,1732087265,
511,1732087266,
512,1732087267,
513,1732087268,
514,1732087269,
515,1732087270,
516,1732087271,
517,1732087272,
518,1732087273,
519,1732087274,
520,1732087275,
521,1732087276,
522,1732087277,
523,1732087278,
524,1732087279,
525,1732087280,
526,1732087281,
527,1732087282,
528,1732087283,
529,1732087284,
530,1732087285,
531,1732087286,
532,1732087287,
533,1732087288,
534,1732087289,
535,1732087290,
536,1732087291,
537,1732087292,
538,1732087293,
539,1732087294,
540,1732087295,
541,1732087296,
542,1732087297,
543,1732087298,
544,1732087299,
545,1732087300,
546,1732087301,
547,1732087302,
548,1732087303,
549,1732087304,
550,1732087305,
551,1732087306,
552,1732087307,
553,1732087308,
554,1732087309,
555,1732087310,
556,1732087311,
557,1732087312,
558,1732087313,
559,1732087314,
560,1732087315,
561,1732087316,
562,1732087317,
563,1732087318,
564,1732087319,
565,1732087320,
566,1732087321,
567,1732087322,
568,1732087323,
569,1732087324,
570,1732087325,
571,1732087326,
572,1732087327,
573,1732087328,
574,1732087329,
575,1732087330,
576,1732087331,
577,1732087332,
578,1732087333,
579,1732087334,
580,1732087335,
581,1732087336,
582,1732087337,
583,1732087338,
584,1732087339,
585,1732087340,
586,1732087341,
587,1732087342,
588,1732087343,
589,1732087344,
590,1732087345,
591,1732087346,
592,1732087347,
593,1732087348,
594,1732087349,
595,1732087350,
596,1732087351,
597,1732087352,
598,1732087353,
599,1732087354,
600,1732087355,
601,1732087356,
602,1732087357,
603,1732087358,
604,1732087359,
605,1732087360,
606,1732087361,
607,1732087362,
608,1732087363,
609,1732087364,
610,1732087365,
611,1732087366,
612,1732087367,
613,1732087368,
614,1732087369,
615,1732087370,
616,1732087371,
617,1732087372,
618,1732087373,
619,1732087374,
620,1732087375,
621,1732087376,
622,1732087377,
623,1732087378,
624,1732087379,
625,1732087380,
626,1732087381,
627,1732087382,
628,1732087383,
629,1732087384,
630,1732087385,
631,1732087386,
