,0,1
389,1729668601,1
390,1729668602,1
391,1729668603,5
392,1729668604,2
393,1729668605,2
394,1729668606,2
395,1729668607,1
396,1729668608,1
397,1729668609,2
398,1729668610,1
399,1729668611,2
400,1729668612,3
401,1729668613,2
402,1729668614,3
403,1729668615,1
404,1729668616,2
405,1729668617,1
406,1729668618,1
407,1729668619,2
408,1729668620,1
409,1729668621,2
410,1729668622,1
411,1729668623,2
412,1729668624,5
413,1729668625,2
414,1729668626,4
415,1729668627,2
416,1729668628,2
417,1729668629,3
418,1729668630,2
419,1729668631,2
420,1729668632,2
421,1729668633,2
422,1729668634,2
423,1729668635,3
424,1729668636,2
425,1729668637,3
426,1729668638,2
427,1729668639,2
428,1729668640,2
429,1729668641,2
430,1729668642,3
431,1729668643,2
432,1729668644,1
433,1729668645,1
434,1729668646,1
435,1729668647,1
436,1729668648,2
437,1729668649,2
438,1729668650,2
439,1729668651,3
440,1729668652,1
441,1729668653,1
442,1729668654,2
443,1729668655,1
444,1729668656,1
445,1729668657,1
446,1729668658,1
447,1729668659,1
448,1729668660,2
449,1729668661,1
450,1729668662,1
451,1729668663,1
452,1729668664,2
453,1729668665,1
454,1729668666,1
455,1729668667,2
456,1729668668,1
457,1729668669,1
458,1729668670,1
459,1729668671,1
460,1729668672,2
461,1729668673,3
462,1729668674,2
463,1729668675,2
464,1729668676,3
465,1729668677,2
466,1729668678,1
467,1729668679,3
468,1729668680,1
469,1729668681,1
470,1729668682,2
471,1729668683,1
472,1729668684,1
473,1729668685,1
474,1729668686,1
475,1729668687,1
476,1729668688,3
477,1729668689,4
478,1729668690,4
479,1729668691,2
480,1729668692,2
481,1729668693,2
482,1729668694,3
483,1729668695,2
484,1729668696,2
485,1729668697,2
486,1729668698,2
487,1729668699,2
488,1729668700,3
489,1729668701,2
490,1729668702,1
491,1729668703,2
492,1729668704,1
493,1729668705,2
494,1729668706,3
495,1729668707,2
496,1729668708,3
497,1729668709,4
498,1729668710,3
499,1729668711,4
500,1729668712,2
501,1729668713,2
502,1729668714,3
503,1729668715,2
504,1729668716,2
505,1729668717,4
506,1729668718,2
507,1729668719,2
508,1729668720,2
509,1729668721,2
510,1729668722,3
511,1729668723,2
512,1729668724,2
513,1729668725,3
514,1729668726,2
515,1729668727,2
516,1729668728,2
517,1729668729,4
518,1729668730,4
519,1729668731,3
520,1729668732,3
521,1729668733,3
522,1729668734,2
523,1729668735,2
524,1729668736,3
525,1729668737,2
526,1729668738,2
527,1729668739,2
528,1729668740,2
529,1729668741,2
530,1729668742,2
531,1729668743,2
532,1729668744,3
533,1729668745,2
534,1729668746,2
535,1729668747,3
536,1729668748,1
537,1729668749,1
538,1729668750,1
539,1729668751,1
540,1729668752,2
541,1729668753,1
542,1729668754,2
543,1729668755,2
544,1729668756,2
545,1729668757,2
546,1729668758,1
547,1729668759,3
548,1729668760,1
549,1729668761,2
550,1729668762,2
551,1729668763,2
552,1729668764,3
553,1729668765,3
554,1729668766,2
555,1729668767,1
556,1729668768,3
557,1729668769,2
558,1729668770,2
559,1729668771,3
