,0,1
390,1729668601,444.9688
391,1729668602,446.6602
392,1729668603,449.4766
393,1729668604,451.625
394,1729668605,447.0
395,1729668606,447.8984
396,1729668607,420.8633
397,1729668608,420.793
398,1729668609,424.5859
399,1729668610,412.4922
400,1729668611,422.8672
401,1729668612,431.5352
402,1729668613,415.8008
403,1729668614,414.8945
404,1729668615,413.1641
405,1729668616,412.4492
406,1729668617,399.7109
407,1729668618,402.0195
408,1729668619,393.8281
409,1729668620,386.9609
410,1729668621,390.7109
411,1729668622,386.6094
412,1729668623,378.0586
413,1729668624,384.3867
414,1729668625,373.5781
415,1729668626,375.7461
416,1729668627,375.1484
417,1729668628,370.6562
418,1729668629,375.2734
419,1729668630,371.8242
420,1729668631,371.5781
421,1729668632,358.2891
422,1729668633,356.9102
423,1729668634,348.7891
424,1729668635,349.1055
425,1729668636,354.5352
426,1729668637,355.2227
427,1729668638,357.9023
428,1729668639,348.0586
429,1729668640,351.1914
430,1729668641,348.2383
431,1729668642,350.1055
432,1729668643,350.5742
433,1729668644,352.6914
434,1729668645,349.2891
435,1729668646,347.9805
436,1729668647,352.4375
437,1729668648,351.7695
438,1729668649,349.5547
439,1729668650,347.1055
440,1729668651,347.4922
441,1729668652,352.707
442,1729668653,354.2227
443,1729668654,355.7305
444,1729668655,356.5312
445,1729668656,349.2969
446,1729668657,348.5586
447,1729668658,353.4375
448,1729668659,353.168
449,1729668660,354.3711
450,1729668661,352.1758
451,1729668662,352.4609
452,1729668663,362.1953
453,1729668664,361.3867
454,1729668665,355.9648
455,1729668666,355.3711
456,1729668667,358.7734
457,1729668668,358.7734
458,1729668669,349.4023
459,1729668670,349.6172
460,1729668671,355.1953
461,1729668672,356.5352
462,1729668673,363.9727
463,1729668674,364.7227
464,1729668675,368.7969
465,1729668676,368.5117
466,1729668677,367.9609
467,1729668678,368.8516
468,1729668679,368.9219
469,1729668680,371.1992
470,1729668681,372.5039
471,1729668682,360.4023
472,1729668683,363.7383
473,1729668684,365.625
474,1729668685,370.8477
475,1729668686,371.5391
476,1729668687,368.8398
477,1729668688,367.4688
478,1729668689,369.6797
479,1729668690,367.9609
480,1729668691,355.7109
481,1729668692,355.4375
482,1729668693,350.6016
483,1729668694,349.8867
484,1729668695,353.7227
485,1729668696,353.6914
486,1729668697,355.4883
487,1729668698,358.7383
488,1729668699,363.7305
489,1729668700,363.5703
490,1729668701,362.5859
491,1729668702,359.7891
492,1729668703,362.7344
493,1729668704,362.2422
494,1729668705,359.5352
495,1729668706,362.0
496,1729668707,365.1992
497,1729668708,361.6641
498,1729668709,360.6094
499,1729668710,360.6094
500,1729668711,360.8086
501,1729668712,361.957
502,1729668713,365.2578
503,1729668714,363.9219
504,1729668715,362.2812
505,1729668716,361.7383
506,1729668717,356.293
507,1729668718,353.5898
508,1729668719,352.3164
509,1729668720,353.7305
510,1729668721,347.0625
511,1729668722,348.3398
512,1729668723,354.0781
513,1729668724,360.5781
514,1729668725,359.1602
515,1729668726,355.3438
516,1729668727,354.4961
517,1729668728,353.5703
518,1729668729,354.0742
519,1729668730,351.6133
520,1729668731,351.6133
521,1729668732,348.3398
522,1729668733,321.8828
523,1729668734,323.8398
524,1729668735,321.6172
525,1729668736,335.918
526,1729668737,335.5703
527,1729668738,325.9414
528,1729668739,324.4375
529,1729668740,320.9766
530,1729668741,324.7305
531,1729668742,320.2852
532,1729668743,320.0391
533,1729668744,304.6211
534,1729668745,307.6992
535,1729668746,309.5156
536,1729668747,304.3164
537,1729668748,303.4297
538,1729668749,306.9805
