object_detection_rpi_mem.committed_Committed_AS,object_detection_rpi_system.active_processes_active,object_detection_rpi_system.cpu_user,object_detection_rpi_system.file_nr_used_used,object_detection_rpi_system.processes_running,object_detection_rpi_system.ram_buffers,object_detection_rpi_system.ram_cached,object_detection_rpi_system.ram_free,object_detection_rpi_system.ram_used,Target
3116.031,429,63.80208,4352,5,2.261719,245.4453,166.39062,493.0312,0
3116.031,429,62.2108,4352,6,2.261719,245.4453,168.4219,491.0,0
3116.031,429,60.05222,4352,7,2.261719,245.4453,164.65234,494.7695,0
3116.031,429,60.15424,4352,3,2.261719,245.4453,162.08203,497.3398,0
3116.031,429,63.68286,4352,5,2.261719,245.4453,161.20312,498.2188,0
3116.031,429,63.68286,4352,4,2.261719,245.4453,160.64453,498.7773,0
3116.031,429,62.72494,4352,7,2.261719,245.4453,162.67969,496.7422,0
3116.031,429,60.15424,4352,4,2.261719,245.4453,161.80859,497.6133,0
3116.031,429,59.69388,4352,10,2.261719,245.4453,161.44922,497.9727,0
3116.031,429,57.69231,4352,5,2.261719,245.4453,160.55859,498.8633,0
3116.031,429,63.77551,4352,10,2.261719,245.4453,160.09375,499.3281,0
3116.031,429,61.79487,4352,12,2.261719,245.4453,159.875,499.5469,0
3116.031,429,62.34097,4352,7,2.261719,245.4453,158.78516,500.6367,0
3116.031,429,60.40609,4352,3,2.261719,245.4453,158.64844,500.7734,0
3116.031,429,63.19797,4384,6,2.261719,240.1758,170.3438,494.3477,0
3116.031,429,58.26972,4384,7,2.269531,240.168,168.7422,495.9492,0
3116.031,429,63.65915,4384,8,2.269531,240.1758,167.375,497.3086,0
3116.031,429,63.42711,4384,6,2.269531,240.1758,167.01953,497.6641,0
3116.031,429,59.64912,4384,5,2.269531,240.1758,167.13281,497.5508,0
3116.031,429,61.30653,4352,11,2.269531,240.1758,165.24609,499.4375,0
3116.031,429,59.3985,4352,4,2.269531,240.1758,169.625,495.0586,0
3116.031,429,61.59601,4352,7,2.269531,240.1758,167.73828,496.9453,0
3118.914,429,56.65025,4352,11,2.269531,240.1758,167.49219,497.1914,0
3118.914,429,51.36476,4352,10,2.269531,240.1758,166.58984,498.0938,0
3118.914,429,56.60848,4352,10,2.269531,240.1758,169.5156,495.168,0
3118.914,429,60.30928,4352,10,2.269531,240.1758,167.39453,497.2891,0
3118.914,429,62.40209,4352,10,2.269531,240.1758,165.53516,499.1484,0
3118.914,429,60.62992,4352,14,2.269531,240.1758,164.38672,500.2969,0
3118.914,429,65.28497,4352,4,2.269531,240.1758,163.01953,501.6641,0
3116.031,429,59.27835,4352,4,2.277344,240.168,166.32031,498.3633,0
3116.031,429,61.24031,4352,5,2.277344,240.1758,164.26953,500.4062,0
3116.031,429,63.65979,4352,13,2.277344,240.1758,163.12109,501.5547,0
3116.031,429,62.46787,4352,5,2.277344,240.1758,162.0,502.6758,0
3116.031,429,60.0,4352,10,2.277344,240.1758,166.79297,497.8828,0
3116.031,429,58.85417,4352,3,2.277344,240.1758,170.1133,494.5625,0
3116.031,429,59.07928,4352,4,2.277344,240.1758,167.19922,497.4766,0
3116.031,429,61.9898,4352,10,2.277344,240.1797,166.07812,498.5938,0
3116.031,429,60.20408,4352,11,2.277344,240.1797,170.0859,494.5859,0
3116.031,429,59.84655,4352,8,2.277344,240.1797,167.59766,497.0742,0
3116.031,429,62.59542,4352,7,2.277344,240.1797,166.42188,498.25,0
3116.031,429,60.80402,4352,9,2.277344,240.1797,165.32812,499.3438,0
3116.031,429,59.59079,4352,13,2.285156,240.1797,163.71484,500.9492,0
3116.031,429,62.18274,4352,4,2.285156,240.1797,166.71484,497.9492,0
3116.031,429,61.22449,4352,9,2.285156,240.1797,165.07422,499.5898,0
3116.031,429,63.75,4352,7,2.285156,240.1797,168.2773,496.3867,0
3116.031,429,62.81407,4352,13,2.285156,240.1797,171.7344,492.9297,0
3116.031,429,63.03797,4352,6,2.285156,240.1797,168.4258,496.2383,0
3116.031,429,62.46851,4352,5,2.285156,240.1797,167.33203,497.332,0
3116.031,429,62.21662,4352,9,2.285156,240.1797,166.89453,497.7695,0
3116.031,429,62.53102,4352,10,2.285156,240.1797,165.11719,499.5469,0
3116.031,429,59.54774,4352,6,2.285156,240.1797,163.77734,500.8867,0
3116.031,429,62.22222,4352,10,2.285156,240.1797,161.67188,502.9922,0
3116.031,429,57.28395,4352,8,2.285156,240.1797,165.17578,499.4883,0
3116.031,429,48.30097,4352,8,2.285156,240.1797,164.00391,500.6602,0
3116.031,427,46.65012,4352,7,2.285156,240.1797,168.1875,496.4766,0
3116.031,427,59.34343,4352,8,2.285156,240.1797,170.7344,493.9297,0
3116.031,428,61.63683,4352,13,2.285156,240.2266,169.8047,494.8125,0
3116.031,428,59.17313,4384,11,2.285156,240.2266,168.9297,495.6875,0
3116.031,428,61.39896,4384,10,2.285156,240.2266,165.83984,498.7773,0
3116.953,428,62.95337,4352,6,2.285156,240.2266,169.6367,494.9805,0
3116.031,431,60.62176,4352,13,2.285156,240.2266,167.06641,497.5508,0
3116.031,428,58.44156,4352,9,2.285156,240.2266,165.45312,499.1641,0
3116.031,428,60.76923,4352,8,2.285156,240.2266,165.34766,499.2695,0
3116.031,428,65.03856,4352,5,2.285156,240.2266,175.4883,489.1289,0
3116.031,428,59.02062,4352,10,2.285156,240.2266,171.4883,493.1289,0
3116.031,429,57.80051,4352,16,2.285156,240.2266,168.918,495.6992,0
3116.031,429,60.05089,4352,10,2.285156,240.2266,167.27734,497.3398,0
3116.031,429,57.82828,4352,10,2.285156,240.2266,165.66797,498.9492,0
3116.031,429,60.35354,4352,11,2.285156,240.2266,164.82422,499.793,0
3116.031,429,63.56589,4352,9,2.285156,240.2266,164.96484,499.6523,0
3116.031,429,60.86957,4352,8,2.285156,240.2266,167.72656,496.8906,0
3116.047,429,58.61183,4352,11,2.285156,240.2266,170.7344,493.8828,0
3116.031,429,61.47959,4352,6,2.285156,240.2266,169.3281,495.2891,0
3116.031,429,64.46701,4352,10,2.285156,240.2266,168.1797,496.4375,0
3116.031,429,57.97468,4320,9,2.285156,240.2266,166.83984,497.7773,0
3116.031,429,58.58586,4320,9,2.285156,240.2266,164.44531,500.1719,0
3116.031,429,59.89975,4320,11,2.285156,240.2266,164.25781,500.3594,0
3116.031,429,61.51899,4320,11,2.285156,240.2266,166.78125,497.8359,0
3116.031,429,60.20151,4320,9,2.285156,240.2266,165.63672,498.9805,0
3116.031,429,64.48363,4320,10,2.285156,240.2266,168.418,496.1992,0
3116.031,429,58.98734,4320,10,2.285156,240.2266,167.02344,497.5938,0
3116.031,429,57.89474,4320,9,2.285156,240.2266,166.58594,498.0312,0
3116.031,429,54.87805,4320,10,2.285156,240.2266,165.67188,498.9453,0
3116.031,429,53.84615,4320,11,2.285156,240.2266,169.168,495.4492,0
3116.031,429,51.9802,4320,11,2.285156,240.2266,168.0586,496.5586,0
3116.031,429,55.80808,4320,8,2.292969,240.2266,167.8125,496.7969,0
3116.031,429,59.43152,4320,7,2.292969,240.2266,166.91016,497.6992,0
3116.031,429,60.86957,4320,5,2.292969,240.2266,165.57031,499.0391,0
3116.031,429,62.5323,4320,13,2.292969,240.2266,164.47656,500.1328,0
3116.031,429,62.30366,4320,9,2.292969,240.2266,168.375,496.2344,0
3116.031,429,58.54922,4320,11,2.308594,240.2109,166.70703,497.9023,0
3116.031,429,61.65803,4320,7,2.308594,240.2266,165.80469,498.7891,0
3116.031,429,68.0203,4320,16,2.308594,240.2266,166.39453,498.1992,0
3116.031,429,62.5974,4320,7,2.308594,240.5977,163.26562,500.957,0
3116.031,429,64.61538,4320,8,2.308594,240.6641,167.70703,496.4492,0
3116.031,429,57.36434,4320,9,2.308594,240.6641,164.85156,499.3047,0
