,0,1
0,1732271422,5
1,1732271423,4
2,1732271424,4
3,1732271425,5
4,1732271426,4
5,1732271427,5
6,1732271428,4
7,1732271429,4
8,1732271430,4
9,1732271431,4
10,1732271432,5
11,1732271433,6
12,1732271434,4
13,1732271435,5
14,1732271436,4
15,1732271437,6
16,1732271438,4
17,1732271439,4
18,1732271440,6
19,1732271441,5
20,1732271442,10
21,1732271443,4
22,1732271444,4
23,1732271445,5
24,1732271446,4
25,1732271447,4
26,1732271448,4
27,1732271449,4
28,1732271450,6
29,1732271451,4
30,1732271452,4
31,1732271453,9
32,1732271454,4
33,1732271455,6
34,1732271456,4
35,1732271457,4
36,1732271458,5
37,1732271459,4
38,1732271460,5
39,1732271461,4
40,1732271462,5
41,1732271463,5
42,1732271464,5
43,1732271465,6
44,1732271466,4
45,1732271467,4
46,1732271468,5
47,1732271469,4
48,1732271470,5
49,1732271471,12
50,1732271472,4
51,1732271473,6
52,1732271474,4
53,1732271475,4
54,1732271476,6
55,1732271477,4
56,1732271478,4
57,1732271479,4
58,1732271480,4
59,1732271481,5
60,1732271482,4
61,1732271483,4
62,1732271484,5
63,1732271485,5
64,1732271486,5
65,1732271487,4
66,1732271488,4
67,1732271489,6
68,1732271490,4
69,1732271491,5
70,1732271492,4
71,1732271493,4
72,1732271494,6
73,1732271495,5
74,1732271496,4
75,1732271497,4
76,1732271498,4
77,1732271499,6
78,1732271500,5
79,1732271501,4
80,1732271502,5
81,1732271503,4
82,1732271504,6
83,1732271505,5
84,1732271506,4
85,1732271507,5
86,1732271508,4
87,1732271509,16
88,1732271510,4
89,1732271511,4
90,1732271512,6
91,1732271513,4
92,1732271514,4
93,1732271515,5
94,1732271516,4
95,1732271517,5
96,1732271518,6
97,1732271519,4
98,1732271520,5
99,1732271521,4
100,1732271522,5
101,1732271523,4
102,1732271524,4
103,1732271525,5
104,1732271526,5
105,1732271527,5
106,1732271528,4
107,1732271529,10
108,1732271530,6
109,1732271531,4
110,1732271532,4
111,1732271533,5
112,1732271534,4
113,1732271535,5
114,1732271536,4
115,1732271537,4
116,1732271538,5
117,1732271539,4
118,1732271540,5
119,1732271541,5
120,1732271542,4
121,1732271543,5
122,1732271544,4
123,1732271545,5
124,1732271546,5
125,1732271547,4
126,1732271548,5
127,1732271549,5
128,1732271550,4
129,1732271551,4
130,1732271552,4
131,1732271553,5
132,1732271554,4
133,1732271555,4
134,1732271556,4
135,1732271557,5
136,1732271558,5
137,1732271559,4
138,1732271560,5
139,1732271561,5
140,1732271562,5
141,1732271563,5
142,1732271564,4
143,1732271565,5
144,1732271566,7
145,1732271567,5
146,1732271568,7
147,1732271569,5
148,1732271570,4
149,1732271571,19
150,1732271572,4
151,1732271573,5
152,1732271574,4
153,1732271575,5
154,1732271576,5
155,1732271577,4
156,1732271578,4
157,1732271579,4
158,1732271580,4
159,1732271581,5
160,1732271582,9
161,1732271583,5
162,1732271584,5
163,1732271585,4
164,1732271586,5
165,1732271587,4
166,1732271588,6
167,1732271589,5
168,1732271590,5
169,1732271591,5
170,1732271592,4
171,1732271593,5
172,1732271594,5
173,1732271595,4
174,1732271596,5
175,1732271597,4
176,1732271598,4
177,1732271599,5
178,1732271600,4
179,1732271601,4
180,1732271602,4
181,1732271603,4
182,1732271604,5
183,1732271605,5
184,1732271606,4
185,1732271607,5
186,1732271608,4
187,1732271609,6
188,1732271610,4
189,1732271611,4
190,1732271612,5
191,1732271613,4
192,1732271614,5
193,1732271615,4
194,1732271616,4
195,1732271617,5
196,1732271618,5
197,1732271619,5
198,1732271620,6
199,1732271621,4
200,1732271622,5
201,1732271623,4
202,1732271624,4
203,1732271625,4
204,1732271626,4
205,1732271627,5
206,1732271628,4
207,1732271629,10
208,1732271630,5
209,1732271631,4
210,1732271632,5
211,1732271633,4
212,1732271634,4
213,1732271635,6
214,1732271636,4
215,1732271637,5
216,1732271638,4
217,1732271639,4
218,1732271640,6
219,1732271641,4
220,1732271642,4
221,1732271643,4
222,1732271644,4
223,1732271645,5
224,1732271646,4
225,1732271647,4
226,1732271648,4
227,1732271649,17
228,1732271650,7
229,1732271651,4
230,1732271652,4
231,1732271653,5
232,1732271654,4
233,1732271655,5
234,1732271656,4
235,1732271657,4
236,1732271658,5
237,1732271659,4
238,1732271660,5
239,1732271661,4
240,1732271662,7
241,1732271663,5
242,1732271664,4
243,1732271665,5
244,1732271666,4
245,1732271667,4
246,1732271668,5
247,1732271669,4
248,1732271670,4
249,1732271671,4
250,1732271672,4
251,1732271673,5
252,1732271674,4
253,1732271675,4
254,1732271676,5
255,1732271677,4
256,1732271678,5
257,1732271679,4
258,1732271680,6
259,1732271681,5
260,1732271682,4
261,1732271683,6
262,1732271684,4
263,1732271685,4
264,1732271686,5
265,1732271687,4
266,1732271688,5
267,1732271689,16
268,1732271690,4
269,1732271691,5
270,1732271692,4
271,1732271693,5
272,1732271694,4
273,1732271695,5
274,1732271696,5
275,1732271697,4
276,1732271698,4
277,1732271699,4
278,1732271700,5
279,1732271701,5
280,1732271702,4
281,1732271703,4
282,1732271704,5
283,1732271705,4
284,1732271706,5
285,1732271707,4
286,1732271708,4
287,1732271709,7
288,1732271710,5
289,1732271711,5
290,1732271712,4
291,1732271713,4
292,1732271714,6
293,1732271715,4
294,1732271716,5
295,1732271717,4
296,1732271718,4
297,1732271719,5
298,1732271720,16
299,1732271721,5
300,1732271722,4
301,1732271723,4
302,1732271724,5
303,1732271725,5
304,1732271726,4
305,1732271727,5
306,1732271728,4
307,1732271729,6
308,1732271730,4
309,1732271731,5
310,1732271732,4
311,1732271733,4
312,1732271734,5
313,1732271735,4
314,1732271736,4
315,1732271737,4
316,1732271738,4
317,1732271739,6
318,1732271740,5
319,1732271741,5
320,1732271742,10
321,1732271743,5
322,1732271744,5
323,1732271745,5
324,1732271746,4
325,1732271747,4
326,1732271748,4
327,1732271749,5
328,1732271750,4
329,1732271751,4
330,1732271752,4
331,1732271753,4
332,1732271754,5
333,1732271755,5
334,1732271756,4
335,1732271757,4
336,1732271758,4
337,1732271759,5
338,1732271760,6
339,1732271761,4
340,1732271762,4
341,1732271763,4
342,1732271764,6
343,1732271765,4
344,1732271766,4
345,1732271767,4
346,1732271768,4
347,1732271769,5
348,1732271770,5
349,1732271771,20
350,1732271772,5
351,1732271773,4
352,1732271774,5
353,1732271775,4
354,1732271776,6
355,1732271777,4
356,1732271778,4
357,1732271779,5
358,1732271780,4
359,1732271781,4
360,1732271782,5
361,1732271783,4
362,1732271784,5
363,1732271785,5
364,1732271786,4
365,1732271787,4
366,1732271788,4
367,1732271789,5
368,1732271790,4
369,1732271791,4
370,1732271792,4
371,1732271793,5
372,1732271794,5
373,1732271795,4
374,1732271796,4
375,1732271797,4
376,1732271798,4
377,1732271799,5
378,1732271800,5
379,1732271801,5
380,1732271802,4
381,1732271803,4
382,1732271804,17
383,1732271805,4
384,1732271806,4
385,1732271807,5
386,1732271808,4
387,1732271809,5
388,1732271810,4
389,1732271811,4
390,1732271812,4
391,1732271813,17
392,1732271814,7
393,1732271815,6
394,1732271816,4
395,1732271817,4
396,1732271818,4
397,1732271819,6
398,1732271820,5
399,1732271821,5
400,1732271822,5
401,1732271823,5
402,1732271824,5
403,1732271825,4
404,1732271826,4
405,1732271827,5
406,1732271828,4
407,1732271829,5
408,1732271830,5
409,1732271831,4
410,1732271832,5
411,1732271833,5
412,1732271834,5
413,1732271835,4
414,1732271836,4
415,1732271837,5
416,1732271838,6
417,1732271839,5
418,1732271840,4
419,1732271841,4
420,1732271842,5
421,1732271843,4
422,1732271844,18
423,1732271845,5
424,1732271846,4
425,1732271847,5
426,1732271848,4
427,1732271849,5
428,1732271850,4
429,1732271851,4
430,1732271852,5
431,1732271853,4
432,1732271854,6
433,1732271855,4
434,1732271856,4
435,1732271857,5
436,1732271858,4
437,1732271859,5
438,1732271860,5
439,1732271861,5
440,1732271862,5
441,1732271863,4
442,1732271864,17
443,1732271865,4
444,1732271866,4
445,1732271867,5
446,1732271868,4
447,1732271869,7
448,1732271870,5
449,1732271871,4
450,1732271872,5
451,1732271873,10
452,1732271874,6
453,1732271875,5
454,1732271876,4
455,1732271877,5
456,1732271878,4
457,1732271879,5
458,1732271880,4
459,1732271881,4
460,1732271882,5
461,1732271883,4
462,1732271884,5
463,1732271885,4
464,1732271886,4
465,1732271887,5
466,1732271888,4
467,1732271889,5
468,1732271890,5
469,1732271891,4
470,1732271892,5
471,1732271893,5
472,1732271894,5
473,1732271895,5
474,1732271896,4
475,1732271897,5
476,1732271898,4
477,1732271899,5
478,1732271900,4
479,1732271901,4
480,1732271902,6
481,1732271903,4
482,1732271904,6
483,1732271905,5
484,1732271906,4
485,1732271907,5
486,1732271908,4
487,1732271909,5
488,1732271910,4
489,1732271911,4
490,1732271912,5
491,1732271913,4
492,1732271914,5
493,1732271915,17
494,1732271916,4
495,1732271917,5
496,1732271918,4
497,1732271919,5
498,1732271920,5
499,1732271921,4
500,1732271922,5
501,1732271923,4
502,1732271924,8
503,1732271925,4
504,1732271926,4
505,1732271927,5
506,1732271928,4
507,1732271929,4
508,1732271930,4
509,1732271931,4
510,1732271932,5
511,1732271933,7
512,1732271934,4
513,1732271935,5
514,1732271936,4
515,1732271937,5
516,1732271938,4
517,1732271939,4
518,1732271940,4
519,1732271941,4
520,1732271942,6
521,1732271943,4
522,1732271944,4
523,1732271945,5
524,1732271946,4
525,1732271947,5
526,1732271948,4
527,1732271949,4
528,1732271950,5
529,1732271951,4
530,1732271952,5
531,1732271953,5
532,1732271954,4
533,1732271955,4
534,1732271956,4
535,1732271957,5
536,1732271958,4
537,1732271959,4
538,1732271960,4
539,1732271961,4
540,1732271962,8
541,1732271963,4
542,1732271964,5
543,1732271965,6
544,1732271966,4
545,1732271967,5
546,1732271968,4
547,1732271969,4
548,1732271970,4
549,1732271971,4
550,1732271972,5
551,1732271973,5
552,1732271974,4
553,1732271975,4
554,1732271976,4
555,1732271977,5
556,1732271978,4
557,1732271979,4
558,1732271980,5
559,1732271981,5
560,1732271982,6
561,1732271983,4
562,1732271984,17
563,1732271985,5
564,1732271986,4
565,1732271987,5
566,1732271988,4
567,1732271989,4
568,1732271990,4
569,1732271991,6
570,1732271992,5
571,1732271993,15
572,1732271994,4
573,1732271995,6
574,1732271996,4
575,1732271997,5
576,1732271998,4
577,1732271999,4
578,1732272000,6
579,1732272001,4
580,1732272002,5
581,1732272003,4
582,1732272004,4
583,1732272005,5
584,1732272006,7
585,1732272007,5
586,1732272008,4
587,1732272009,4
588,1732272010,6
589,1732272011,4
590,1732272012,5
591,1732272013,4
592,1732272014,4
593,1732272015,6
594,1732272016,4
595,1732272017,5
596,1732272018,4
597,1732272019,4
598,1732272020,5
599,1732272021,4
600,1732272022,9
601,1732272023,4
602,1732272024,4
603,1732272025,6
604,1732272026,8
605,1732272027,4
606,1732272028,4
607,1732272029,4
608,1732272030,5
609,1732272031,4
610,1732272032,5
611,1732272033,8
612,1732272034,4
613,1732272035,5
614,1732272036,4
615,1732272037,5
616,1732272038,5
617,1732272039,4
618,1732272040,6
619,1732272041,4
620,1732272042,11
621,1732272043,4
622,1732272044,4
623,1732272045,5
624,1732272046,6
625,1732272047,5
626,1732272048,4
627,1732272049,4
628,1732272050,5
629,1732272051,4
630,1732272052,5
631,1732272053,7
632,1732272054,4
633,1732272055,6
634,1732272056,4
635,1732272057,5
636,1732272058,4
637,1732272059,4
638,1732272060,5
639,1732272061,4
640,1732272062,4
641,1732272063,4
642,1732272064,5
643,1732272065,5
644,1732272066,5
645,1732272067,5
646,1732272068,4
647,1732272069,4
648,1732272070,6
649,1732272071,4
650,1732272072,4
651,1732272073,4
652,1732272074,4
653,1732272075,5
654,1732272076,4
655,1732272077,4
656,1732272078,4
657,1732272079,4
658,1732272080,5
659,1732272081,4
660,1732272082,4
661,1732272083,5
662,1732272084,7
663,1732272085,6
664,1732272086,4
665,1732272087,4
666,1732272088,5
667,1732272089,5
668,1732272090,6
669,1732272091,4
670,1732272092,4
671,1732272093,11
672,1732272094,4
673,1732272095,5
674,1732272096,4
675,1732272097,4
676,1732272098,4
677,1732272099,4
678,1732272100,6
679,1732272101,4
680,1732272102,17
681,1732272103,4
682,1732272104,4
683,1732272105,6
684,1732272106,4
685,1732272107,4
686,1732272108,4
687,1732272109,4
688,1732272110,5
689,1732272111,8
690,1732272112,4
691,1732272113,4
692,1732272114,4
693,1732272115,6
694,1732272116,4
695,1732272117,5
696,1732272118,6
697,1732272119,5
698,1732272120,5
699,1732272121,4
700,1732272122,4
701,1732272123,5
702,1732272124,4
703,1732272125,8
704,1732272126,5
705,1732272127,4
706,1732272128,4
707,1732272129,4
708,1732272130,6
709,1732272131,4
710,1732272132,4
711,1732272133,4
712,1732272134,4
713,1732272135,6
714,1732272136,9
715,1732272137,4
716,1732272138,4
717,1732272139,4
718,1732272140,5
719,1732272141,4
720,1732272142,4
721,1732272143,4
722,1732272144,4
723,1732272145,6
724,1732272146,4
725,1732272147,4
726,1732272148,4
727,1732272149,4
728,1732272150,6
729,1732272151,4
730,1732272152,4
731,1732272153,4
732,1732272154,4
733,1732272155,5
734,1732272156,4
735,1732272157,5
736,1732272158,5
737,1732272159,4
738,1732272160,7
739,1732272161,4
740,1732272162,4
741,1732272163,7
742,1732272164,4
743,1732272165,19
744,1732272166,4
745,1732272167,4
746,1732272168,5
747,1732272169,4
748,1732272170,5
749,1732272171,4
750,1732272172,5
751,1732272173,5
752,1732272174,8
753,1732272175,6
754,1732272176,4
755,1732272177,8
756,1732272178,5
757,1732272179,4
758,1732272180,5
759,1732272181,6
760,1732272182,4
761,1732272183,9
762,1732272184,5
763,1732272185,5
764,1732272186,4
765,1732272187,4
766,1732272188,6
767,1732272189,4
768,1732272190,7
769,1732272191,4
770,1732272192,5
771,1732272193,6
772,1732272194,5
773,1732272195,7
774,1732272196,5
775,1732272197,4
776,1732272198,6
777,1732272199,5
778,1732272200,7
779,1732272201,7
780,1732272202,5
781,1732272203,5
782,1732272204,6
783,1732272205,8
784,1732272206,5
785,1732272207,5
786,1732272208,8
787,1732272209,5
788,1732272210,6
789,1732272211,5
790,1732272212,6
791,1732272213,6
792,1732272214,5
793,1732272215,5
794,1732272216,4
795,1732272217,4
796,1732272218,6
797,1732272219,4
798,1732272220,6
799,1732272221,4
800,1732272222,4
801,1732272223,7
802,1732272224,4
803,1732272225,9
804,1732272226,4
805,1732272227,5
806,1732272228,5
807,1732272229,4
808,1732272230,5
809,1732272231,5
810,1732272232,4
811,1732272233,5
812,1732272234,4
813,1732272235,6
814,1732272236,4
815,1732272237,4
816,1732272238,5
817,1732272239,4
818,1732272240,5
819,1732272241,4
820,1732272242,4
821,1732272243,6
822,1732272244,4
823,1732272245,10
824,1732272246,4
825,1732272247,4
826,1732272248,5
827,1732272249,4
828,1732272250,6
829,1732272251,4
830,1732272252,4
831,1732272253,6
832,1732272254,4
833,1732272255,5
834,1732272256,4
835,1732272257,4
836,1732272258,5
837,1732272259,4
838,1732272260,4
839,1732272261,4
840,1732272262,4
841,1732272263,5
842,1732272264,4
843,1732272265,6
844,1732272266,4
845,1732272267,4
846,1732272268,5
847,1732272269,4
848,1732272270,5
849,1732272271,4
850,1732272272,4
851,1732272273,5
852,1732272274,9
853,1732272275,4
854,1732272276,5
855,1732272277,4
856,1732272278,5
857,1732272279,4
858,1732272280,6
859,1732272281,4
860,1732272282,4
861,1732272283,5
862,1732272284,4
863,1732272285,4
864,1732272286,4
865,1732272287,4
866,1732272288,5
867,1732272289,4
868,1732272290,4
869,1732272291,5
870,1732272292,4
871,1732272293,5
872,1732272294,10
873,1732272295,5
874,1732272296,4
875,1732272297,4
876,1732272298,5
