,0,1
0,1732271422,202.3789
1,1732271423,196.6523
2,1732271424,195.9492
3,1732271425,193.2617
4,1732271426,191.8086
5,1732271427,188.8242
6,1732271428,187.0273
7,1732271429,191.2695
8,1732271430,186.293
9,1732271431,180.2266
10,1732271432,180.6367
11,1732271433,179.1602
12,1732271434,179.6836
13,1732271435,178.4648
14,1732271436,172.0938
15,1732271437,168.4297
16,1732271438,171.668
17,1732271439,169.8047
18,1732271440,173.3008
19,1732271441,172.7969
20,1732271442,172.0469
21,1732271443,170.3281
22,1732271444,172.4688
23,1732271445,169.5898
24,1732271446,173.0938
25,1732271447,171.7969
26,1732271448,173.1367
27,1732271449,173.3008
28,1732271450,172.8359
29,1732271451,171.9805
30,1732271452,170.6953
31,1732271453,170.5234
32,1732271454,169.7422
33,1732271455,169.2188
34,1732271456,170.043
35,1732271457,176.3516
36,1732271458,173.2578
37,1732271459,172.0039
38,1732271460,174.082
39,1732271461,174.3984
40,1732271462,172.0859
41,1732271463,169.8125
42,1732271464,167.25781
43,1732271465,164.8125
44,1732271466,159.97266
45,1732271467,159.09375
46,1732271468,156.52734
47,1732271469,160.30469
48,1732271470,160.25
49,1732271471,153.94922
50,1732271472,150.22656
51,1732271473,200.0703
52,1732271474,208.6758
53,1732271475,208.7227
54,1732271476,208.7344
55,1732271477,204.6562
56,1732271478,204.1875
57,1732271479,202.5508
58,1732271480,200.6641
59,1732271481,194.8281
60,1732271482,199.082
61,1732271483,197.5508
62,1732271484,197.3047
63,1732271485,194.5273
64,1732271486,200.1211
65,1732271487,199.1719
66,1732271488,198.9844
67,1732271489,194.7344
68,1732271490,193.0781
69,1732271491,189.1836
70,1732271492,185.4297
71,1732271493,187.2422
72,1732271494,186.2891
73,1732271495,195.3828
74,1732271496,203.2695
75,1732271497,200.4219
76,1732271498,207.5586
77,1732271499,203.8906
78,1732271500,205.625
79,1732271501,204.7266
80,1732271502,198.3242
81,1732271503,195.8359
82,1732271504,191.9766
83,1732271505,193.7773
84,1732271506,188.6094
85,1732271507,188.5391
86,1732271508,193.2734
87,1732271509,192.7227
88,1732271510,204.0312
89,1732271511,207.0039
90,1732271512,208.5742
91,1732271513,208.3008
92,1732271514,211.6094
93,1732271515,213.7461
94,1732271516,217.5312
95,1732271517,214.9648
96,1732271518,218.2266
97,1732271519,212.082
98,1732271520,217.2227
99,1732271521,214.2891
100,1732271522,207.2383
101,1732271523,204.2188
102,1732271524,203.2891
103,1732271525,205.3555
104,1732271526,209.5898
105,1732271527,218.2812
106,1732271528,214.5664
107,1732271529,210.0664
108,1732271530,206.7344
109,1732271531,208.3242
110,1732271532,206.0508
111,1732271533,209.8242
112,1732271534,208.1016
113,1732271535,213.3281
114,1732271536,213.4609
115,1732271537,207.082
116,1732271538,205.3945
117,1732271539,197.7852
118,1732271540,195.8516
119,1732271541,198.8633
120,1732271542,197.1406
121,1732271543,207.3789
122,1732271544,206.1328
123,1732271545,212.7891
124,1732271546,214.082
125,1732271547,214.6875
126,1732271548,213.5898
127,1732271549,215.2383
128,1732271550,213.2227
129,1732271551,214.6914
130,1732271552,213.8086
131,1732271553,225.4258
132,1732271554,225.2812
133,1732271555,221.7031
134,1732271556,217.7305
135,1732271557,213.7695
136,1732271558,209.6562
137,1732271559,207.0
138,1732271560,208.6836
139,1732271561,205.8008
140,1732271562,215.7734
141,1732271563,214.4492
142,1732271564,211.8594
143,1732271565,211.0391
144,1732271566,210.4297
145,1732271567,216.6719
146,1732271568,209.9258
147,1732271569,211.5938
148,1732271570,208.7461
149,1732271571,208.3672
150,1732271572,216.1953
151,1732271573,215.9219
152,1732271574,209.3164
153,1732271575,213.3672
154,1732271576,217.0312
155,1732271577,219.1211
156,1732271578,210.6719
157,1732271579,205.8359
158,1732271580,196.6445
159,1732271581,189.918
160,1732271582,187.9414
161,1732271583,186.957
162,1732271584,193.7422
163,1732271585,197.0938
164,1732271586,194.457
165,1732271587,192.9102
166,1732271588,188.4219
167,1732271589,199.375
168,1732271590,197.3945
169,1732271591,190.0781
170,1732271592,197.2266
171,1732271593,199.332
172,1732271594,196.7773
173,1732271595,191.6484
174,1732271596,193.3477
175,1732271597,193.6445
176,1732271598,192.168
177,1732271599,191.0898
178,1732271600,190.25
179,1732271601,192.2227
180,1732271602,198.9922
181,1732271603,201.6914
182,1732271604,208.2891
183,1732271605,209.9492
184,1732271606,208.3477
185,1732271607,209.4805
186,1732271608,205.6094
187,1732271609,206.9844
188,1732271610,206.1289
189,1732271611,211.7773
190,1732271612,207.1484
191,1732271613,212.6484
192,1732271614,209.4258
193,1732271615,207.3984
194,1732271616,204.8008
195,1732271617,214.1055
196,1732271618,206.707
197,1732271619,204.0352
198,1732271620,205.7266
199,1732271621,199.2578
200,1732271622,191.0977
201,1732271623,190.207
202,1732271624,197.6289
203,1732271625,194.9219
204,1732271626,196.3438
205,1732271627,201.6875
206,1732271628,195.3125
207,1732271629,194.3047
208,1732271630,191.8281
209,1732271631,188.7266
210,1732271632,190.6055
211,1732271633,193.6875
212,1732271634,197.707
213,1732271635,196.2891
214,1732271636,208.2188
215,1732271637,210.0195
216,1732271638,203.4414
217,1732271639,203.1953
218,1732271640,199.1875
219,1732271641,194.1484
220,1732271642,204.957
221,1732271643,200.4219
222,1732271644,204.9648
223,1732271645,201.0469
224,1732271646,194.6328
225,1732271647,202.6719
226,1732271648,207.0938
227,1732271649,204.5938
228,1732271650,199.918
229,1732271651,213.5703
230,1732271652,213.5
231,1732271653,202.6602
232,1732271654,209.7422
233,1732271655,199.7695
234,1732271656,200.5195
235,1732271657,203.0938
236,1732271658,199.6719
237,1732271659,192.9492
238,1732271660,191.5117
239,1732271661,195.9688
240,1732271662,198.9883
241,1732271663,204.168
242,1732271664,201.6367
243,1732271665,198.8008
244,1732271666,205.2617
245,1732271667,206.375
246,1732271668,206.5781
247,1732271669,203.6797
248,1732271670,201.2969
249,1732271671,203.5664
250,1732271672,206.1133
251,1732271673,196.9023
252,1732271674,197.8867
253,1732271675,205.1055
254,1732271676,198.9492
255,1732271677,190.3164
256,1732271678,193.2656
257,1732271679,185.5312
258,1732271680,187.457
259,1732271681,194.4219
260,1732271682,191.4453
261,1732271683,191.2148
262,1732271684,188.5156
263,1732271685,185.2461
264,1732271686,184.7656
265,1732271687,185.0469
266,1732271688,192.4609
267,1732271689,188.0859
268,1732271690,186.9766
269,1732271691,192.7539
270,1732271692,191.3555
271,1732271693,187.6367
272,1732271694,182.1211
273,1732271695,188.8516
274,1732271696,197.043
275,1732271697,200.6992
276,1732271698,192.9336
277,1732271699,191.3984
278,1732271700,187.7305
279,1732271701,184.2227
280,1732271702,184.7383
281,1732271703,181.4258
282,1732271704,180.0234
283,1732271705,176.4023
284,1732271706,181.6484
285,1732271707,177.9688
286,1732271708,174.6797
287,1732271709,174.0273
288,1732271710,184.2656
289,1732271711,178.6094
290,1732271712,183.0078
291,1732271713,183.0078
292,1732271714,180.8555
293,1732271715,186.0859
294,1732271716,184.9102
295,1732271717,184.4492
296,1732271718,183.3203
297,1732271719,185.4961
298,1732271720,183.875
299,1732271721,190.8906
300,1732271722,187.5352
301,1732271723,186.7773
302,1732271724,185.0
303,1732271725,185.6719
304,1732271726,192.375
305,1732271727,183.3438
306,1732271728,185.6445
307,1732271729,197.832
308,1732271730,196.9258
309,1732271731,195.0273
310,1732271732,194.6992
311,1732271733,197.8633
312,1732271734,195.9102
313,1732271735,189.1797
314,1732271736,186.7266
315,1732271737,196.6211
316,1732271738,193.1367
317,1732271739,178.4453
318,1732271740,184.3789
319,1732271741,183.1602
320,1732271742,180.1133
321,1732271743,185.7852
322,1732271744,187.0078
323,1732271745,185.6367
324,1732271746,184.2578
325,1732271747,184.7539
326,1732271748,179.832
327,1732271749,189.375
328,1732271750,188.832
329,1732271751,185.582
330,1732271752,188.1367
331,1732271753,187.543
332,1732271754,190.6719
333,1732271755,186.8281
334,1732271756,180.5664
335,1732271757,182.3438
336,1732271758,182.7539
337,1732271759,179.5273
338,1732271760,177.5625
339,1732271761,176.7461
340,1732271762,177.2266
341,1732271763,176.6445
342,1732271764,174.9062
343,1732271765,182.668
344,1732271766,187.7578
345,1732271767,186.7695
346,1732271768,195.1289
347,1732271769,194.457
348,1732271770,195.8281
349,1732271771,194.9531
350,1732271772,186.9141
351,1732271773,185.332
352,1732271774,179.0547
353,1732271775,177.6641
354,1732271776,175.2812
355,1732271777,177.3594
356,1732271778,176.3242
357,1732271779,182.0625
358,1732271780,189.8867
359,1732271781,193.8438
360,1732271782,194.9844
361,1732271783,188.4492
362,1732271784,188.6484
363,1732271785,194.1719
364,1732271786,193.3164
365,1732271787,184.9492
366,1732271788,201.4531
367,1732271789,197.8398
368,1732271790,197.6992
369,1732271791,204.4102
370,1732271792,203.1797
371,1732271793,201.418
372,1732271794,201.4219
373,1732271795,196.1602
374,1732271796,198.1602
375,1732271797,201.1289
376,1732271798,199.1953
377,1732271799,196.3086
378,1732271800,192.0977
379,1732271801,191.9141
380,1732271802,190.3047
381,1732271803,190.293
382,1732271804,186.75
383,1732271805,184.7539
