pose_landmarking_rpi_mem.committed_Committed_AS,pose_landmarking_rpi_system.active_processes_active,pose_landmarking_rpi_system.cpu_user,pose_landmarking_rpi_system.file_nr_used_used,pose_landmarking_rpi_system.processes_running,pose_landmarking_rpi_system.ram_buffers,pose_landmarking_rpi_system.ram_cached,pose_landmarking_rpi_system.ram_free,pose_landmarking_rpi_system.ram_used,Target
3240.055,421,58.31266,4352,8,3.242188,178.5078,174.7656,550.6133,10
3241.055,422,60.65163,4384,11,3.242188,178.5078,170.418,554.9609,10
3240.055,421,56.89223,4352,16,3.25,178.9883,167.69531,557.1953,10
3240.055,421,67.7665,4352,10,3.25,179.1953,168.6367,556.0469,10
3240.055,421,72.65823,4352,9,3.25,179.1953,173.8359,550.8477,10
3240.055,421,73.97959,4352,13,3.25,179.1953,170.2578,554.4258,10
3240.082,421,74.18546,4352,13,3.25,179.1953,165.71875,558.9648,10
3240.082,421,74.80916,4352,8,3.253906,178.2148,170.6133,555.0469,10
3240.082,421,70.85427,4352,10,3.257812,178.2188,173.8359,551.8164,10
3240.055,421,69.89796,4352,14,3.265625,178.2227,174.4492,551.1914,10
3240.055,421,72.58883,4352,9,3.265625,178.2227,171.2227,554.418,10
3240.082,421,71.50127,4352,8,3.265625,178.2227,174.2773,551.3633,10
3240.082,421,72.51908,4352,12,3.265625,178.2227,170.1055,555.5352,10
3240.082,421,69.56522,4352,13,3.265625,178.2227,166.375,559.2656,10
3240.082,421,71.92982,4352,8,3.265625,178.2227,172.625,553.0156,10
3240.082,421,74.30025,4352,10,3.265625,178.2227,170.4453,555.1953,10
3240.082,421,72.0403,4352,11,3.265625,178.2227,165.89062,559.75,10
3240.082,421,71.9697,4352,14,3.265625,178.2227,166.66406,558.9766,10
3240.082,421,72.79597,4352,11,3.265625,178.2227,166.61328,559.0273,10
3240.082,421,69.74359,4352,7,3.265625,178.2227,170.7227,554.918,10
3240.082,421,70.73791,4352,11,3.265625,178.2227,169.5352,556.1055,10
3240.082,421,71.24682,4352,12,3.265625,178.2227,169.043,556.5977,10
3240.082,421,72.79597,4352,7,3.265625,178.2227,173.8867,551.7539,10
3240.082,421,71.46402,4352,8,3.265625,178.2227,169.6055,556.0352,10
3240.082,421,73.43358,4352,13,3.265625,178.2227,165.80469,559.8359,10
3240.082,421,73.43358,4352,11,3.265625,178.2227,167.08203,558.5586,10
3240.082,421,68.79795,4352,11,3.265625,178.2227,168.1328,557.5078,10
3240.082,421,68.60759,4352,12,3.265625,178.2227,164.46875,561.1719,10
3240.082,421,68.26196,4352,11,3.265625,178.2227,169.4805,556.1602,10
3240.082,421,64.3038,4352,9,3.265625,178.2227,168.5156,557.125,10
3240.082,421,63.5443,4352,9,3.265625,178.2227,173.75,551.8906,10
3240.082,421,57.0,4352,17,3.265625,178.2227,168.2812,557.3594,10
3240.082,421,62.7204,4352,11,3.273438,178.2148,164.69922,560.9414,10
3240.082,421,70.69409,4352,13,3.273438,178.2227,169.3164,556.3164,10
3240.082,421,72.91139,4352,12,3.273438,178.2227,170.6133,555.0195,10
3240.082,421,69.05371,4352,10,3.273438,178.2227,171.1523,554.4805,10
3240.082,421,72.22222,4352,16,3.273438,178.2227,171.5312,554.1016,10
3240.082,421,72.1519,4352,11,3.273438,178.3438,172.7227,552.7891,10
3240.082,421,74.74747,4352,10,3.273438,178.3438,169.1523,556.3594,10
3240.082,421,73.23232,4352,10,3.273438,178.3438,173.7578,551.7539,10
3240.082,421,71.24682,4352,14,3.273438,178.3438,168.9297,556.582,10
3240.082,421,71.46465,4352,9,3.273438,178.3438,166.72266,558.7891,10
3240.082,421,73.35025,4352,8,3.273438,178.3438,172.7852,552.7266,10
3240.082,421,72.33503,4352,10,3.273438,178.3438,171.8203,553.6914,10
3240.082,421,70.88608,4352,11,3.28125,178.3438,165.58984,559.9141,10
3240.082,421,71.9697,4352,8,3.28125,178.3438,164.55469,560.9492,10
3240.082,421,71.03275,4352,11,3.28125,178.3438,166.92578,558.5781,10
3240.082,420,72.30769,4352,15,3.28125,178.3438,170.6992,554.8047,10
3240.082,420,71.78841,4352,7,3.28125,178.3438,170.2969,555.207,10
3240.086,420,70.55838,4352,13,3.28125,178.3438,170.1445,555.3594,10
3240.086,420,69.19192,4352,8,3.28125,178.3438,166.97266,558.5312,10
3240.086,420,72.18045,4352,11,3.28125,178.3438,170.1836,555.3203,10
3240.086,420,71.93878,4352,12,3.28125,178.3438,166.76562,558.7383,10
3240.086,420,68.01008,4352,11,3.28125,178.3438,164.11328,561.3906,10
3240.086,421,67.77494,4352,9,3.28125,178.3438,168.8633,556.6406,10
3240.086,421,71.28463,4352,7,3.28125,178.3438,169.6289,555.875,10
3240.086,421,67.67677,4352,7,3.28125,178.3438,166.78516,558.7188,10
3240.086,421,69.69697,4352,11,3.28125,178.3438,167.24219,558.2617,10
3240.086,421,67.58794,4352,10,3.28125,178.3438,169.4766,556.0273,10
3240.086,421,66.07143,4352,11,3.28125,178.3438,167.33984,558.1641,10
3240.086,421,64.57286,4352,13,3.28125,178.3438,168.5898,556.9141,10
3240.086,421,58.98734,4320,14,3.28125,178.3438,170.707,554.7969,10
3240.086,422,66.75,4320,15,3.289062,178.3438,170.0859,555.4102,10
3240.086,422,72.43108,4320,9,3.289062,178.418,170.8555,554.5664,10
3240.086,422,71.75573,4352,12,3.289062,178.418,170.7969,554.625,10
3240.086,422,70.69409,4352,12,3.289062,178.418,167.69141,557.7305,10
3240.086,422,71.93878,4352,12,3.289062,178.418,170.5078,554.9141,10
3240.086,422,70.99237,4384,11,3.289062,178.418,164.96875,560.4531,10
3240.086,422,73.92405,4384,12,3.296875,178.418,169.9258,555.4883,10
3240.086,422,71.06599,4384,10,3.296875,178.418,165.59766,559.8164,10
3240.086,422,75.12563,4384,10,3.296875,178.418,173.0078,552.4062,10
3240.086,422,73.80353,4384,13,3.304688,178.4219,169.6484,555.7539,10
3240.086,422,70.95116,4384,19,3.304688,178.4219,165.51953,559.8828,10
3240.086,422,72.26463,4384,8,3.3125,178.4141,166.63672,558.7656,10
3240.086,422,71.42857,4384,12,3.3125,178.4219,166.88672,558.5078,10
