redis_mem.committed_Committed_AS,redis_system.active_processes_active,redis_system.cpu_user,redis_system.file_nr_used_used,redis_system.processes_running,redis_system.ram_buffers,redis_system.ram_cached,redis_system.ram_free,redis_system.ram_used,Target
52177.14,2417,6.995471,21496,3,1723.418,15080.25,4305.508,17404.7,98
52177.14,2417,7.160867,21416,2,1723.418,15080.297,4301.793,17408.36,98
52177.14,2417,7.139266,21416,2,1723.418,15080.297,4298.844,17411.31,98
52177.14,2417,6.93816,21456,2,1723.418,15080.297,4303.426,17406.73,98
52177.45,2417,7.142857,21456,3,1723.418,15080.328,4299.594,17410.53,98
52177.45,2417,7.135678,21496,4,1723.426,15080.328,4302.188,17407.93,98
52177.45,2417,7.15005,21456,5,1723.426,15080.328,4294.246,17415.87,98
52177.27,2417,7.092555,21456,2,1723.426,15080.328,4294.77,17415.35,98
52177.73,2417,7.139266,21456,4,1723.426,15080.297,4292.031,17418.12,98
52177.61,2417,7.189542,21456,5,1723.426,15080.297,4286.699,17423.45,98
52177.64,2417,7.290096,21456,3,1723.426,15080.297,4286.973,17423.18,98
52194.52,2419,7.308468,21496,2,1723.434,15080.297,4282.352,17427.79,98
52194.55,2419,6.93119,21496,4,1723.434,15080.297,4280.688,17429.45,98
52194.55,2419,6.700252,21536,2,1723.434,15080.297,4285.262,17424.88,98
52194.55,2417,7.038713,21536,3,1723.434,15080.297,4278.793,17431.35,98
52194.55,2417,7.045798,21496,6,1723.434,15080.297,4273.77,17436.37,98
52194.55,2417,7.355164,21496,4,1723.441,15080.297,4267.367,17442.77,98
52194.55,2417,7.049345,21496,2,1723.441,15080.297,4267.289,17442.84,98
52194.55,2417,7.286432,21536,2,1723.441,15080.297,4271.492,17438.64,98
52194.57,2417,7.096125,21536,3,1723.465,15080.305,4269.762,17440.34,98
52194.57,2417,7.081868,21496,2,1723.48,15080.297,4260.742,17449.35,98
52194.57,2417,7.157258,21496,2,1723.48,15080.297,4267.141,17442.95,98
52194.57,2417,7.243461,21496,4,1723.48,15080.297,4263.672,17446.42,98
52194.57,2417,7.088989,21456,2,1723.48,15080.297,4266.301,17443.79,98
52194.57,2417,6.952141,21456,3,1723.48,15080.297,4261.012,17449.08,98
52194.9,2417,6.990881,21456,2,1723.48,15080.297,4256.324,17453.77,98
52226.8,2417,7.501267,21456,6,1723.48,15080.297,4221.367,17488.73,98
52404.63,2419,9.049545,21576,3,1723.484,15080.332,4036.012,17674.04,98
52760.38,2419,11.516996,21616,2,1723.484,15080.344,3695.562,18014.48,98
52846.48,2419,18.67409,21576,4,1723.5,15080.184,3414.184,18296.0,98
50334.45,2350,14.235056,21656,8,1723.57,15080.32,3386.422,18323.56,98
49711.18,2341,10.035479,21616,4,1723.684,15079.582,3569.445,18141.16,98
49548.28,2341,15.677321,21576,3,1723.691,15079.547,3751.266,17959.37,98
49492.26,2340,9.680689,21536,3,1723.691,15079.547,3793.734,17916.9,98
49572.45,2340,16.322418,21576,4,1723.699,15079.547,3716.273,17994.35,98
49574.73,2340,15.544304,21576,6,1723.699,15079.547,3710.629,18000.0,98
49512.64,2340,16.540212,21456,4,1723.723,15079.547,3778.852,17931.75,98
49508.67,2340,12.179165,21456,3,1723.738,15079.547,3784.496,17926.09,98
49080.78,2340,16.8437,21336,15,1723.738,15079.547,4387.848,17322.74,98
49206.95,2343,13.235294,21296,2,1723.738,15079.555,4274.648,17435.93,98
49080.73,2342,8.883249,21296,2,1723.738,15079.555,4391.094,17319.48,98
49120.57,2343,11.330298,21216,3,1723.738,15079.555,4327.02,17383.56,98
49090.16,2343,9.344845,21176,4,1723.738,15079.559,4369.945,17340.63,98
49024.17,2346,8.72211,21216,2,1723.742,15079.559,4433.527,17277.04,98
49116.76,2343,18.82887,21296,3,1723.762,15079.531,4340.84,17369.74,98
49240.56,2344,16.96293,21256,6,1723.816,15079.535,4196.324,17514.2,98
49083.87,2344,20.07096,21216,5,1723.871,15079.527,4244.812,17465.66,98
50239.02,2345,17.57852,21096,3,1723.871,15079.555,4259.094,17451.35,98
49154.66,2345,18.64578,21176,3,1723.871,15079.559,4261.266,17449.18,98
49111.34,2345,10.050761,21216,5,1723.879,15079.559,4295.645,17414.79,98
49083.23,2345,14.749113,21176,2,1723.879,15079.562,4308.812,17401.62,98
49271.8,2360,16.725619,21216,7,1723.887,15079.574,4289.402,17421.01,98
49093.47,2345,16.616162,21176,3,1723.887,15079.574,4284.523,17425.89,98
49188.36,2345,21.8607,21296,3,1723.887,15079.578,4168.816,17541.59,98
49178.2,2345,15.045593,21336,11,1723.887,15079.582,4194.953,17515.45,98
49241.23,2346,23.1627,21296,11,1723.887,15079.602,4129.906,17580.48,98
49185.57,2345,21.08464,21296,4,1723.895,15079.609,4160.859,17549.51,98
49672.8,2344,18.26972,21296,8,1723.895,15079.609,4114.527,17595.84,98
49236.29,2344,20.64614,21296,10,1723.91,15079.605,4072.266,17638.09,98
49209.79,2344,17.58464,21336,3,1723.91,15079.621,4122.113,17588.23,98
