timestamp,value
1761663022000,3
1761663023000,2
1761663024000,2
1761663025000,2
1761663026000,3
1761663027000,4
1761663028000,5
1761663029000,2
1761663030000,4
1761663031000,5
1761663032000,3
1761663033000,2
1761663034000,4
1761663035000,2
1761663036000,3
1761663037000,6
1761663038000,4
1761663039000,2
1761663040000,2
1761663041000,3
1761663042000,2
1761663043000,2
1761663044000,4
1761663045000,2
1761663046000,3
1761663047000,2
1761663048000,6
1761663049000,3
1761663050000,2
1761663051000,4
1761663052000,8
1761663053000,4
1761663054000,3
1761663055000,3
1761663056000,4
1761663057000,6
1761663058000,4
1761663059000,3
1761663060000,15
1761663061000,2
1761663062000,2
1761663063000,3
1761663064000,4
1761663065000,2
1761663066000,3
1761663067000,6
1761663068000,5
1761663069000,3
1761663070000,3
1761663071000,5
1761663072000,2
1761663073000,7
1761663074000,3
1761663075000,3
1761663076000,11
1761663077000,11
1761663078000,4
1761663079000,8
1761663080000,10
1761663081000,3
