Train Dataset,Anomaly Dataset,Inference time,tn,fp,fn,tp,Precision,Recall,F1-Score,Threshold
audio_classification.csv,audio_classification_rpi.csv,0.0554201602935791,1,0,0,1,1.0,1.0,1.0,0.49361700093355027
audio_classification.csv,face_detection.csv,0.04613995552062988,1,0,0,1,1.0,1.0,1.0,0.5094956843070724
audio_classification.csv,face_detection_rpi.csv,0.04982757568359375,1,0,0,1,1.0,1.0,1.0,0.40447559203713424
audio_classification.csv,face_landmarking.csv,0.049574851989746094,1,0,0,1,1.0,1.0,1.0,0.43632877646100865
audio_classification.csv,face_landmarking_rpi.csv,0.04664802551269531,1,0,0,1,1.0,1.0,1.0,0.45123746281294896
audio_classification.csv,gesture_recognition.csv,0.045202016830444336,1,0,0,1,1.0,1.0,1.0,0.4566323399581105
audio_classification.csv,gesture_recognition_rpi.csv,0.04527854919433594,1,0,0,1,1.0,1.0,1.0,0.4198593472925874
audio_classification.csv,hand_landmarking.csv,0.0472559928894043,1,0,0,1,1.0,1.0,1.0,0.4941847830677246
audio_classification.csv,hand_landmarking_rpi.csv,0.04694223403930664,1,0,0,1,1.0,1.0,1.0,0.3961229580174791
audio_classification.csv,idle1.csv,0.04824542999267578,1,0,0,1,1.0,1.0,1.0,0.45241798737615724
audio_classification.csv,idle2.csv,0.05066633224487305,1,0,0,1,1.0,1.0,1.0,0.48849108069432146
audio_classification.csv,object_detection.csv,0.054648637771606445,1,0,0,1,1.0,1.0,1.0,0.42265148674905917
audio_classification.csv,object_detection_rpi.csv,0.05008339881896973,1,0,0,1,1.0,1.0,1.0,0.49146793227190466
audio_classification.csv,pose_landmarking.csv,0.04811525344848633,1,0,0,1,1.0,1.0,1.0,0.40881188676965874
audio_classification.csv,pose_landmarking_rpi.csv,0.05008268356323242,1,0,0,1,1.0,1.0,1.0,0.46101173555030606
audio_classification_rpi.csv,audio_classification.csv,0.04719352722167969,1,0,0,1,1.0,1.0,1.0,0.44856921565170604
audio_classification_rpi.csv,face_detection.csv,0.04564356803894043,1,0,0,1,1.0,1.0,1.0,0.4827557676616449
audio_classification_rpi.csv,face_detection_rpi.csv,0.04773378372192383,1,0,0,1,1.0,1.0,1.0,0.4437951843514903
audio_classification_rpi.csv,face_landmarking.csv,0.05178570747375488,1,0,0,1,1.0,1.0,1.0,0.44856921565170604
audio_classification_rpi.csv,face_landmarking_rpi.csv,0.04908466339111328,1,0,0,1,1.0,1.0,1.0,0.4336340633337203
audio_classification_rpi.csv,gesture_recognition.csv,0.045568227767944336,1,0,0,1,1.0,1.0,1.0,0.4891571986772015
audio_classification_rpi.csv,gesture_recognition_rpi.csv,0.04557657241821289,1,0,0,1,1.0,1.0,1.0,0.40928347234280743
