audio_classification_rpi_mem.committed_Committed_AS,audio_classification_rpi_system.active_processes_active,audio_classification_rpi_system.cpu_user,audio_classification_rpi_system.file_nr_used_used,audio_classification_rpi_system.processes_running,audio_classification_rpi_system.ram_buffers,audio_classification_rpi_system.ram_cached,audio_classification_rpi_system.ram_free,audio_classification_rpi_system.ram_used,Target
3177.258,434,11.519608,4576,2,1.5859375,252.9766,141.25,511.3164,5
3177.258,434,9.278351,4576,2,1.5859375,252.9766,141.25,511.3164,5
3177.258,434,10.966057,4576,2,1.5859375,252.9766,141.25,511.3164,5
3177.258,434,8.78553,4576,2,1.5859375,252.9766,141.25,511.3164,5
3177.258,434,11.311054,4576,2,1.5859375,252.9766,141.25,511.3164,5
3177.258,434,11.633663,4576,2,1.5859375,252.9766,141.25,511.3164,5
3177.258,434,10.864198,4576,3,1.5859375,253.0273,141.25,511.2656,5
3177.258,434,11.27451,4576,4,1.5859375,253.0273,141.25,511.2656,5
3177.258,434,10.075567,4576,2,1.5859375,253.0273,141.25,511.2656,5
3177.258,434,8.974359,4576,3,1.5859375,253.0273,141.25,511.2656,5
3177.258,434,6.994819,4576,2,1.5859375,253.0273,141.25,511.2656,5
3177.258,434,9.230769,4576,3,1.5859375,253.0273,141.00391,511.5117,5
3177.258,434,11.91067,4576,3,1.5859375,253.0273,140.75781,511.7578,5
3177.258,434,11.25,4576,2,1.5859375,253.0273,140.75781,511.7578,5
3177.258,434,12.345679,4576,3,1.5859375,253.0273,140.75781,511.7578,5
3177.258,434,11.219512,4576,2,1.5859375,253.0273,140.75781,511.7578,5
3177.258,434,13.366337,4576,2,1.5859375,253.0273,140.75781,511.7578,5
3177.258,434,10.025707,4576,3,1.5859375,253.0273,140.51172,512.0039,5
3177.258,434,12.02046,4576,2,1.5859375,253.0273,140.51172,512.0039,5
3177.258,434,10.152284,4576,3,1.5859375,253.0273,140.51172,512.0039,5
3177.258,434,12.406948,4576,2,1.5859375,253.0273,140.51172,512.0039,5
3177.258,434,11.111111,4576,3,1.5859375,253.0273,140.26562,512.25,5
3177.258,434,10.948905,4576,2,1.59375,253.0195,140.01953,512.4961,5
3177.258,434,10.687023,4576,2,1.59375,253.0273,140.01953,512.4883,5
3177.258,434,12.189055,4576,2,1.59375,253.0273,140.01953,512.4883,5
3177.258,434,10.204082,4576,3,1.59375,253.0273,140.01953,512.4883,5
3177.258,434,10.379747,4576,2,1.59375,253.0273,140.01953,512.4883,5
3177.258,434,12.531328,4576,4,1.59375,253.0273,139.77344,512.7344,5
3177.258,434,11.940299,4576,4,1.59375,253.0273,139.77344,512.7344,5
3177.258,434,14.146341,4576,2,1.59375,253.0273,139.52734,512.9805,5
3177.258,434,11.358025,4576,2,1.59375,253.0273,139.52734,512.9805,5
3177.258,434,10.0,4576,2,1.59375,253.0273,138.05078,514.457,5
3177.258,434,10.447761,4576,2,1.59375,253.0273,138.05078,514.457,5
3177.258,434,10.913706,4576,3,1.59375,253.0273,138.05078,514.457,5
3177.258,434,15.776081,4576,2,1.59375,253.0273,137.80469,514.7031,5
3177.258,434,11.75,4576,2,1.59375,253.0273,137.80469,514.7031,5
3177.258,434,10.447761,4576,3,1.59375,253.0273,137.80469,514.7031,5
3177.258,434,10.243902,4576,3,1.6015625,253.0195,137.80469,514.7031,5
3177.258,434,11.25,4576,2,1.6015625,253.0273,137.80469,514.6953,5
3177.258,434,10.769231,4576,2,1.6015625,253.0273,137.80469,514.6953,5
3177.258,434,10.421836,4608,2,1.6015625,253.0273,137.55859,514.9414,5
3177.258,434,9.693878,4608,5,1.6015625,253.0273,137.06641,515.4336,5
3177.258,434,11.809045,4608,2,1.976562,254.6289,136.60156,513.9219,5
3177.258,434,12.280702,4608,3,1.914062,248.4336,149.82031,506.9609,5
3177.258,434,14.248705,4608,2,1.921875,248.5039,148.13672,508.5664,5
3177.258,434,9.254499,4608,3,1.921875,248.5117,148.13672,508.5586,5
3177.258,434,11.508951,4608,2,1.921875,248.5273,147.89062,508.7891,5
3177.258,434,9.375,4608,3,1.929688,248.5273,147.89062,508.7812,5
3177.258,434,9.693878,4608,2,1.929688,248.5273,147.64453,509.0273,5
3177.258,434,11.868687,4608,3,1.929688,248.5273,147.64453,509.0273,5
3177.258,434,13.466334,4608,2,1.929688,248.5273,147.64453,509.0273,5
3177.258,434,11.055276,4608,4,1.929688,248.5273,147.59375,509.0781,5
3177.258,434,9.511568,4608,2,1.929688,248.5273,147.64453,509.0273,5
3177.258,434,8.974359,4608,3,1.9375,248.5273,147.64453,509.0195,5
3177.258,434,11.508951,4608,2,1.9375,248.5273,147.64453,509.0195,5
3177.258,434,11.825193,4608,2,1.9375,248.543,147.64453,509.0039,5
3177.258,434,10.741688,4608,2,1.9375,248.5586,147.39844,509.2344,5
3177.258,434,11.928934,4608,3,1.941406,248.5547,147.15234,509.4805,5
3177.258,434,12.189055,4608,2,1.941406,248.5586,147.15234,509.4766,5
3177.258,434,11.75,4608,3,1.945312,248.5547,146.90625,509.7227,5
3177.258,434,10.56701,4608,2,1.945312,248.5742,146.90625,509.7031,5
3177.258,434,9.278351,4608,3,1.945312,248.5742,146.42578,510.1836,5
3177.258,434,9.74359,4608,2,1.945312,248.5742,146.17969,510.4297,5
