,0,1
0,1733132516,2
1,1733132517,2
2,1733132518,2
3,1733132519,2
4,1733132520,2
5,1733132521,2
6,1733132522,3
7,1733132523,4
8,1733132524,2
9,1733132525,3
10,1733132526,2
11,1733132527,3
12,1733132528,3
13,1733132529,2
14,1733132530,3
15,1733132531,2
16,1733132532,2
17,1733132533,3
18,1733132534,2
19,1733132535,3
20,1733132536,2
21,1733132537,3
22,1733132538,2
23,1733132539,2
24,1733132540,2
25,1733132541,3
26,1733132542,2
27,1733132543,4
28,1733132544,4
29,1733132545,2
30,1733132546,2
31,1733132547,2
32,1733132548,2
33,1733132549,3
34,1733132550,2
35,1733132551,2
36,1733132552,3
37,1733132553,3
38,1733132554,2
39,1733132555,2
40,1733132556,2
41,1733132557,5
42,1733132558,2
43,1733132559,3
44,1733132560,2
45,1733132561,3
46,1733132562,2
47,1733132563,3
48,1733132564,2
49,1733132565,3
50,1733132566,2
51,1733132567,4
52,1733132568,2
53,1733132569,3
54,1733132570,2
55,1733132571,2
56,1733132572,2
57,1733132573,3
58,1733132574,2
59,1733132575,3
60,1733132576,2
61,1733132577,3
62,1733132578,2
63,1733132579,3
64,1733132580,2
65,1733132581,4
66,1733132582,2
67,1733132583,3
68,1733132584,2
69,1733132585,3
70,1733132586,2
71,1733132587,2
72,1733132588,2
73,1733132589,2
74,1733132590,2
75,1733132591,2
76,1733132592,2
77,1733132593,3
78,1733132594,2
79,1733132595,2
80,1733132596,4
81,1733132597,2
82,1733132598,2
83,1733132599,2
84,1733132600,3
85,1733132601,3
86,1733132602,2
87,1733132603,2
88,1733132604,2
89,1733132605,2
90,1733132606,2
91,1733132607,3
92,1733132608,2
93,1733132609,4
94,1733132610,2
95,1733132611,4
96,1733132612,2
97,1733132613,2
98,1733132614,2
99,1733132615,3
100,1733132616,2
101,1733132617,2
102,1733132618,2
103,1733132619,2
104,1733132620,3
105,1733132621,2
106,1733132622,3
107,1733132623,2
108,1733132624,2
109,1733132625,2
110,1733132626,4
111,1733132627,2
112,1733132628,2
113,1733132629,2
114,1733132630,2
115,1733132631,2
116,1733132632,2
117,1733132633,3
118,1733132634,2
119,1733132635,2
120,1733132636,2
121,1733132637,2
122,1733132638,2
123,1733132639,2
124,1733132640,2
125,1733132641,3
126,1733132642,2
127,1733132643,3
128,1733132644,2
129,1733132645,3
130,1733132646,2
131,1733132647,2
132,1733132648,2
133,1733132649,2
134,1733132650,2
135,1733132651,2
136,1733132652,2
137,1733132653,4
138,1733132654,2
139,1733132655,3
140,1733132656,2
141,1733132657,2
142,1733132658,2
143,1733132659,2
144,1733132660,2
145,1733132661,2
146,1733132662,3
147,1733132663,2
148,1733132664,2
149,1733132665,2
150,1733132666,2
151,1733132667,2
152,1733132668,2
153,1733132669,3
154,1733132670,2
155,1733132671,2
156,1733132672,2
157,1733132673,2
158,1733132674,2
159,1733132675,2
160,1733132676,2
161,1733132677,2
162,1733132678,2
163,1733132679,3
164,1733132680,2
165,1733132681,2
166,1733132682,2
167,1733132683,2
168,1733132684,3
169,1733132685,2
170,1733132686,2
171,1733132687,2
172,1733132688,2
173,1733132689,2
174,1733132690,2
175,1733132691,4
176,1733132692,2
177,1733132693,2
178,1733132694,2
179,1733132695,2
180,1733132696,2
181,1733132697,3
182,1733132698,4
183,1733132699,2
184,1733132700,2
185,1733132701,2
186,1733132702,2
187,1733132703,3
188,1733132704,2
189,1733132705,2
190,1733132706,2
191,1733132707,2
192,1733132708,2
193,1733132709,2
194,1733132710,2
195,1733132711,2
196,1733132712,4
197,1733132713,2
198,1733132714,2
199,1733132715,2
200,1733132716,2
201,1733132717,2
202,1733132718,2
203,1733132719,2
204,1733132720,2
205,1733132721,2
206,1733132722,2
207,1733132723,2
208,1733132724,2
209,1733132725,2
210,1733132726,2
211,1733132727,3
212,1733132728,2
213,1733132729,3
214,1733132730,2
215,1733132731,2
216,1733132732,6
217,1733132733,2
218,1733132734,2
219,1733132735,2
220,1733132736,2
221,1733132737,2
222,1733132738,2
223,1733132739,4
224,1733132740,5
225,1733132741,6
226,1733132742,4
227,1733132743,3
228,1733132744,3
229,1733132745,4
230,1733132746,5
231,1733132747,5
232,1733132748,5
233,1733132749,3
234,1733132750,5
235,1733132751,4
236,1733132752,4
237,1733132753,4
238,1733132754,4
239,1733132755,5
240,1733132756,3
241,1733132757,4
242,1733132758,3
243,1733132759,4
244,1733132760,4
245,1733132761,4
246,1733132762,4
247,1733132763,2
248,1733132764,2
249,1733132765,2
250,1733132766,2
251,1733132767,2
252,1733132768,3
253,1733132769,4
