face_detection_rpi_mem.committed_Committed_AS,face_detection_rpi_system.active_processes_active,face_detection_rpi_system.cpu_user,face_detection_rpi_system.file_nr_used_used,face_detection_rpi_system.processes_running,face_detection_rpi_system.ram_buffers,face_detection_rpi_system.ram_cached,face_detection_rpi_system.ram_free,face_detection_rpi_system.ram_used,Target
3082.781,423,68.10127,4384,10,1.890625,318.8672,88.92969,497.4414,6
3082.781,423,66.66667,4384,16,1.890625,318.8672,89.74219,496.6289,6
3082.797,423,68.38046,4384,9,1.890625,318.8672,85.23047,501.1406,6
3082.781,423,68.86076,4384,14,1.890625,318.8789,86.70703,499.6523,6
3082.781,422,69.64286,4384,13,1.890625,318.8789,89.05859,497.3008,6
3082.781,423,69.68912,4384,11,1.890625,318.8789,87.96875,498.3906,6
3083.66,423,66.41414,4384,11,1.890625,318.8789,91.58203,494.7773,6
3082.781,423,69.82097,4384,10,1.890625,318.8789,87.71484,498.6445,6
3083.66,423,68.11224,4384,12,1.890625,318.8789,88.58594,497.7734,6
3082.797,423,68.03069,4384,9,1.890625,318.8789,91.60547,494.7539,6
3082.781,423,67.26343,4352,17,1.890625,318.8789,94.48047,491.8789,6
3082.781,423,68.51385,4352,10,1.890625,318.8789,90.71875,495.6406,6
3082.781,423,67.00508,4352,10,1.890625,318.8789,91.14062,495.2188,6
3082.781,423,68.73385,4352,10,1.890625,318.8789,87.58594,498.7734,6
3082.781,423,66.66667,4352,15,1.890625,318.8789,85.10938,501.25,6
3082.781,423,65.73604,4352,14,1.890625,318.8789,91.41406,494.9453,6
3082.781,423,66.58228,4352,13,1.890625,318.8789,90.49609,495.8633,6
3082.781,423,64.66165,4352,9,1.898438,318.8789,93.25781,493.0938,6
3082.781,423,65.32663,4352,7,1.898438,318.8789,90.35156,496.0,6
3083.66,423,61.5,4352,11,1.898438,318.8789,91.50391,494.8477,6
3082.781,423,59.14787,4352,9,1.898438,318.8789,89.75781,496.5938,6
3081.902,423,55.58313,4352,11,1.898438,318.8789,92.52734,493.8242,6
3082.781,423,65.72165,4352,11,1.898438,318.9961,89.17969,497.0547,6
3081.902,423,69.17098,4352,7,1.898438,319.1211,89.53125,496.5781,6
3082.781,423,66.07143,4352,10,1.898438,319.1211,87.60938,498.5,6
3082.797,423,67.52577,4352,11,1.898438,319.1211,90.75391,495.3555,6
3081.902,423,69.28934,4352,9,1.898438,319.2461,95.18359,490.8008,6
3081.902,423,69.79167,4352,12,1.898438,319.2461,89.98047,496.0039,6
3082.797,423,64.79592,4352,11,1.898438,319.2461,94.79688,491.1875,6
3082.781,423,66.15776,4352,12,1.898438,319.2461,89.66406,496.3203,6
3082.781,423,67.8481,4352,8,1.898438,319.2461,89.14844,496.8359,6
3083.66,423,68.03069,4352,7,1.898438,319.2461,89.79297,496.1914,6
3081.902,423,67.78351,4352,11,1.898438,319.2461,90.47266,495.5117,6
3081.902,423,66.58031,4352,14,1.898438,319.2461,93.22266,492.7617,6
3082.781,423,66.58228,4352,12,1.902344,319.2656,89.49219,496.4688,6
3082.781,423,71.4653,4352,7,1.902344,319.2656,87.54688,498.4141,6
3082.781,423,70.02584,4352,11,1.902344,319.2656,87.59766,498.3633,6
3081.023,423,69.01763,4320,12,1.902344,319.2656,88.21484,497.7461,6
3082.781,423,69.7733,4320,8,1.902344,319.2656,86.39844,499.5625,6
3081.902,423,67.87565,4320,12,1.902344,319.2656,87.94922,498.0117,6
3082.797,423,68.95674,4320,9,1.902344,319.2656,88.18359,497.7773,6
3082.781,423,70.17995,4320,12,1.902344,319.2656,87.5625,498.3984,6
3082.797,423,68.71795,4320,9,1.902344,319.2656,86.37891,499.582,6
3082.781,423,68.87755,4320,7,1.902344,319.2656,91.00391,494.957,6
3083.66,423,67.8481,4320,14,1.902344,319.2656,90.07812,495.8828,6
3082.797,423,70.22901,4352,11,1.902344,319.2656,89.15234,496.8086,6
3082.781,423,66.49616,4352,10,1.902344,319.2656,92.0625,493.8984,6
3082.73,423,67.42424,4320,8,1.902344,319.2656,93.64062,492.3203,6
3083.902,423,66.07595,4320,12,1.902344,319.457,93.85156,491.918,6
3082.16,423,64.10256,4320,9,1.902344,319.7383,92.18359,493.3047,6
3083.789,423,57.5,4320,9,1.902344,319.7773,87.80078,497.6484,6
3083.789,423,55.94937,4320,8,1.902344,319.7773,88.625,496.8242,6
3083.789,423,60.05025,4320,10,1.902344,319.7773,89.84375,495.6055,6
3082.031,423,67.35219,4320,11,1.902344,319.7773,91.83984,493.6094,6
3083.848,423,69.43005,4320,13,1.902344,319.7773,88.88672,496.5625,6
3083.848,423,67.52577,4320,8,1.902344,319.7773,92.35156,493.0977,6
3082.969,423,65.56962,4320,9,1.902344,319.7773,87.45703,497.9922,6
3083.848,423,66.83673,4320,8,1.910156,319.7969,91.25391,494.168,6
3083.848,423,68.8946,4320,7,1.910156,319.8047,90.28906,495.125,6
3082.969,423,68.19338,4320,14,1.910156,319.8047,85.23047,500.1836,6
3083.848,423,66.58163,4320,8,1.910156,319.8047,89.29297,496.1211,6
3083.848,423,69.05371,4320,12,1.910156,319.8047,85.84766,499.5664,6
3084.727,423,67.7665,4352,14,1.910156,319.8047,93.65625,491.7578,6
3083.848,423,65.7289,4352,10,1.910156,319.8047,90.43359,494.9805,6
