face_landmarking_rpi_mem.committed_Committed_AS,face_landmarking_rpi_system.active_processes_active,face_landmarking_rpi_system.cpu_user,face_landmarking_rpi_system.file_nr_used_used,face_landmarking_rpi_system.processes_running,face_landmarking_rpi_system.ram_buffers,face_landmarking_rpi_system.ram_cached,face_landmarking_rpi_system.ram_free,face_landmarking_rpi_system.ram_used,Target
3230.188,423,55.15464,4352,8,3.054688,136.69922,177.6406,589.7344,10
3230.172,423,56.12245,4352,7,3.054688,136.69922,179.1836,588.1914,10
3230.188,423,63.96867,4352,9,3.054688,136.69922,176.7188,590.6562,10
3230.172,423,66.84073,4352,8,3.054688,136.69922,173.9922,593.3828,10
3230.172,423,62.43655,4352,8,3.054688,136.69922,177.4883,589.8867,10
3230.172,423,63.91753,4352,12,3.054688,136.69922,174.7539,592.6211,10
3230.172,423,57.88114,4352,7,3.054688,136.69922,177.9961,589.3789,10
3230.188,423,66.83673,4352,3,3.054688,136.69922,175.25,592.125,10
3230.188,423,61.18252,4352,8,3.054688,136.69922,174.1289,593.2461,10
3230.172,423,62.59542,4352,5,3.054688,136.94922,174.0469,593.0781,10
3230.172,422,65.05102,4352,3,2.5,134.19531,187.2891,583.1445,10
3230.172,422,61.01266,4352,10,2.5,134.19531,182.1094,588.3242,10
3230.172,422,63.61323,4352,6,2.5,134.19531,179.3633,591.0703,10
3230.188,422,69.23077,4352,9,2.5,134.19531,177.9688,592.4648,10
3230.172,422,64.96164,4352,9,2.503906,134.19531,176.1367,594.293,10
3230.172,422,57.98969,4352,6,2.503906,134.19531,178.75,591.6797,10
3230.172,422,66.40827,4320,6,2.503906,134.19531,176.7539,593.6758,10
3230.172,422,60.86957,4320,5,2.503906,134.19531,179.9375,590.4922,10
3230.172,422,60.5598,4320,12,2.503906,134.19531,181.5742,588.8555,10
3230.188,422,67.53247,4320,3,2.503906,134.19531,179.5234,590.9062,10
3230.172,422,57.88114,4320,9,2.503906,134.19531,177.7188,592.7109,10
3230.172,422,63.91753,4320,4,2.503906,134.19531,176.375,594.0547,10
3230.188,422,62.08651,4320,9,2.503906,134.19531,175.0703,595.3594,10
3230.172,422,62.37374,4320,7,2.503906,134.19531,177.5703,592.8594,10
3230.172,422,57.69231,4320,6,2.503906,134.19531,177.8945,592.5352,10
3230.172,422,57.4026,4320,9,2.503906,134.19531,176.6172,593.8125,10
3230.172,422,63.65979,4320,6,2.503906,134.19531,179.0898,591.3398,10
3230.188,422,59.23077,4320,4,2.503906,134.19531,177.9961,592.4336,10
3230.172,422,61.26582,4320,5,2.503906,134.19531,180.8672,589.5625,10
3230.172,422,53.67089,4320,9,2.503906,134.19531,183.0,587.4297,10
3230.172,422,54.82234,4320,9,2.503906,134.19531,180.7305,589.6992,10
3230.172,422,59.23077,4320,5,2.503906,134.19531,177.7344,592.6953,10
3230.188,422,58.61183,4320,3,2.503906,134.19531,181.5312,588.8984,10
3230.172,422,61.22449,4320,6,2.511719,134.19531,180.2227,590.1992,10
3230.172,422,60.96939,4320,9,2.511719,134.19531,177.4219,593.0,10
3230.172,422,65.54404,4320,4,2.511719,134.19531,175.5703,594.8516,10
3230.188,422,63.42711,4320,8,2.511719,134.19531,177.9727,592.4492,10
3230.188,422,63.86768,4320,4,2.511719,134.19531,183.0664,587.3555,10
3230.172,422,60.88083,4320,5,2.511719,134.19531,183.1992,587.2227,10
3230.172,422,63.56589,4320,7,2.511719,134.19531,181.8711,588.5508,10
3230.172,422,70.33248,4320,7,2.511719,134.19531,179.4102,591.0117,10
3230.172,422,58.86889,4320,5,2.511719,134.19531,178.0469,592.375,10
3230.172,422,62.7551,4352,4,2.511719,134.19531,179.1797,591.2422,10
3230.172,422,58.35476,4352,4,2.511719,134.19531,178.5703,591.8516,10
3230.188,422,62.14834,4352,4,2.511719,134.19531,183.0039,587.418,10
3230.172,422,61.73469,4352,6,2.519531,134.1875,178.2734,592.1484,10
3230.172,422,61.02564,4352,6,2.519531,134.19531,177.1523,593.2617,10
3230.188,422,60.20408,4352,6,2.519531,134.19531,176.0352,594.3789,10
3230.172,422,60.30928,4352,6,2.519531,134.19531,183.8125,586.6016,10
3230.188,422,64.10256,4352,5,2.519531,134.19531,182.5312,587.8828,10
3230.188,422,62.43523,4352,6,2.519531,134.19531,179.7266,590.6875,10
3230.172,422,63.79747,4352,8,2.519531,134.19531,176.5312,593.8828,10
3230.172,422,61.79487,4352,5,2.519531,134.19531,178.875,591.5391,10
3230.172,422,58.41837,4352,5,2.519531,134.19531,177.5742,592.8398,10
3230.188,422,65.02591,4352,5,2.527344,134.19531,179.3906,591.0156,10
3230.172,422,56.92308,4352,5,2.527344,134.19531,178.5742,591.832,10
3230.188,422,62.9156,4352,8,2.527344,134.19531,179.9023,590.5039,10
3230.172,422,55.75448,4352,7,2.527344,134.19531,178.0586,592.3477,10
3230.188,422,60.20408,4352,8,2.527344,134.19531,182.5273,587.8789,10
3230.172,420,59.03308,4352,6,2.527344,134.19531,180.2461,590.1602,10
3230.172,420,51.02564,4352,9,2.527344,134.19531,179.3711,591.0352,10
3230.188,420,54.98721,4352,4,2.527344,134.19531,176.6094,593.7969,10
3230.172,420,59.6401,4352,5,2.527344,134.19531,175.6836,594.7227,10
3230.172,420,66.92308,4352,7,2.527344,134.19531,179.7148,590.6914,10
3230.188,420,61.34021,4384,3,2.527344,134.19531,180.1289,590.2773,10
3230.172,420,65.73604,4384,5,2.527344,134.19531,177.5078,592.8984,10
3230.188,420,62.12121,4384,6,2.527344,134.19531,176.8789,593.5273,10
3230.172,420,61.59794,4384,4,2.527344,134.19531,176.6602,593.7461,10
3230.188,420,64.50777,4384,3,2.527344,134.19531,175.3789,595.0273,10
3230.188,420,71.57623,4384,8,2.527344,134.19531,173.5664,596.8398,10
3230.172,420,58.44156,4384,8,2.527344,134.19531,179.332,591.0742,10
3230.188,420,60.25641,4384,3,2.527344,134.19531,177.8008,592.6055,10
3230.172,420,64.59948,4384,5,2.527344,134.19531,175.9961,594.4102,10
3230.172,420,60.20672,4384,6,2.527344,134.19531,178.3203,592.0859,10
3230.172,420,62.59542,4384,5,2.527344,134.19531,175.6055,594.8008,10
3230.172,420,57.47423,4384,5,2.527344,134.19531,178.6328,591.7734,10
3230.188,420,62.30769,4384,9,2.527344,134.19531,181.5117,588.8945,10
3230.172,420,59.74359,4384,5,2.527344,134.19531,184.957,585.4492,10
3230.172,420,64.87179,4384,10,2.527344,134.19531,182.6758,587.7305,10
3230.172,420,55.89744,4384,8,2.527344,134.19531,180.0195,590.3867,10
3230.172,420,63.33333,4384,5,2.527344,134.19531,178.6836,591.7227,10
3230.172,420,66.49616,4384,6,2.527344,134.19531,176.3711,594.0352,10
3230.172,420,60.66838,4384,5,2.527344,134.19531,179.9023,590.5039,10
3230.172,420,66.66667,4384,6,2.527344,134.19531,182.7266,587.6797,10
3230.172,420,59.24051,4384,5,2.527344,134.19531,179.9375,590.4688,10
3230.172,420,59.79644,4384,10,2.527344,134.19531,181.2305,589.1758,10
3230.188,420,63.95939,4384,11,2.527344,134.19531,181.5039,588.9023,10
3230.188,420,61.0687,4384,9,2.527344,134.19531,180.1367,590.2695,10
3230.203,420,59.09091,4384,7,2.527344,134.19531,177.8008,592.6055,10
3230.203,420,58.64662,4384,7,2.527344,134.19531,178.9141,591.4922,10
