,0,1
0,1733311268,8
1,1733311269,7
2,1733311270,9
3,1733311271,8
4,1733311272,8
5,1733311273,12
6,1733311274,7
7,1733311275,3
8,1733311276,8
9,1733311277,5
10,1733311278,3
11,1733311279,10
12,1733311280,6
13,1733311281,9
14,1733311282,9
15,1733311283,6
16,1733311284,6
17,1733311285,5
18,1733311286,12
19,1733311287,3
20,1733311288,9
21,1733311289,4
22,1733311290,9
23,1733311291,7
24,1733311292,6
25,1733311293,9
26,1733311294,6
27,1733311295,4
28,1733311296,5
29,1733311297,9
30,1733311298,9
31,1733311299,5
32,1733311300,3
33,1733311301,6
34,1733311302,9
35,1733311303,4
36,1733311304,8
37,1733311305,4
38,1733311306,5
39,1733311307,7
40,1733311308,7
41,1733311309,5
42,1733311310,4
43,1733311311,4
44,1733311312,4
45,1733311313,6
46,1733311314,6
47,1733311315,6
48,1733311316,6
49,1733311317,5
50,1733311318,6
51,1733311319,8
52,1733311320,5
53,1733311321,5
54,1733311322,5
55,1733311323,5
56,1733311324,8
57,1733311325,7
58,1733311326,8
59,1733311327,6
60,1733311328,9
61,1733311329,4
62,1733311330,5
63,1733311331,7
64,1733311332,3
65,1733311333,5
66,1733311334,6
67,1733311335,4
68,1733311336,3
69,1733311337,8
70,1733311338,8
71,1733311339,3
72,1733311340,5
73,1733311341,6
74,1733311342,5
75,1733311343,5
76,1733311344,9
77,1733311345,5
78,1733311346,10
79,1733311347,8
80,1733311348,5
81,1733311349,6
82,1733311350,5
83,1733311351,6
84,1733311352,5
85,1733311353,10
86,1733311354,11
87,1733311355,9
88,1733311356,7
89,1733311357,7
90,1733311358,6
91,1733311359,5
92,1733311360,8
93,1733311361,4
94,1733311362,10
95,1733311363,5
96,1733311364,5
97,1733311365,11
98,1733311366,11
99,1733311367,4
100,1733311368,5
101,1733311369,5
102,1733311370,6
103,1733311371,5
104,1733311372,3
105,1733311373,6
106,1733311374,8
107,1733311375,6
108,1733311376,10
109,1733311377,5
110,1733311378,10
111,1733311379,4
112,1733311380,5
113,1733311381,9
114,1733311382,4
115,1733311383,8
116,1733311384,7
117,1733311385,8
118,1733311386,6
119,1733311387,6
120,1733311388,4
121,1733311389,7
122,1733311390,8
123,1733311391,14
124,1733311392,11
125,1733311393,4
126,1733311394,6
127,1733311395,5
128,1733311396,8
129,1733311397,6
130,1733311398,6
131,1733311399,6
132,1733311400,3
133,1733311401,7
134,1733311402,6
135,1733311403,6
136,1733311404,5
137,1733311405,5
138,1733311406,6
139,1733311407,4
140,1733311408,7
141,1733311409,8
142,1733311410,11
143,1733311411,11
144,1733311412,7
145,1733311413,4
146,1733311414,3
147,1733311415,5
148,1733311416,4
149,1733311417,6
150,1733311418,3
151,1733311419,7
152,1733311420,9
153,1733311421,5
154,1733311422,13
155,1733311423,7
156,1733311424,6
157,1733311425,6
158,1733311426,8
159,1733311427,7
160,1733311428,10
161,1733311429,11
162,1733311430,6
163,1733311431,11
164,1733311432,8
165,1733311433,3
166,1733311434,3
167,1733311435,5
168,1733311436,7
169,1733311437,7
170,1733311438,3
171,1733311439,4
172,1733311440,8
173,1733311441,5
174,1733311442,7
175,1733311443,8
176,1733311444,3
177,1733311445,5
178,1733311446,5
179,1733311447,10
180,1733311448,3
181,1733311449,5
182,1733311450,12
183,1733311451,7
184,1733311452,4
185,1733311453,8
186,1733311454,7
187,1733311455,9
188,1733311456,6
189,1733311457,5
190,1733311458,7
191,1733311459,7
192,1733311460,5
193,1733311461,6
194,1733311462,11
195,1733311463,3
196,1733311464,5
197,1733311465,10
198,1733311466,5
199,1733311467,10
200,1733311468,5
201,1733311469,7
202,1733311470,5
203,1733311471,8
204,1733311472,6
205,1733311473,5
206,1733311474,6
207,1733311475,4
208,1733311476,3
209,1733311477,9
210,1733311478,6
211,1733311479,4
212,1733311480,8
213,1733311481,5
214,1733311482,5
215,1733311483,6
216,1733311484,8
217,1733311485,8
218,1733311486,8
219,1733311487,6
220,1733311488,4
221,1733311489,12
222,1733311490,9
223,1733311491,8
224,1733311492,8
225,1733311493,7
226,1733311494,6
227,1733311495,9
228,1733311496,10
229,1733311497,8
230,1733311498,14
231,1733311499,5
232,1733311500,4
233,1733311501,6
234,1733311502,7
235,1733311503,9
236,1733311504,8
237,1733311505,6
238,1733311506,7
239,1733311507,7
240,1733311508,6
241,1733311509,6
242,1733311510,3
243,1733311511,4
244,1733311512,9
245,1733311513,6
246,1733311514,7
247,1733311515,8
248,1733311516,6
249,1733311517,5
250,1733311518,5
251,1733311519,4
252,1733311520,9
253,1733311521,6
