gesture_recognition_rpi_mem.committed_Committed_AS,gesture_recognition_rpi_system.active_processes_active,gesture_recognition_rpi_system.cpu_user,gesture_recognition_rpi_system.file_nr_used_used,gesture_recognition_rpi_system.processes_running,gesture_recognition_rpi_system.ram_buffers,gesture_recognition_rpi_system.ram_cached,gesture_recognition_rpi_system.ram_free,gesture_recognition_rpi_system.ram_used,Target
3275.023,431,66.75192,4544,10,9.800781,221.5273,163.96875,511.832,3
3275.023,431,65.97938,4544,9,9.800781,221.5273,162.84766,512.9531,3
3275.023,431,64.50777,4544,6,9.800781,221.5273,161.01562,514.7852,3
3275.023,431,69.11392,4544,10,9.800781,221.5273,160.19531,515.6055,3
3275.023,431,67.09512,4544,10,9.800781,221.5273,162.96484,512.8359,3
3275.023,431,68.65285,4544,8,9.800781,221.5273,160.17578,515.625,3
3275.023,431,68.36735,4544,13,9.800781,221.5273,159.30469,516.4961,3
3275.023,431,68.65285,4544,9,9.800781,221.5273,162.62109,513.1797,3
3275.023,431,67.09512,4544,11,9.800781,221.5273,161.52734,514.2734,3
3275.023,431,66.49746,4544,7,9.800781,221.5938,160.1875,515.5469,3
3275.039,431,70.0,4544,9,9.800781,221.5938,159.12109,516.6133,3
3275.023,431,68.11224,4544,5,9.800781,221.5938,158.19141,517.543,3
3275.023,431,67.68448,4544,10,9.808594,221.5938,164.14453,511.5898,3
3275.023,431,65.22843,4544,8,9.808594,221.5938,162.24609,513.4805,3
3275.023,431,65.81633,4544,10,9.808594,221.5938,161.23047,514.4961,3
3275.023,431,62.65985,4544,6,9.808594,221.5938,160.54688,515.1797,3
3275.023,431,62.84289,4544,8,9.808594,221.5938,160.54688,515.1797,3
3275.023,431,63.06533,4544,7,9.808594,221.5938,164.41406,511.3125,3
3275.023,431,64.66165,4544,7,9.816406,221.5938,162.28516,513.4414,3
3275.023,431,65.83541,4544,9,9.816406,221.5859,161.12109,514.6055,3
3275.023,431,63.56784,4544,8,9.816406,221.5938,158.76953,516.9492,3
3275.023,431,58.83838,4544,10,9.816406,221.5938,157.65625,518.0625,3
3275.023,431,57.53086,4544,7,9.816406,221.5938,160.76562,514.9531,3
3275.023,431,58.54271,4544,9,9.816406,221.5938,163.01172,512.707,3
3275.023,431,51.85185,4544,9,9.816406,221.5938,161.8125,513.9062,3
3275.023,431,63.06533,4544,8,9.816406,221.5938,160.91406,514.8047,3
3275.023,431,66.75325,4544,6,9.816406,221.5938,160.33984,515.3789,3
3275.023,432,66.66667,4544,17,9.816406,221.5938,160.85938,514.8594,3
3275.039,432,68.73385,4544,16,9.816406,221.5938,158.60156,517.1172,3
3275.023,432,66.83544,4544,4,9.816406,221.5938,160.80859,514.9102,3
3275.023,432,66.92506,4544,10,9.816406,221.5938,161.41016,514.3086,3
3275.023,432,66.66667,4512,6,9.816406,221.5938,159.44531,516.2734,3
3275.023,432,66.58098,4512,5,9.816406,221.5938,164.10938,511.6094,3
3275.023,432,66.07143,4512,9,9.816406,221.5938,162.05078,513.668,3
3275.023,432,68.87755,4544,10,9.816406,221.6914,165.99609,509.625,3
3275.023,432,66.66667,4544,9,9.816406,221.7109,163.52344,512.0781,3
3275.023,432,66.66667,4544,14,9.816406,221.7109,165.79688,509.8047,3
3275.023,432,65.90331,4544,9,9.816406,221.7109,163.44531,512.1562,3
3275.023,432,67.77494,4544,13,9.816406,221.7109,161.17578,514.4258,3
3275.023,432,66.75127,4544,9,9.835938,221.7109,159.09766,516.5039,3
3275.023,432,68.28645,4544,15,9.835938,221.7109,158.22266,517.3594,3
3275.023,432,68.0203,4544,10,9.835938,221.7109,161.25781,514.3242,3
3275.023,432,69.13265,4544,14,9.835938,221.7109,164.78125,510.8008,3
3275.023,432,61.22449,4544,11,9.835938,221.7109,161.96484,513.6172,3
3275.023,432,66.06684,4544,7,9.835938,221.7109,160.87109,514.7109,3
3275.023,432,67.67677,4544,11,9.835938,221.7109,160.43359,515.1484,3
3275.023,432,66.07143,4544,9,9.835938,221.7227,159.53516,516.0352,3
3275.023,432,63.61323,4544,10,9.835938,221.7227,159.31641,516.2539,3
3275.023,432,65.20619,4544,10,9.835938,221.7227,162.40234,513.168,3
3275.023,431,67.34694,4544,15,9.835938,221.7227,159.91406,515.6562,3
3275.023,431,64.61538,4544,9,9.835938,221.7227,158.98438,516.5859,3
3275.023,431,65.81633,4544,10,9.835938,221.7227,161.46875,514.1016,3
3239.438,430,64.0,4448,11,9.84375,221.7227,160.08984,515.4805,3
3239.438,430,67.60204,4448,9,9.84375,223.293,175.0898,498.9023,3
3239.438,431,68.10127,4448,12,9.84375,223.2891,172.5898,501.4062,3
3239.453,431,69.13265,4448,12,9.84375,223.2891,171.0,502.9961,3
3239.438,431,64.8855,4448,8,9.84375,223.2891,169.168,504.8281,3
3239.438,431,65.3944,4448,11,9.84375,223.2891,172.6484,501.3477,3
3239.438,431,66.33166,4448,5,9.851562,223.8125,171.0625,502.4102,3
3239.438,431,65.15152,4448,17,9.851562,223.8555,169.9688,503.4531,3
3239.438,431,66.0804,4448,13,9.851562,223.8555,168.8164,504.6055,3
3239.438,431,65.16291,4448,11,9.851562,223.8555,172.0859,501.3359,3
3239.438,431,60.39604,4448,8,9.851562,223.8555,169.7617,503.6602,3
3239.438,431,58.85287,4448,13,9.851562,223.8555,168.1211,505.3008,3
3239.438,431,58.16832,4448,12,9.851562,223.8555,165.79688,507.625,3
3239.438,430,53.75,4448,11,9.851562,223.8555,169.7188,503.7031,3
3239.438,430,63.86768,4448,9,9.851562,223.8555,178.5078,494.9141,3
3239.438,430,65.7289,4448,10,9.851562,223.8555,176.4297,496.9922,3
3239.438,430,65.47315,4480,9,9.851562,223.8555,174.3398,499.082,3
