,0,1
0,1733221609,10
1,1733221610,9
2,1733221611,6
3,1733221612,10
4,1733221613,10
5,1733221614,8
6,1733221615,13
7,1733221616,9
8,1733221617,11
9,1733221618,7
10,1733221619,9
11,1733221620,5
12,1733221621,10
13,1733221622,8
14,1733221623,10
15,1733221624,6
16,1733221625,8
17,1733221626,7
18,1733221627,7
19,1733221628,9
20,1733221629,8
21,1733221630,10
22,1733221631,7
23,1733221632,9
24,1733221633,9
25,1733221634,8
26,1733221635,6
27,1733221636,17
28,1733221637,16
29,1733221638,4
30,1733221639,10
31,1733221640,6
32,1733221641,5
33,1733221642,9
34,1733221643,10
35,1733221644,9
36,1733221645,14
37,1733221646,9
38,1733221647,13
39,1733221648,9
40,1733221649,15
41,1733221650,10
42,1733221651,14
43,1733221652,11
44,1733221653,7
45,1733221654,11
46,1733221655,9
47,1733221656,10
48,1733221657,10
49,1733221658,15
50,1733221659,9
51,1733221660,10
52,1733221661,11
53,1733221662,9
54,1733221663,12
55,1733221664,12
56,1733221665,8
57,1733221666,11
58,1733221667,5
59,1733221668,17
60,1733221669,13
61,1733221670,11
62,1733221671,8
63,1733221672,13
64,1733221673,12
65,1733221674,11
66,1733221675,9
67,1733221676,10
68,1733221677,9
69,1733221678,8
70,1733221679,9
71,1733221680,6
72,1733221681,5
73,1733221682,6
74,1733221683,7
75,1733221684,5
76,1733221685,4
77,1733221686,10
78,1733221687,4
79,1733221688,6
80,1733221689,6
81,1733221690,6
82,1733221691,5
83,1733221692,3
84,1733221693,10
85,1733221694,11
86,1733221695,10
87,1733221696,12
88,1733221697,9
89,1733221698,19
90,1733221699,5
91,1733221700,9
92,1733221701,12
93,1733221702,8
94,1733221703,9
95,1733221704,4
96,1733221705,4
97,1733221706,8
98,1733221707,12
99,1733221708,10
100,1733221709,5
101,1733221710,8
102,1733221711,7
103,1733221712,4
104,1733221713,8
105,1733221714,10
106,1733221715,12
107,1733221716,6
108,1733221717,6
109,1733221718,8
110,1733221719,10
111,1733221720,6
112,1733221721,9
113,1733221722,13
114,1733221723,8
115,1733221724,9
116,1733221725,4
117,1733221726,11
118,1733221727,5
119,1733221728,10
120,1733221729,12
121,1733221730,11
122,1733221731,5
123,1733221732,12
124,1733221733,9
125,1733221734,5
126,1733221735,5
127,1733221736,13
128,1733221737,5
129,1733221738,13
130,1733221739,10
131,1733221740,12
132,1733221741,6
133,1733221742,5
134,1733221743,11
135,1733221744,10
136,1733221745,10
137,1733221746,7
138,1733221747,5
139,1733221748,7
140,1733221749,12
141,1733221750,8
142,1733221751,14
143,1733221752,11
144,1733221753,15
145,1733221754,13
146,1733221755,10
147,1733221756,13
148,1733221757,15
149,1733221758,14
150,1733221759,9
151,1733221760,5
152,1733221761,11
153,1733221762,14
154,1733221763,9
155,1733221764,15
156,1733221765,12
157,1733221766,8
158,1733221767,12
159,1733221768,13
160,1733221769,14
161,1733221770,13
162,1733221771,7
163,1733221772,10
164,1733221773,11
165,1733221774,9
166,1733221775,8
167,1733221776,9
168,1733221777,8
169,1733221778,11
170,1733221779,9
171,1733221780,13
172,1733221781,10
173,1733221782,8
174,1733221783,9
175,1733221784,13
176,1733221785,15
177,1733221786,6
178,1733221787,10
179,1733221788,8
180,1733221789,9
181,1733221790,11
182,1733221791,9
183,1733221792,6
184,1733221793,15
185,1733221794,14
186,1733221795,12
187,1733221796,10
188,1733221797,11
189,1733221798,11
190,1733221799,13
191,1733221800,6
192,1733221801,10
193,1733221802,17
194,1733221803,18
195,1733221804,13
196,1733221805,9
197,1733221806,15
198,1733221807,10
199,1733221808,10
200,1733221809,7
201,1733221810,12
202,1733221811,8
203,1733221812,5
204,1733221813,6
205,1733221814,6
206,1733221815,11
207,1733221816,14
208,1733221817,10
209,1733221818,12
210,1733221819,5
211,1733221820,7
212,1733221821,12
213,1733221822,5
214,1733221823,5
215,1733221824,15
216,1733221825,15
217,1733221826,9
218,1733221827,4
219,1733221828,7
220,1733221829,11
221,1733221830,5
222,1733221831,15
223,1733221832,5
224,1733221833,14
225,1733221834,10
226,1733221835,3
227,1733221836,5
228,1733221837,11
229,1733221838,3
230,1733221839,11
231,1733221840,12
232,1733221841,8
233,1733221842,9
234,1733221843,14
235,1733221844,10
236,1733221845,17
237,1733221846,10
238,1733221847,10
239,1733221848,11
240,1733221849,8
241,1733221850,5
242,1733221851,15
243,1733221852,10
244,1733221853,4
245,1733221854,6
246,1733221855,8
247,1733221856,9
248,1733221857,15
249,1733221858,17
250,1733221859,5
251,1733221860,10
252,1733221861,8
253,1733221862,9
254,1733221863,8
255,1733221864,12
256,1733221865,10
257,1733221866,11
258,1733221867,11
259,1733221868,14
260,1733221869,6
261,1733221870,14
262,1733221871,7
263,1733221872,14
264,1733221873,19
265,1733221874,6
266,1733221875,12
267,1733221876,4
268,1733221877,7
269,1733221878,10
270,1733221879,10
271,1733221880,8
272,1733221881,7
273,1733221882,5
274,1733221883,12
275,1733221884,5
276,1733221885,9
277,1733221886,7
278,1733221887,14
279,1733221888,8
280,1733221889,10
281,1733221890,11
282,1733221891,17
283,1733221892,13
284,1733221893,17
285,1733221894,17
286,1733221895,11
287,1733221896,12
288,1733221897,10
289,1733221898,10
290,1733221899,10
291,1733221900,8
292,1733221901,9
293,1733221902,14
294,1733221903,11
295,1733221904,12
296,1733221905,12
297,1733221906,9
298,1733221907,10
299,1733221908,14
300,1733221909,20
301,1733221910,6
302,1733221911,12
303,1733221912,12
304,1733221913,7
305,1733221914,10
306,1733221915,18
307,1733221916,11
308,1733221917,9
309,1733221918,9
310,1733221919,14
311,1733221920,12
312,1733221921,13
313,1733221922,4
314,1733221923,9
315,1733221924,13
316,1733221925,11
317,1733221926,16
318,1733221927,16
319,1733221928,12
320,1733221929,9
321,1733221930,8
322,1733221931,8
323,1733221932,13
324,1733221933,11
325,1733221934,7
326,1733221935,13
327,1733221936,6
328,1733221937,9
329,1733221938,12
330,1733221939,12
331,1733221940,9
332,1733221941,13
333,1733221942,11
334,1733221943,5
335,1733221944,6
336,1733221945,9
337,1733221946,10
338,1733221947,3
339,1733221948,13
340,1733221949,4
341,1733221950,3
342,1733221951,4
343,1733221952,13
344,1733221953,4
345,1733221954,10
346,1733221955,5
347,1733221956,5
348,1733221957,4
349,1733221958,5
350,1733221959,10
351,1733221960,12
352,1733221961,8
353,1733221962,5
354,1733221963,12
355,1733221964,3
356,1733221965,10
357,1733221966,9
358,1733221967,5
359,1733221968,11
360,1733221969,7
361,1733221970,5
362,1733221971,5
363,1733221972,5
364,1733221973,10
365,1733221974,11
366,1733221975,4
367,1733221976,7
368,1733221977,4
369,1733221978,10
370,1733221979,11
371,1733221980,10
372,1733221981,14
373,1733221982,11
374,1733221983,12
375,1733221984,8
376,1733221985,10
377,1733221986,11
378,1733221987,10
379,1733221988,8
380,1733221989,12
381,1733221990,12
382,1733221991,14
383,1733221992,12
384,1733221993,9
385,1733221994,8
386,1733221995,11
387,1733221996,13
388,1733221997,8
389,1733221998,10
390,1733221999,5
391,1733222000,8
392,1733222001,8
393,1733222002,14
394,1733222003,5
395,1733222004,9
396,1733222005,9
397,1733222006,12
398,1733222007,5
399,1733222008,9
400,1733222009,10
401,1733222010,9
402,1733222011,8
403,1733222012,12
404,1733222013,11
405,1733222014,10
406,1733222015,10
407,1733222016,12
408,1733222017,11
409,1733222018,8
410,1733222019,9
411,1733222020,14
412,1733222021,13
413,1733222022,7
414,1733222023,10
415,1733222024,7
416,1733222025,16
417,1733222026,15
418,1733222027,13
419,1733222028,9
420,1733222029,9
421,1733222030,11
422,1733222031,11
423,1733222032,9
424,1733222033,14
425,1733222034,8
426,1733222035,10
427,1733222036,7
428,1733222037,12
429,1733222038,7
430,1733222039,12
431,1733222040,9
432,1733222041,12
433,1733222042,10
434,1733222043,14
435,1733222044,12
436,1733222045,8
437,1733222046,8
438,1733222047,12
439,1733222048,13
440,1733222049,10
441,1733222050,14
442,1733222051,12
443,1733222052,8
444,1733222053,11
445,1733222054,10
446,1733222055,8
447,1733222056,6
448,1733222057,12
449,1733222058,12
450,1733222059,9
451,1733222060,13
452,1733222061,8
453,1733222062,9
454,1733222063,8
455,1733222064,11
456,1733222065,12
457,1733222066,10
458,1733222067,15
459,1733222068,7
460,1733222069,9
461,1733222070,10
462,1733222071,16
463,1733222072,9
464,1733222073,12
465,1733222074,12
466,1733222075,9
467,1733222076,6
468,1733222077,4
469,1733222078,9
470,1733222079,13
471,1733222080,4
472,1733222081,6
473,1733222082,8
474,1733222083,6
475,1733222084,9
476,1733222085,9
477,1733222086,8
478,1733222087,5
479,1733222088,10
480,1733222089,10
481,1733222090,5
482,1733222091,7
483,1733222092,8
484,1733222093,10
485,1733222094,5
486,1733222095,4
487,1733222096,11
488,1733222097,11
489,1733222098,11
490,1733222099,6
491,1733222100,5
492,1733222101,6
493,1733222102,14
494,1733222103,11
495,1733222104,13
496,1733222105,11
497,1733222106,14
498,1733222107,14
499,1733222108,6
500,1733222109,12
501,1733222110,9
502,1733222111,6
503,1733222112,8
504,1733222113,7
505,1733222114,9
506,1733222115,6
507,1733222116,7
508,1733222117,11
509,1733222118,8
510,1733222119,5
511,1733222120,8
512,1733222121,14
513,1733222122,5
514,1733222123,15
515,1733222124,6
516,1733222125,12
517,1733222126,11
518,1733222127,10
519,1733222128,6
520,1733222129,9
521,1733222130,6
522,1733222131,12
523,1733222132,19
524,1733222133,6
525,1733222134,6
526,1733222135,14
527,1733222136,8
528,1733222137,8
529,1733222138,9
530,1733222139,15
531,1733222140,7
532,1733222141,7
533,1733222142,9
534,1733222143,10
535,1733222144,9
536,1733222145,11
537,1733222146,8
538,1733222147,11
539,1733222148,10
540,1733222149,10
541,1733222150,13
542,1733222151,10
543,1733222152,13
544,1733222153,7
545,1733222154,8
546,1733222155,16
547,1733222156,13
548,1733222157,8
549,1733222158,11
550,1733222159,10
551,1733222160,8
552,1733222161,5
553,1733222162,14
554,1733222163,12
555,1733222164,12
556,1733222165,8
557,1733222166,7
558,1733222167,14
559,1733222168,5
560,1733222169,6
561,1733222170,9
562,1733222171,13
563,1733222172,10
564,1733222173,13
565,1733222174,8
566,1733222175,7
567,1733222176,13
568,1733222177,9
569,1733222178,14
570,1733222179,6
571,1733222180,8
572,1733222181,13
573,1733222182,9
574,1733222183,13
575,1733222184,16
576,1733222185,12
577,1733222186,7
578,1733222187,9
579,1733222188,8
580,1733222189,8
581,1733222190,14
582,1733222191,10
583,1733222192,5
584,1733222193,8
585,1733222194,8
586,1733222195,14
587,1733222196,10
588,1733222197,8
589,1733222198,8
590,1733222199,6
591,1733222200,10
592,1733222201,6
593,1733222202,13
594,1733222203,10
595,1733222204,12
596,1733222205,10
597,1733222206,5
598,1733222207,13
599,1733222208,11
600,1733222209,12
601,1733222210,12
602,1733222211,8
603,1733222212,9
