hand_landmarking_rpi_mem.committed_Committed_AS,hand_landmarking_rpi_system.active_processes_active,hand_landmarking_rpi_system.cpu_user,hand_landmarking_rpi_system.file_nr_used_used,hand_landmarking_rpi_system.processes_running,hand_landmarking_rpi_system.ram_buffers,hand_landmarking_rpi_system.ram_cached,hand_landmarking_rpi_system.ram_free,hand_landmarking_rpi_system.ram_used,Target
3204.277,423,71.50127,4384,11,1.1601562,103.37891,295.5078,507.082,3
3204.262,423,71.3198,4384,10,1.1601562,103.39453,292.1875,510.3867,3
3204.262,423,72.75064,4384,9,1.1601562,103.39453,296.375,506.1992,3
3204.262,423,71.75573,4352,10,1.1601562,103.39453,298.7812,503.793,3
3204.262,423,71.86701,4352,14,1.1601562,103.39453,299.5625,503.0117,3
3204.262,423,75.44304,4352,10,1.1601562,103.39453,297.2539,505.3203,3
3204.262,423,73.85787,4352,10,1.1601562,103.4375,301.4102,501.1211,3
3204.262,423,73.60406,4352,12,1.1601562,103.4375,296.2305,506.3008,3
3204.262,423,71.9697,4352,10,1.1601562,103.45312,296.9219,505.5938,3
3204.262,423,74.93671,4352,14,1.1601562,103.45312,297.5273,504.9883,3
3204.262,423,69.64286,4352,10,1.1601562,103.47266,292.4023,510.0938,3
3204.262,423,70.78086,4352,10,1.1601562,103.47266,294.9766,507.5195,3
3204.262,423,68.43434,4352,9,1.1679688,103.47266,291.5039,510.9922,3
3204.262,423,72.63427,4352,16,1.1679688,103.47266,292.9219,509.5664,3
3204.262,423,74.43038,4352,15,1.1679688,103.47266,298.5352,503.9531,3
3204.277,423,71.89873,4352,14,1.1679688,103.48828,292.7109,509.7617,3
3208.602,425,72.9798,4384,13,1.1679688,103.50781,288.5859,513.8672,3
3204.262,423,72.91139,4352,13,1.1679688,106.82812,287.0977,512.0352,3
3204.262,423,71.21212,4352,11,1.1679688,108.08594,290.082,507.793,3
3204.262,423,70.99237,4352,11,1.1679688,108.08594,285.543,512.332,3
3204.262,423,72.27979,4352,10,1.1757812,108.08594,286.0586,511.8164,3
3204.262,423,71.60804,4352,13,1.1757812,108.08594,296.6719,501.1953,3
3204.262,423,70.30457,4352,14,1.1757812,108.08594,291.1406,506.7266,3
3204.262,423,69.07731,4352,17,1.1757812,108.08594,291.6836,506.1836,3
3204.262,423,68.32918,4352,9,1.1757812,108.08594,292.1172,505.75,3
3204.262,423,66.91729,4352,10,1.1757812,108.10156,294.1367,503.7148,3
3204.262,423,63.93035,4352,7,1.1757812,108.10938,289.3828,508.4609,3
3204.262,423,60.50633,4352,11,1.1757812,108.10938,289.4844,508.3594,3
3204.262,423,65.91479,4352,12,1.1757812,108.10938,286.2617,511.582,3
3204.262,423,74.0458,4352,11,1.1757812,108.10938,292.0469,505.7969,3
3204.262,423,72.42268,4352,12,1.1757812,108.1875,285.1328,512.6328,3
3204.262,423,72.12276,4352,9,1.1757812,108.20312,294.6367,503.1133,3
3204.262,423,70.40816,4352,10,1.1757812,108.20312,288.8164,508.9336,3
3204.262,423,73.65729,4352,10,1.1757812,108.20312,290.0859,507.6641,3
3204.262,423,73.92405,4352,12,1.1757812,108.20312,289.8711,507.8789,3
3204.262,423,70.30457,4352,9,1.1757812,108.20312,289.7031,508.0469,3
3204.262,423,74.61538,4352,14,1.1757812,108.20312,287.5938,510.1562,3
3204.262,423,71.42857,4352,10,1.1757812,108.20312,281.6172,516.1328,3
3204.262,423,74.1206,4352,12,1.1757812,108.20312,286.1953,511.5547,3
3204.262,423,76.0101,4352,11,1.1757812,108.20312,288.9727,508.7773,3
3204.262,423,75.68922,4384,13,1.1757812,108.20312,288.0742,509.6758,3
3204.262,423,72.22222,4384,7,1.1757812,108.20312,293.1406,504.6094,3
3204.262,423,72.70408,4384,12,1.1757812,108.20312,287.5117,510.2383,3
3204.262,423,72.89003,4384,8,1.1757812,108.20312,294.0664,503.6836,3
3204.262,423,73.67089,4384,12,1.1757812,108.20312,288.6602,509.0898,3
3204.262,423,68.11224,4352,7,1.1757812,108.25391,294.8477,502.8516,3
3204.262,423,73.41772,4352,13,1.1757812,108.17188,291.0742,506.707,3
3204.262,423,72.33503,4352,9,1.1757812,108.17188,290.8242,506.957,3
3204.262,423,70.15306,4352,13,1.1757812,108.17188,288.6641,509.1172,3
3204.262,423,73.40153,4352,8,1.1757812,108.15625,295.5039,502.293,3
3204.262,423,69.36709,4352,13,1.1835938,108.15625,294.7773,503.0195,3
3204.262,423,74.81108,4352,11,1.1835938,108.15625,290.0,507.7891,3
3204.262,423,72.79597,4352,12,1.1835938,108.15625,289.4531,508.3359,3
3204.262,423,69.01763,4352,9,1.1835938,108.15625,286.0078,511.7812,3
3204.262,423,70.20202,4352,9,1.1835938,108.15625,290.4453,507.3438,3
3204.262,423,66.49874,4352,10,1.1835938,108.15625,290.5977,507.1914,3
3204.262,423,65.32663,4352,13,1.1835938,108.15625,290.5469,507.2422,3
3204.262,423,58.70647,4352,11,1.1835938,108.15625,296.8594,500.9297,3
3204.262,423,64.2132,4352,8,1.1835938,108.15625,293.5117,504.2773,3
3204.262,423,75.6962,4352,10,1.1835938,108.15625,289.4414,508.3477,3
3204.277,423,71.89873,4352,15,1.1835938,108.15625,297.0195,500.7695,3
3204.262,423,72.72727,4352,11,1.1835938,108.15625,290.8164,506.9727,3
3204.262,423,74.0458,4352,9,1.1835938,108.15625,292.8281,504.9609,3
3204.262,423,70.48346,4352,10,1.1835938,108.15625,294.0234,503.7656,3
3204.262,423,72.26463,4352,17,1.1835938,108.15625,292.5234,505.2656,3
3204.262,423,75.6962,4352,11,1.1835938,108.15625,295.7422,502.0469,3
3204.262,423,72.29219,4352,15,1.1835938,108.15625,294.0703,503.7188,3
3204.262,423,72.22222,4352,13,1.1875,108.15625,292.5352,505.2539,3
3204.277,423,71.4653,4352,9,1.1875,108.15625,298.3516,499.4336,3
3204.262,422,72.65823,4352,7,1.1875,108.15625,291.9844,505.8008,3
3204.262,422,71.61125,4352,9,1.1875,108.15625,289.5625,508.2227,3
3204.262,422,73.79135,4352,8,1.1875,108.15625,297.7266,500.0586,3
3204.262,422,73.21429,4352,14,1.1875,108.15625,294.125,503.6602,3
3204.262,422,71.86701,4352,12,1.1875,108.15625,303.3789,494.4062,3
3204.262,422,72.54408,4352,10,1.1875,108.15625,297.4062,500.3789,3
3204.262,422,73.80353,4352,17,1.1875,108.15625,291.4141,506.3711,3
3204.262,422,72.5641,4352,10,1.1875,108.15625,297.3594,500.4258,3
3204.262,422,70.40816,4352,8,1.1875,108.21484,300.4844,497.2422,3
3204.262,422,69.54315,4352,11,1.1875,108.21484,296.1484,501.5781,3
3204.262,422,71.3555,4352,10,1.1875,108.21484,292.0742,505.6523,3
3204.262,422,74.17722,4352,13,1.1875,108.19922,295.3984,502.3438,3
3204.262,422,69.79695,4352,13,1.1875,108.19922,294.1914,503.5508,3
3204.262,422,69.32668,4352,8,1.1875,108.19922,299.8984,497.8438,3
3204.262,422,69.38776,4352,9,1.1875,108.19922,299.0703,498.6719,3
3204.262,422,68.84422,4352,13,1.1875,108.19922,295.625,502.1172,3
3204.262,422,71.5,4352,17,1.1875,108.19922,295.0352,502.707,3
3204.262,422,67.08543,4352,8,1.1875,108.19922,295.375,502.3672,3
3204.262,422,60.85859,4352,8,1.1875,108.15234,294.8555,502.9336,3
3204.262,422,59.85037,4352,14,1.1875,108.15234,298.5234,499.2656,3
3204.262,422,69.30946,4352,10,1.1875,108.15234,295.707,502.082,3
3204.262,422,72.72727,4384,7,1.1953125,108.15234,298.9531,498.8359,3
3204.262,422,71.3198,4384,10,1.1953125,108.14453,300.2422,497.5469,3
3204.262,422,73.35025,4384,13,1.1953125,108.15234,300.4258,497.3555,3
3204.277,422,71.17347,4384,14,1.1953125,108.15234,295.8438,501.9375,3
3204.262,422,76.63317,4384,15,1.1953125,108.15234,294.6445,503.1367,3
3204.262,422,72.44898,4320,7,1.1953125,108.15234,295.1602,502.6211,3
3204.262,422,73.28244,4320,12,1.1953125,108.15234,296.2969,501.4844,3
3204.262,422,73.72449,4320,9,1.1953125,108.15234,297.9141,499.8672,3
3204.262,422,75.81864,4320,13,1.1953125,108.15234,299.1914,498.5898,3
3204.262,422,71.24682,4320,11,1.1953125,108.15234,295.8555,501.9258,3
3204.262,422,71.4653,4320,9,1.1953125,108.15234,302.6211,495.1602,3
3204.262,422,69.36709,4320,11,1.1953125,108.15234,296.5352,501.2461,3
3204.262,422,69.56522,4320,10,1.1953125,108.15234,308.8398,488.9414,3
3204.262,422,74.43038,4320,8,1.1953125,108.15234,300.6094,497.1719,3
3204.262,422,70.52897,4320,18,1.1953125,108.15234,299.6406,498.1406,3
3204.262,422,71.24682,4320,11,1.1953125,108.16797,298.3398,499.4258,3
3204.262,422,71.02564,4320,14,1.1953125,108.16797,297.7188,500.0469,3
3204.262,422,71.89873,4320,9,1.1953125,108.16797,298.4102,499.3555,3
3204.262,422,72.0403,4320,10,1.1953125,108.16797,298.6719,499.0938,3
3204.262,422,71.46465,4320,9,1.1953125,108.16797,295.5547,502.2109,3
3204.262,422,69.94949,4320,11,1.1953125,108.16797,295.1758,502.5898,3
3204.262,422,72.5,4320,13,1.1953125,108.16797,299.2305,498.5352,3
3204.262,422,72.08122,4320,14,1.1953125,108.16797,298.9023,498.8633,3
3204.262,422,70.32419,4320,10,1.1953125,108.16797,298.1445,499.6211,3
3204.262,422,70.02519,4320,11,1.1953125,108.16797,298.6953,499.0703,3
3204.262,422,71.8593,4320,14,1.1953125,108.16797,298.3516,499.4141,3
3204.262,422,65.25,4320,16,1.203125,108.16797,296.5938,501.1719,3
3204.262,422,59.94962,4320,16,1.203125,108.16797,303.7969,493.9609,3
3204.262,422,63.47607,4320,11,1.203125,108.16797,298.457,499.3008,3
3204.262,422,62.82051,4320,13,1.203125,108.16797,300.6562,497.1016,3
3204.262,422,70.84399,4320,7,1.203125,108.16797,295.3867,502.3711,3
3204.262,422,70.40816,4320,12,1.203125,108.16797,299.7578,498.0,3
3204.262,422,72.65823,4320,11,1.203125,108.16797,299.7734,497.9844,3
3204.262,422,74.2268,4352,8,1.203125,108.18359,293.7148,504.0273,3
3204.262,422,71.42857,4352,13,1.203125,108.18359,295.2734,502.4688,3
3204.262,422,70.22901,4352,10,1.203125,108.18359,297.1875,500.5547,3
3204.262,422,70.22901,4352,15,1.203125,108.18359,293.3047,504.4375,3
3204.262,422,73.45361,4352,9,1.203125,108.18359,294.4961,503.2461,3
3204.262,422,73.18296,4352,11,1.203125,108.18359,295.3047,502.4375,3
3204.262,422,72.12276,4352,13,1.203125,108.18359,299.7852,497.957,3
3204.262,422,70.37975,4352,16,1.203125,108.19922,294.8203,502.9062,3
