,0,1
0,1733145491,11
1,1733145492,10
2,1733145493,9
3,1733145494,10
4,1733145495,14
5,1733145496,10
6,1733145497,10
7,1733145498,12
8,1733145499,10
9,1733145500,14
10,1733145501,10
11,1733145502,10
12,1733145503,9
13,1733145504,16
14,1733145505,15
15,1733145506,14
16,1733145507,13
17,1733145508,13
18,1733145509,11
19,1733145510,11
20,1733145511,10
21,1733145512,13
22,1733145513,14
23,1733145514,17
24,1733145515,9
25,1733145516,10
26,1733145517,7
27,1733145518,11
28,1733145519,12
29,1733145520,11
30,1733145521,12
31,1733145522,9
32,1733145523,10
33,1733145524,10
34,1733145525,12
35,1733145526,9
36,1733145527,14
37,1733145528,10
38,1733145529,12
39,1733145530,11
40,1733145531,13
41,1733145532,7
42,1733145533,12
43,1733145534,8
44,1733145535,12
45,1733145536,7
46,1733145537,13
47,1733145538,9
48,1733145539,13
49,1733145540,8
50,1733145541,13
51,1733145542,11
52,1733145543,12
53,1733145544,9
54,1733145545,9
55,1733145546,10
56,1733145547,13
57,1733145548,11
58,1733145549,8
59,1733145550,10
60,1733145551,15
61,1733145552,11
62,1733145553,9
63,1733145554,10
64,1733145555,17
65,1733145556,11
66,1733145557,15
67,1733145558,13
68,1733145559,9
69,1733145560,7
70,1733145561,9
71,1733145562,8
72,1733145563,14
73,1733145564,12
74,1733145565,10
75,1733145566,17
76,1733145567,10
77,1733145568,8
78,1733145569,11
79,1733145570,10
80,1733145571,13
81,1733145572,13
82,1733145573,8
83,1733145574,9
84,1733145575,13
85,1733145576,17
86,1733145577,8
87,1733145578,8
88,1733145579,14
89,1733145580,10
90,1733145581,7
91,1733145582,10
92,1733145583,13
93,1733145584,14
94,1733145585,15
95,1733145586,7
96,1733145587,12
97,1733145588,9
98,1733145589,13
99,1733145590,11
100,1733145591,9
101,1733145592,11
102,1733145593,10
103,1733145594,8
104,1733145595,18
105,1733145596,11
106,1733145597,14
107,1733145598,9
108,1733145599,10
109,1733145600,9
110,1733145601,11
111,1733145602,13
112,1733145603,14
113,1733145604,10
114,1733145605,11
115,1733145606,14
116,1733145607,16
117,1733145608,16
118,1733145609,11
119,1733145610,13
120,1733145611,7
121,1733145612,12
122,1733145613,11
123,1733145614,8
124,1733145615,13
125,1733145616,10
126,1733145617,15
127,1733145618,9
128,1733145619,11
129,1733145620,13
130,1733145621,16
131,1733145622,7
132,1733145623,14
133,1733145624,8
134,1733145625,7
135,1733145626,8
136,1733145627,12
137,1733145628,10
138,1733145629,12
139,1733145630,11
140,1733145631,8
141,1733145632,10
142,1733145633,8
143,1733145634,14
144,1733145635,9
145,1733145636,11
146,1733145637,13
147,1733145638,11
148,1733145639,9
149,1733145640,10
150,1733145641,10
151,1733145642,10
152,1733145643,11
153,1733145644,9
154,1733145645,15
155,1733145646,9
156,1733145647,9
157,1733145648,12
158,1733145649,14
159,1733145650,12
160,1733145651,9
161,1733145652,11
162,1733145653,15
163,1733145654,11
164,1733145655,12
165,1733145656,13
166,1733145657,14
167,1733145658,11
168,1733145659,11
169,1733145660,6
170,1733145661,14
171,1733145662,14
172,1733145663,10
173,1733145664,14
174,1733145665,20
175,1733145666,9
176,1733145667,10
177,1733145668,10
178,1733145669,15
179,1733145670,9
180,1733145671,7
181,1733145672,11
182,1733145673,10
183,1733145674,9
184,1733145675,8
185,1733145676,12
186,1733145677,12
187,1733145678,13
188,1733145679,15
189,1733145680,16
190,1733145681,17
191,1733145682,12
192,1733145683,7
193,1733145684,10
194,1733145685,9
195,1733145686,8
196,1733145687,10
197,1733145688,13
198,1733145689,13
199,1733145690,9
200,1733145691,15
201,1733145692,8
202,1733145693,9
203,1733145694,15
204,1733145695,9
205,1733145696,13
206,1733145697,13
207,1733145698,14
208,1733145699,9
209,1733145700,10
210,1733145701,12
211,1733145702,12
212,1733145703,14
213,1733145704,12
214,1733145705,12
215,1733145706,10
216,1733145707,7
217,1733145708,5
218,1733145709,13
219,1733145710,13
220,1733145711,14
221,1733145712,20
222,1733145713,10
223,1733145714,13
224,1733145715,8
225,1733145716,12
226,1733145717,7
227,1733145718,16
228,1733145719,12
229,1733145720,17
230,1733145721,10
231,1733145722,11
232,1733145723,10
233,1733145724,8
234,1733145725,14
235,1733145726,9
236,1733145727,9
237,1733145728,15
238,1733145729,10
239,1733145730,10
240,1733145731,16
241,1733145732,12
242,1733145733,12
243,1733145734,12
244,1733145735,13
245,1733145736,11
246,1733145737,7
247,1733145738,9
248,1733145739,13
249,1733145740,11
250,1733145741,12
251,1733145742,8
252,1733145743,14
253,1733145744,14
254,1733145745,14
255,1733145746,13
256,1733145747,11
257,1733145748,15
258,1733145749,9
259,1733145750,9
260,1733145751,9
261,1733145752,13
262,1733145753,12
263,1733145754,11
264,1733145755,17
265,1733145756,18
266,1733145757,13
267,1733145758,12
268,1733145759,13
269,1733145760,9
270,1733145761,12
271,1733145762,12
272,1733145763,8
273,1733145764,11
274,1733145765,18
275,1733145766,8
276,1733145767,14
277,1733145768,11
278,1733145769,11
279,1733145770,17
280,1733145771,15
281,1733145772,12
282,1733145773,10
283,1733145774,10
284,1733145775,13
285,1733145776,17
286,1733145777,11
287,1733145778,7
288,1733145779,12
289,1733145780,13
290,1733145781,14
291,1733145782,13
292,1733145783,12
293,1733145784,9
294,1733145785,11
295,1733145786,11
296,1733145787,13
297,1733145788,18
298,1733145789,11
299,1733145790,15
300,1733145791,16
301,1733145792,11
302,1733145793,13
303,1733145794,17
304,1733145795,9
