,0,1
0,1733145490,295.5078
1,1733145491,292.1875
2,1733145492,296.375
3,1733145493,298.7812
4,1733145494,299.5625
5,1733145495,297.2539
6,1733145496,301.4102
7,1733145497,296.2305
8,1733145498,296.9219
9,1733145499,297.5273
10,1733145500,292.4023
11,1733145501,294.9766
12,1733145502,291.5039
13,1733145503,292.9219
14,1733145504,298.5352
15,1733145505,292.7109
16,1733145506,288.5859
17,1733145507,287.0977
18,1733145508,290.082
19,1733145509,285.543
20,1733145510,286.0586
21,1733145511,296.6719
22,1733145512,291.1406
23,1733145513,291.6836
24,1733145514,292.1172
25,1733145515,294.1367
26,1733145516,289.3828
27,1733145517,289.4844
28,1733145518,286.2617
29,1733145519,292.0469
30,1733145520,285.1328
31,1733145521,294.6367
32,1733145522,288.8164
33,1733145523,290.0859
34,1733145524,289.8711
35,1733145525,289.7031
36,1733145526,287.5938
37,1733145527,281.6172
38,1733145528,286.1953
39,1733145529,288.9727
40,1733145530,288.0742
41,1733145531,293.1406
42,1733145532,287.5117
43,1733145533,294.0664
44,1733145534,288.6602
45,1733145535,294.8477
46,1733145536,291.0742
47,1733145537,290.8242
48,1733145538,288.6641
49,1733145539,295.5039
50,1733145540,294.7773
51,1733145541,290.0
52,1733145542,289.4531
53,1733145543,286.0078
54,1733145544,290.4453
55,1733145545,290.5977
56,1733145546,290.5469
57,1733145547,296.8594
58,1733145548,293.5117
59,1733145549,289.4414
60,1733145550,297.0195
61,1733145551,290.8164
62,1733145552,292.8281
63,1733145553,294.0234
64,1733145554,292.5234
65,1733145555,295.7422
66,1733145556,294.0703
67,1733145557,292.5352
68,1733145558,298.3516
69,1733145559,291.9844
70,1733145560,289.5625
71,1733145561,297.7266
72,1733145562,294.125
73,1733145563,303.3789
74,1733145564,297.4062
75,1733145565,291.4141
76,1733145566,297.3594
77,1733145567,300.4844
78,1733145568,296.1484
79,1733145569,292.0742
80,1733145570,295.3984
81,1733145571,294.1914
82,1733145572,299.8984
83,1733145573,299.0703
84,1733145574,295.625
85,1733145575,295.0352
86,1733145576,295.375
87,1733145577,294.8555
88,1733145578,298.5234
