,0,1
0,1733140552,5
1,1733140553,6
2,1733140554,7
3,1733140555,3
4,1733140556,5
5,1733140557,4
6,1733140558,7
7,1733140559,4
8,1733140560,10
9,1733140561,5
10,1733140562,10
11,1733140563,12
12,1733140564,7
13,1733140565,3
14,1733140566,6
15,1733140567,7
16,1733140568,8
17,1733140569,6
18,1733140570,5
19,1733140571,11
20,1733140572,4
21,1733140573,7
22,1733140574,11
23,1733140575,10
24,1733140576,10
25,1733140577,10
26,1733140578,10
27,1733140579,14
28,1733140580,4
29,1733140581,4
30,1733140582,5
31,1733140583,13
32,1733140584,5
33,1733140585,10
34,1733140586,3
35,1733140587,4
36,1733140588,10
37,1733140589,11
38,1733140590,8
39,1733140591,7
40,1733140592,9
41,1733140593,13
42,1733140594,4
43,1733140595,9
44,1733140596,7
45,1733140597,13
46,1733140598,6
47,1733140599,5
48,1733140600,9
49,1733140601,10
50,1733140602,6
51,1733140603,10
52,1733140604,8
53,1733140605,8
54,1733140606,7
55,1733140607,8
56,1733140608,13
57,1733140609,11
58,1733140610,10
59,1733140611,6
60,1733140612,13
61,1733140613,9
62,1733140614,8
63,1733140615,5
64,1733140616,10
65,1733140617,16
66,1733140618,10
67,1733140619,10
68,1733140620,11
69,1733140621,9
70,1733140622,8
71,1733140623,11
72,1733140624,6
73,1733140625,10
74,1733140626,9
75,1733140627,9
76,1733140628,11
77,1733140629,11
78,1733140630,9
79,1733140631,10
80,1733140632,10
81,1733140633,9
82,1733140634,10
83,1733140635,11
84,1733140636,11
85,1733140637,8
86,1733140638,7
87,1733140639,5
88,1733140640,13
89,1733140641,9
90,1733140642,11
91,1733140643,7
92,1733140644,16
93,1733140645,7
94,1733140646,8
95,1733140647,9
96,1733140648,12
97,1733140649,8
98,1733140650,12
99,1733140651,14
100,1733140652,7
101,1733140653,6
102,1733140654,3
103,1733140655,14
104,1733140656,8
105,1733140657,6
106,1733140658,3
107,1733140659,4
108,1733140660,6
109,1733140661,15
110,1733140662,7
111,1733140663,4
112,1733140664,3
113,1733140665,5
114,1733140666,4
115,1733140667,11
116,1733140668,7
117,1733140669,5
118,1733140670,3
119,1733140671,5
120,1733140672,3
121,1733140673,10
122,1733140674,4
123,1733140675,7
124,1733140676,13
125,1733140677,4
126,1733140678,4
127,1733140679,3
128,1733140680,9
129,1733140681,4
130,1733140682,8
131,1733140683,3
132,1733140684,5
133,1733140685,14
134,1733140686,5
135,1733140687,11
136,1733140688,12
137,1733140689,8
138,1733140690,14
139,1733140691,13
140,1733140692,3
141,1733140693,9
142,1733140694,8
143,1733140695,4
144,1733140696,7
145,1733140697,11
146,1733140698,11
147,1733140699,4
148,1733140700,6
149,1733140701,5
150,1733140702,4
151,1733140703,9
152,1733140704,7
153,1733140705,8
154,1733140706,9
155,1733140707,3
156,1733140708,4
157,1733140709,5
158,1733140710,6
159,1733140711,7
160,1733140712,6
161,1733140713,10
162,1733140714,10
163,1733140715,13
164,1733140716,12
165,1733140717,5
166,1733140718,6
167,1733140719,10
168,1733140720,8
169,1733140721,3
170,1733140722,5
171,1733140723,13
172,1733140724,6
173,1733140725,5
174,1733140726,7
175,1733140727,12
176,1733140728,7
177,1733140729,11
178,1733140730,14
179,1733140731,10
180,1733140732,12
181,1733140733,6
182,1733140734,9
183,1733140735,5
184,1733140736,10
185,1733140737,9
186,1733140738,12
187,1733140739,4
188,1733140740,6
189,1733140741,6
190,1733140742,10
191,1733140743,6
192,1733140744,5
193,1733140745,8
194,1733140746,13
195,1733140747,9
196,1733140748,15
197,1733140749,9
198,1733140750,17
199,1733140751,9
200,1733140752,15
201,1733140753,5
202,1733140754,9
203,1733140755,14
204,1733140756,11
205,1733140757,9
206,1733140758,10
207,1733140759,11
208,1733140760,10
209,1733140761,7
210,1733140762,16
211,1733140763,10
212,1733140764,8
213,1733140765,14
214,1733140766,9
215,1733140767,10
216,1733140768,8
217,1733140769,13
218,1733140770,9
219,1733140771,8
220,1733140772,10
221,1733140773,7
222,1733140774,9
223,1733140775,8
224,1733140776,9
225,1733140777,8
226,1733140778,8
227,1733140779,9
228,1733140780,14
229,1733140781,9
230,1733140782,8
231,1733140783,11
232,1733140784,8
233,1733140785,7
234,1733140786,15
235,1733140787,10
236,1733140788,8
237,1733140789,9
238,1733140790,9
239,1733140791,5
240,1733140792,8
241,1733140793,13
242,1733140794,4
243,1733140795,5
244,1733140796,4
245,1733140797,9
246,1733140798,11
247,1733140799,11
248,1733140800,10
249,1733140801,4
250,1733140802,3
