,0,1
0,1733315867,8
1,1733315868,11
2,1733315869,16
3,1733315870,10
4,1733315871,9
5,1733315872,13
6,1733315873,13
7,1733315874,8
8,1733315875,10
9,1733315876,14
10,1733315877,9
11,1733315878,8
12,1733315879,12
13,1733315880,13
14,1733315881,8
15,1733315882,10
16,1733315883,11
17,1733315884,14
18,1733315885,11
19,1733315886,7
20,1733315887,11
21,1733315888,12
22,1733315889,7
23,1733315890,8
24,1733315891,13
25,1733315892,11
26,1733315893,11
27,1733315894,12
28,1733315895,11
29,1733315896,9
30,1733315897,9
31,1733315898,17
32,1733315899,11
33,1733315900,13
34,1733315901,12
35,1733315902,10
36,1733315903,16
37,1733315904,11
38,1733315905,10
39,1733315906,10
40,1733315907,14
41,1733315908,9
42,1733315909,8
43,1733315910,10
44,1733315911,11
45,1733315912,8
46,1733315913,11
47,1733315914,15
48,1733315915,7
49,1733315916,13
50,1733315917,8
51,1733315918,11
52,1733315919,12
53,1733315920,11
54,1733315921,9
55,1733315922,7
56,1733315923,7
57,1733315924,11
58,1733315925,10
59,1733315926,11
60,1733315927,13
61,1733315928,14
62,1733315929,15
63,1733315930,9
64,1733315931,12
65,1733315932,12
66,1733315933,12
67,1733315934,11
68,1733315935,12
69,1733315936,10
70,1733315937,10
71,1733315938,13
72,1733315939,19
73,1733315940,8
74,1733315941,12
75,1733315942,9
76,1733315943,12
77,1733315944,10
78,1733315945,15
79,1733315946,8
80,1733315947,13
81,1733315948,14
82,1733315949,14
83,1733315950,13
84,1733315951,11
85,1733315952,18
86,1733315953,12
87,1733315954,16
88,1733315955,15
89,1733315956,11
90,1733315957,15
91,1733315958,12
92,1733315959,10
93,1733315960,8
94,1733315961,8
95,1733315962,14
96,1733315963,7
97,1733315964,11
98,1733315965,11
99,1733315966,12
100,1733315967,9
101,1733315968,8
102,1733315969,11
103,1733315970,15
104,1733315971,12
105,1733315972,13
106,1733315973,15
107,1733315974,13
108,1733315975,13
109,1733315976,12
110,1733315977,19
111,1733315978,9
112,1733315979,8
113,1733315980,14
114,1733315981,8
115,1733315982,10
116,1733315983,15
117,1733315984,12
118,1733315985,14
119,1733315986,11
120,1733315987,9
121,1733315988,8
122,1733315989,12
123,1733315990,11
124,1733315991,11
125,1733315992,14
126,1733315993,11
127,1733315994,18
128,1733315995,14
129,1733315996,12
130,1733315997,9
131,1733315998,15
132,1733315999,13
133,1733316000,9
134,1733316001,11
135,1733316002,11
136,1733316003,11
137,1733316004,12
138,1733316005,9
139,1733316006,13
140,1733316007,13
141,1733316008,10
142,1733316009,10
143,1733316010,8
144,1733316011,6
145,1733316012,15
146,1733316013,10
147,1733316014,13
148,1733316015,12
149,1733316016,16
150,1733316017,10
151,1733316018,7
152,1733316019,9
153,1733316020,10
154,1733316021,6
155,1733316022,9
156,1733316023,12
157,1733316024,12
158,1733316025,15
159,1733316026,14
160,1733316027,18
161,1733316028,11
162,1733316029,11
163,1733316030,11
164,1733316031,13
165,1733316032,9
166,1733316033,7
167,1733316034,12
168,1733316035,11
169,1733316036,14
170,1733316037,17
171,1733316038,14
